player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Vitor Roque,DT,betis,alaves,1,90,0,0,0.1,0.1,1,1,0,18,77.8,1,0,0.0,0.0,0.0,1,3,1,0,0,0,0,0,0,5,2,2,24,144.0,51.0,2,4,3,57.1,24_25,20,18/01/2025,1,"[{'rojas': [10, 1.0]}]"
Abde Ezzalzouli,DT,betis,alaves,1,59,0,0,0.0,0.1,0,0,0,20,70.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,4,2,1,19,167.0,89.0,4,1,3,25.0,24_25,20,18/01/2025,1,"[{'apariciones_suplente': [6, 22.0]}]"
Sergi Altimira,DF,betis,alaves,0,31,0,0,0.0,0.0,0,0,0,19,89.5,0,0,0.0,0.0,0.0,2,2,2,0,0,1,0,1,5,1,1,0,11,35.0,3.0,0,0,0,0.0,24_25,20,18/01/2025,1,[]
Jesus Rodríguez,DT,betis,alaves,1,70,1,0,0.0,0.0,1,0,1,21,71.4,0,0,0.0,0.0,0.0,0,2,2,0,1,4,0,4,1,7,1,6,23,145.0,49.0,2,2,0,100.0,24_25,20,18/01/2025,1,[]
Marc Roca,MC,betis,alaves,0,20,0,0,0.0,0.0,0,0,0,14,57.1,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,9,41.0,22.0,0,1,1,50.0,24_25,20,18/01/2025,1,[]
Isco,MC,betis,alaves,1,90,0,1,0.2,0.1,2,2,0,49,77.6,1,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,5,1,4,31,122.0,30.0,0,1,0,100.0,24_25,20,18/01/2025,1,"[{'goles_90': [10, 0.52]}, {'asistencias': [4, 8.0]}, {'asistencias_90': [1, 0.47]}, {'penaltis_marcados': [3, 5.0]}, {'pases_clave': [8, 61.0]}]"
Johnny Cardoso,MC,betis,alaves,1,90,0,0,0.0,0.0,0,0,0,39,87.2,1,0,0.0,0.0,0.0,0,1,1,0,1,2,0,2,2,1,0,1,27,74.0,23.0,0,2,0,100.0,24_25,20,18/01/2025,1,"[{'intercepciones': [6, 48.0]}]"
Pablo Fornals,MC,betis,alaves,1,70,0,0,0.1,0.2,1,1,0,44,72.7,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,1,0,0,0,22,63.0,33.0,0,1,2,33.3,24_25,20,18/01/2025,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
Mateo Flores,MC,betis,alaves,0,20,0,0,0.0,0.0,0,0,0,12,75.0,0,0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,1,0,0,0,8,22.0,8.0,0,0,1,0.0,24_25,20,18/01/2025,1,[]
Ricardo Rodríguez,DF,betis,alaves,1,40,0,0,0.0,0.0,0,0,0,24,66.7,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,1,10,26.0,3.0,0,1,1,50.0,24_25,20,18/01/2025,1,[]
Romain Perraud,DF,betis,alaves,0,14,0,0,0.0,0.0,0,0,0,8,62.5,0,1,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,1,1,0,0,5,27.0,12.0,0,0,0,0.0,24_25,20,18/01/2025,1,"[{'rojas': [8, 1.0]}]"
Diego Llorente,DF,betis,alaves,1,90,0,0,0.0,0.0,1,1,0,53,79.2,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,4,0,0,0,42,185.0,83.0,1,3,3,50.0,24_25,20,18/01/2025,1,[]
