player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Borja Iglesias,DT,celta,athletic,1,69,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,6,27.0,5.0,0,1,0,100.0
Anastasios Douvikas,DT,celta,athletic,0,21,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,2,7.0,0.0,0,0,0,0.0
Williot Swedberg,MC,celta,athletic,1,45,0,0,0.0,0.0,0,0,0,11,36.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,1,1,5,6.0,3.0,0,1,0,100.0
Hugo Álvarez,MC,celta,athletic,0,45,1,0,0.6,0.0,2,1,1,21,90.5,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,0,0,0,13,64.0,38.0,1,1,0,100.0
Pablo Durán,MC,celta,athletic,1,90,0,0,0.0,0.0,1,1,0,28,67.9,0,0,0.0,0.0,0.0,0,2,1,0,1,2,0,2,0,2,0,2,14,58.0,19.0,1,0,1,0.0
Hugo Sotelo,MC,celta,athletic,1,90,0,0,0.0,0.0,0,0,0,68,77.9,0,0,0.0,0.0,0.0,2,2,2,0,2,0,0,0,0,2,0,1,30,133.0,80.0,1,0,0,0.0
Fran Beltrán,MC,celta,athletic,1,62,0,0,0.0,0.0,0,0,0,59,88.1,0,0,0.0,0.0,0.0,4,1,1,0,0,3,0,3,1,0,0,0,21,83.0,35.0,0,1,0,100.0
Ilaix Moriba,MC,celta,athletic,0,28,0,0,0.0,0.0,0,0,0,22,95.5,1,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,15,60.0,16.0,1,0,0,0.0
Franco Cervi,MC,celta,athletic,1,45,0,0,0.0,0.0,0,0,0,26,76.9,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,2,0,0,0,15,88.0,52.0,1,0,0,0.0
Óscar Mingueza,MC,celta,athletic,0,44,0,0,0.0,0.0,0,0,0,39,71.8,0,1,0.0,0.0,0.0,-5,0,4,0,4,0,0,0,0,3,1,2,24,110.0,32.0,0,0,0,0.0
Sergio Carreira,MC,celta,athletic,1,90,0,0,0.0,0.0,0,0,0,67,73.1,0,0,0.0,0.0,0.0,0,4,3,0,0,0,0,0,1,0,0,0,42,300.0,194.0,5,0,0,0.0
Carlos Dominguez,DF,celta,athletic,1,90,0,0,0.0,0.0,0,0,0,73,80.8,0,0,0.0,0.0,0.0,2,3,2,0,0,1,1,0,5,1,0,1,39,164.0,90.0,1,0,1,0.0
Yoel Lago,DF,celta,athletic,1,90,0,0,0.0,0.0,0,0,0,100,95.0,0,0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,2,0,0,0,49,234.0,107.0,0,0,1,0.0
Javi Rodríguez,DF,celta,athletic,1,69,0,0,0.0,0.0,0,0,0,56,82.1,0,0,0.0,0.0,0.0,2,4,2,0,0,1,1,0,1,0,0,0,37,170.0,100.0,1,1,0,100.0
