player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Ante Budimir,DT,osasuna,rayo,1,90,0,0,0.0,0.0,1,0,1,19,47.4,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,3,0,3,11,54.0,18.0,2,7,5,58.3,24_25,20,1
Rubén García,DT,osasuna,rayo,1,74,0,1,0.0,0.3,1,1,0,38,78.9,0,0,0.0,0.0,0.0,9,3,0,0,0,2,0,2,1,0,0,0,24,112.0,58.0,0,0,1,0.0,24_25,20,1
Kike Barja,MC,osasuna,rayo,0,16,0,0,0.0,0.0,1,1,0,8,37.5,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,4,24.0,7.0,0,0,0,0.0,24_25,20,1
Jon Moncayola,DT,osasuna,rayo,1,80,0,0,0.1,0.0,3,2,1,45,75.6,1,0,0.0,0.0,0.0,3,1,2,0,2,2,0,2,1,1,0,1,20,116.0,80.0,0,1,1,50.0,24_25,20,1
Iker Muñoz,MC,osasuna,rayo,0,10,0,0,0.0,0.0,0,0,0,12,91.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,5,13.0,3.0,0,1,0,100.0,24_25,20,1
Aimar Oroz,MC,osasuna,rayo,1,90,0,0,0.1,0.0,2,2,0,37,78.4,0,0,0.0,0.0,0.0,3,1,3,0,3,3,0,3,0,4,1,2,28,229.0,131.0,6,2,2,50.0,24_25,20,1
Lucas Torró,MC,osasuna,rayo,1,90,0,0,0.0,0.0,0,0,0,56,76.8,0,0,0.0,0.0,0.0,4,5,4,0,2,0,0,0,1,0,0,0,25,98.0,36.0,1,5,2,71.4,24_25,20,1
Pablo Ibáñez,MC,osasuna,rayo,1,45,0,0,0.0,0.0,0,0,0,18,83.3,1,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,1,0,0,10,84.0,39.0,0,1,0,100.0,24_25,20,1
Raúl,DT,osasuna,rayo,0,45,1,0,0.2,0.0,2,1,1,8,62.5,0,0,0.0,0.0,0.0,8,0,2,0,2,0,0,0,0,2,1,1,8,75.0,43.0,1,1,2,33.3,24_25,20,1
Juan Cruz Armada,DF,osasuna,rayo,1,45,0,0,0.0,0.0,0,0,0,30,86.7,0,0,0.0,0.0,0.0,2,1,3,0,2,2,1,1,2,0,0,0,10,22.0,3.0,0,0,0,0.0,24_25,20,1
Abel Bretones,DF,osasuna,rayo,0,45,0,0,0.0,0.0,0,0,0,28,60.7,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,1,0,0,0,13,83.0,53.0,2,1,0,100.0,24_25,20,1
Catena,DF,osasuna,rayo,1,90,0,0,0.3,0.0,2,2,0,52,86.5,0,0,0.0,0.0,0.0,6,0,0,0,0,1,0,1,9,0,0,0,31,123.0,65.0,1,5,0,100.0,24_25,20,1
Enzo Boyomo,DF,osasuna,rayo,1,90,0,0,0.0,0.0,0,0,0,48,91.7,0,0,0.0,0.0,0.0,6,2,1,0,0,1,1,0,3,2,1,0,23,135.0,72.0,1,2,0,100.0,24_25,20,1
Jesús Areso,DF,osasuna,rayo,1,90,0,0,0.0,0.0,0,0,0,50,74.0,1,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,4,3,1,2,24,181.0,99.0,3,0,1,0.0,24_25,20,1
Sergio Herrera,PT,osasuna,rayo,1,90,0,0,0.0,0.0,0,0,0,32,75.0,0,0,1.0,66.7,0.5,8,0,0,0,0,0,0,0,1,0,0,0,21,159.0,110.0,0,0,0,0.0,24_25,20,1
Sergio Camello,DT,rayo,osasuna,1,67,1,0,0.6,0.0,3,2,1,7,57.1,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,1,1,0,11,45.0,24.0,1,0,3,0.0,24_25,20,0
Álvaro García,DT,rayo,osasuna,0,23,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,20,0
Isaac Palazón Camacho,DT,rayo,osasuna,1,86,0,0,0.0,0.1,1,0,1,40,85.0,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,4,4,2,1,29,154.0,81.0,2,1,4,20.0,24_25,20,0
Óscar Trejo,DT,rayo,osasuna,0,4,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,20,0
Adri Embarba,MC,rayo,osasuna,1,86,0,0,0.0,0.3,0,0,0,29,65.5,0,0,0.0,0.0,0.0,5,3,3,0,2,1,0,1,0,2,2,0,24,119.0,43.0,2,0,2,0.0,24_25,20,0
Randy Nteka,DT,rayo,osasuna,0,4,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,1,0,0,0,2,4.0,0.0,0,0,1,0.0,24_25,20,0
