player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,ARG,24,DT,19,atletico madrid,villarreal,1,90,0,0,0.3,0.0,5,2,3,46,71.7,1,0,0.0,0.0,0.0,4,1,1,0,1,1,0,1,0,3,3,0,42,200.0,104.0,5,0,0,0.0,24_25,21,25/01/2025,1,"[{'goles': [7, 17.0]}, {'goles_90': [8, 0.61]}, {'penaltis_marcados': [6, 4.0]}, {'tiros_puerta': [7, 36.0]}]"
Ángel Correa,ARG,29,DT,10,atletico madrid,villarreal,1,58,0,0,0.1,0.0,3,2,1,9,77.8,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,1,1,0,1,12,55.0,22.0,2,0,2,0.0,24_25,21,25/01/2025,1,"[{'apariciones_suplente': [1, 28.0]}, {'rojas': [8, 1.0]}]"
Antoine Griezmann,FRA,33,MC,7,atletico madrid,villarreal,0,32,0,0,0.3,0.0,2,2,0,10,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,10,46.0,29.0,0,2,1,66.7,24_25,21,25/01/2025,1,"[{'asistencias': [8, 7.0]}, {'corners': [9, 81.0]}]"
Conor Gallagher,ENG,24,MC,4,atletico madrid,villarreal,1,45,0,0,0.0,0.0,1,1,0,40,92.5,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,1,4,2,2,34,146.0,57.0,0,0,1,0.0,24_25,21,25/01/2025,1,"[{'apariciones_suplente': [1, 14.0]}]"
Rodrigo De Paul,ARG,30,MC,5,atletico madrid,villarreal,0,45,0,0,0.1,0.3,2,1,1,54,74.1,1,0,0.0,0.0,0.0,4,2,0,0,0,1,0,1,0,1,1,0,47,297.0,203.0,5,0,0,0.0,24_25,21,25/01/2025,1,"[{'pases_ultimo_tercio': [8, 180.0]}]"
Koke,ESP,33,MC,6,atletico madrid,villarreal,1,70,0,0,0.0,0.0,0,0,0,64,92.2,0,0,0.0,0.0,0.0,5,1,1,0,1,1,0,1,1,0,0,0,52,203.0,78.0,1,0,0,0.0,24_25,21,25/01/2025,1,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Marcos Llorente,ESP,29,DT,14,atletico madrid,villarreal,0,20,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,1,0,8,48.0,38.0,2,1,0,100.0,24_25,21,25/01/2025,1,"[{'rojas': [8, 1.0]}]"
Pablo Barrios,ESP,21,MC,8,atletico madrid,villarreal,1,90,0,0,0.0,0.1,2,1,1,56,82.1,0,0,0.0,0.0,0.0,7,0,0,0,0,1,1,0,2,3,2,1,47,213.0,114.0,1,2,1,66.7,24_25,21,25/01/2025,1,"[{'rojas': [8, 1.0]}]"
Giuliano Simeone,ARG,22,MC,22,atletico madrid,villarreal,1,45,0,0,0.0,0.0,0,0,0,22,63.6,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,2,2,0,16,98.0,53.0,3,0,0,0.0,24_25,21,25/01/2025,1,"[{'asistencias': [8, 4.0]}]"
César Azpilicueta,ESP,35,DF,3,atletico madrid,villarreal,0,45,0,0,0.0,0.0,1,1,0,32,90.6,0,0,0.0,0.0,0.0,3,0,2,0,2,1,0,1,2,1,1,0,19,69.0,39.0,0,0,1,0.0,24_25,21,25/01/2025,1,[]
Reinildo Mandava,MOZ,31,DF,23,atletico madrid,villarreal,1,45,0,0,0.0,0.0,0,0,0,47,93.6,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,1,0,1,40,153.0,75.0,1,0,1,0.0,24_25,21,25/01/2025,1,[]
Samuel Lino,BRA,25,DT,12,atletico madrid,villarreal,0,45,1,0,0.9,0.0,3,1,2,28,78.6,0,0,0.0,0.0,0.0,10,0,1,0,1,0,0,0,0,0,0,0,25,127.0,80.0,2,1,0,100.0,24_25,21,25/01/2025,1,[]
Robin Le Normand,ESP,28,DF,24,atletico madrid,villarreal,1,90,0,0,0.0,0.0,0,0,0,60,95.0,1,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,2,0,0,0,50,230.0,93.0,0,1,1,50.0,24_25,21,25/01/2025,1,"[{'amarillas': [4, 13.0]}]"
Axel Witsel,BEL,36,DF,20,atletico madrid,villarreal,1,90,0,0,0.0,0.0,0,0,0,49,95.9,0,0,0.0,0.0,0.0,6,1,1,0,0,2,1,1,3,0,0,0,43,254.0,123.0,0,1,3,25.0,24_25,21,25/01/2025,1,"[{'pases_completados_pct': [6, 91.9]}]"
Nahuel Molina,ARG,26,DF,16,atletico madrid,villarreal,1,90,0,0,0.0,0.0,1,1,0,81,84.0,0,0,0.0,0.0,0.0,2,4,3,0,0,0,0,0,0,4,0,4,64,301.0,172.0,1,0,0,0.0,24_25,21,25/01/2025,1,"[{'rojas': [10, 1.0]}]"
Jan Oblak,SVN,32,PT,13,atletico madrid,villarreal,1,90,0,0,0.0,0.0,0,0,0,21,85.7,0,0,1.0,100.0,0.7,3,0,0,0,0,0,0,0,0,0,0,0,9,41.0,14.0,0,0,0,0.0,24_25,21,25/01/2025,1,"[{'minutos': [7, 3240.0]}, {'porterias_cero': [1, 15.0]}, {'paradas': [8, 86.0]}, {'save_pct': [3, 78.1]}]"
Thierno Barry,FRA,22,DT,15,villarreal,atletico madrid,1,67,0,0,0.6,0.0,2,2,0,8,37.5,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,1,1,0,0,13,51.0,10.0,1,2,3,40.0,24_25,21,25/01/2025,0,[]
Nicolas Pépé,CIV,29,DT,19,villarreal,atletico madrid,0,23,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,45.0,25.0,0,1,0,100.0,24_25,21,25/01/2025,0,"[{'asistencias_90': [3, 0.36]}]"
Gerard Moreno,ESP,32,DT,7,villarreal,atletico madrid,1,67,1,0,1.0,0.5,2,2,0,19,63.2,0,0,0.0,0.0,0.0,11,1,1,0,1,0,0,0,1,2,1,1,10,68.0,38.0,2,2,0,100.0,24_25,21,25/01/2025,0,"[{'penaltis_marcados': [10, 3.0]}]"
Ayoze Pérez,ESP,31,DT,22,villarreal,atletico madrid,0,23,0,0,0.1,0.0,1,1,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,2,5.0,2.0,0,0,0,0.0,24_25,21,25/01/2025,0,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Alex Baena,ESP,23,MC,16,villarreal,atletico madrid,1,89,0,0,0.0,0.4,0,0,0,39,66.7,0,0,0.0,0.0,0.0,7,2,5,0,5,4,0,4,1,3,0,3,26,172.0,81.0,4,0,0,0.0,24_25,21,25/01/2025,0,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Pau Cabanes,ESP,19,MC,33,villarreal,atletico madrid,0,1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,0,0,0,0.0,24_25,21,25/01/2025,0,[]
Pape Gueye,SEN,26,MC,18,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,46,82.6,0,0,0.0,0.0,0.0,6,6,1,0,0,2,1,1,2,2,1,0,28,202.0,123.0,3,2,0,100.0,24_25,21,25/01/2025,0,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Santi Comesaña,ESP,28,MC,14,villarreal,atletico madrid,1,90,0,0,0.3,0.1,2,2,0,44,86.4,0,0,0.0,0.0,0.0,3,2,2,0,1,2,0,2,2,1,1,0,25,94.0,51.0,1,1,1,50.0,24_25,21,25/01/2025,0,"[{'entradas': [5, 85.0]}]"
Yeremi Pino,ESP,22,MC,21,villarreal,atletico madrid,1,67,0,0,0.0,0.1,0,0,0,16,81.3,1,0,0.0,0.0,0.0,1,2,3,0,2,1,0,1,1,0,0,0,14,89.0,50.0,1,0,0,0.0,24_25,21,25/01/2025,0,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
Denis Suárez,ESP,31,MC,6,villarreal,atletico madrid,0,23,0,0,0.0,0.0,1,1,0,12,58.3,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,3,2,1,12,75.0,28.0,1,0,1,0.0,24_25,21,25/01/2025,0,[]
Sergi Cardona,ESP,25,DF,23,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,41,87.8,0,0,0.0,0.0,0.0,5,2,2,0,0,1,0,1,3,2,1,1,24,87.0,44.0,0,0,0,0.0,24_25,21,25/01/2025,0,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
Logan Costa,CPV,23,DF,2,villarreal,atletico madrid,1,90,0,0,0.1,0.3,2,2,0,54,75.9,0,0,0.0,0.0,0.0,5,2,1,0,0,2,1,1,4,0,0,0,40,162.0,71.0,1,2,0,100.0,24_25,21,25/01/2025,0,[]
Willy Kambwala,FRA,20,DF,5,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,47,95.7,0,0,0.0,0.0,0.0,4,0,1,0,1,1,1,0,4,1,1,0,29,146.0,60.0,0,0,2,0.0,24_25,21,25/01/2025,0,"[{'rojas': [8, 1.0]}]"
Kiko Femenía,ESP,33,DF,17,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,68,88.2,1,0,0.0,0.0,0.0,2,2,3,0,1,0,0,0,3,1,1,0,38,206.0,105.0,2,0,1,0.0,24_25,21,25/01/2025,0,"[{'rojas': [10, 1.0]}]"
Luiz Lúcio Reis Júnior,BRA,24,PT,1,villarreal,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,34,73.5,0,0,1.0,87.5,1.6,10,0,0,0,0,0,0,0,3,0,0,0,17,92.0,62.0,0,1,0,100.0,24_25,21,25/01/2025,0,"[{'save_pct': [2, 78.8]}]"
Gimenez,0,0,MC,0,atletico madrid,villarreal,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,21,25/01/2025,1,[]
