player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Sergio Camello,DT,rayo,girona,1,74,0,0,0.1,0.0,3,1,2,22,86.4,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,1,0,11,50.0,23.0,1,1,3,25.0,24_25,21,1
Pedro Díaz,DT,rayo,girona,0,16,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,1,4.0,1.0,0,0,0,0.0,24_25,21,1
Adri Embarba,DT,rayo,girona,1,57,0,0,0.1,0.0,2,1,1,25,72.0,0,0,0.0,0.0,0.0,2,1,2,0,2,2,0,2,0,0,0,0,20,125.0,43.0,2,1,2,33.3,24_25,21,1
Álvaro García,DT,rayo,girona,0,33,0,2,0.0,1.1,0,0,0,18,61.1,0,0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,1,0,0,0,8,93.0,63.0,3,1,0,100.0,24_25,21,1
Jorge de Frutos,DT,rayo,girona,1,86,0,0,0.9,0.3,5,4,1,33,75.8,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,0,6,3,3,29,211.0,146.0,6,1,0,100.0,24_25,21,1
Iván Balliu,DT,rayo,girona,0,4,0,0,0.0,0.0,0,0,0,3,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,0,0.0,0.0,0,1,0,100.0,24_25,21,1
Isaac Palazón Camacho,MC,rayo,girona,1,90,0,0,0.1,0.0,2,1,1,48,68.8,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,29,161.0,38.0,1,1,0,100.0,24_25,21,1
Unai López,MC,rayo,girona,1,57,0,0,0.0,0.0,1,1,0,63,88.9,1,0,0.0,0.0,0.0,2,1,1,0,0,2,1,1,0,0,0,0,36,107.0,30.0,0,0,0,0.0,24_25,21,1
Óscar Valentín,MC,rayo,girona,0,33,0,0,0.0,0.5,0,0,0,13,92.3,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,0,0,0,8,28.0,21.0,0,0,1,0.0,24_25,21,1
Pathé Ciss,MC,rayo,girona,1,74,0,0,0.0,0.0,0,0,0,47,89.4,0,0,0.0,0.0,0.0,3,5,3,0,1,3,0,3,0,0,0,0,31,99.0,48.0,0,2,0,100.0,24_25,21,1
Randy Nteka,MC,rayo,girona,0,16,2,0,1.2,0.0,3,1,2,2,50.0,1,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,4,17.0,14.0,1,0,1,0.0,24_25,21,1
Pep Chavarría,DF,rayo,girona,1,90,0,0,0.0,0.4,0,0,0,77,87.0,0,0,0.0,0.0,0.0,8,2,0,0,0,5,1,4,2,1,0,1,27,115.0,61.0,3,0,2,0.0,24_25,21,1
Abdul Mumin,DF,rayo,girona,1,90,0,0,0.0,0.0,0,0,0,69,85.5,0,0,0.0,0.0,0.0,6,2,2,0,1,2,1,1,6,0,0,0,42,169.0,37.0,0,1,0,100.0,24_25,21,1
Florian Lejeune,DF,rayo,girona,1,90,0,0,0.0,0.0,1,1,0,63,82.5,1,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,5,0,0,0,38,141.0,81.0,1,0,1,0.0,24_25,21,1
Andrei Ratiu,DF,rayo,girona,1,90,0,0,0.0,0.1,0,0,0,57,87.7,0,0,0.0,0.0,0.0,4,4,5,0,3,1,0,1,0,7,2,5,40,336.0,170.0,4,0,0,0.0,24_25,21,1
Augusto Batalla,PT,rayo,girona,1,90,0,0,0.0,0.0,0,0,0,39,69.2,0,0,1.0,80.0,1.3,7,0,0,0,0,0,0,0,0,0,0,0,26,131.0,70.0,0,0,0,0.0,24_25,21,1
Arnaut Danjuma,DT,girona,rayo,1,53,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,5,20.0,2.0,0,0,0,0.0,24_25,21,0
Cristhian Stuani,DT,girona,rayo,0,37,0,0,0.1,0.0,1,0,1,8,87.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,40.0,3.0,0,1,0,100.0,24_25,21,0
Bryan Gil,DT,girona,rayo,1,90,1,0,0.3,0.0,4,2,2,33,75.8,0,0,0.0,0.0,0.0,12,5,4,0,1,1,0,1,0,8,4,4,41,250.0,122.0,6,0,1,0.0,24_25,21,0
Yaser Asprilla,DT,girona,rayo,1,53,0,0,0.0,0.0,1,1,0,19,73.7,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,1,1,0,14,62.0,44.0,0,0,0,0.0,24_25,21,0
Portu,DT,girona,rayo,0,37,0,0,0.0,0.0,0,0,0,17,70.6,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,11,52.0,33.0,1,1,2,33.3,24_25,21,0
Donny van de Beek,MC,girona,rayo,1,78,0,0,0.0,0.0,0,0,0,23,87.0,0,0,0.0,0.0,0.0,7,1,1,0,0,2,1,1,1,0,0,0,16,91.0,50.0,1,0,0,0.0,24_25,21,0
Viktor Tsyhankov,MC,girona,rayo,0,12,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,15.0,8.0,0,2,0,100.0,24_25,21,0
Iván Martín,MC,girona,rayo,1,90,0,1,0.2,0.2,1,1,0,40,82.5,0,0,0.0,0.0,0.0,9,3,1,0,0,0,0,0,3,4,3,1,36,294.0,154.0,5,0,1,0.0,24_25,21,0
Yangel Herrera,MC,girona,rayo,1,90,0,0,0.0,0.2,0,0,0,39,79.5,1,0,0.0,0.0,0.0,4,2,3,0,2,1,0,1,3,1,1,0,24,108.0,78.0,1,1,2,33.3,24_25,21,0
Daley Blind,DF,girona,rayo,1,29,0,0,0.0,0.0,0,0,0,22,77.3,0,0,0.0,0.0,0.0,2,1,2,0,2,0,0,0,0,0,0,0,12,86.0,59.0,1,0,0,0.0,24_25,21,0
Alejandro Francés,DF,girona,rayo,0,61,0,0,0.0,0.0,0,0,0,30,80.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,5,1,1,0,13,85.0,41.0,0,1,1,50.0,24_25,21,0
David López,DF,girona,rayo,1,90,0,0,0.1,0.0,2,0,2,42,78.6,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,2,0,0,0,18,50.0,29.0,0,0,1,0.0,24_25,21,0
Juanpe,DF,girona,rayo,1,90,0,0,0.0,0.0,1,1,0,61,70.5,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,6,0,0,0,43,201.0,109.0,0,2,0,100.0,24_25,21,0
Arnau Martinez,DF,girona,rayo,1,90,0,0,0.1,0.0,2,2,0,50,78.0,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,6,1,0,1,28,97.0,53.0,1,2,1,66.7,24_25,21,0
Paulo Gazzaniga,PT,girona,rayo,1,45,0,0,0.0,0.0,0,0,0,18,83.3,0,0,0.0,0.0,0.5,7,0,0,0,0,0,0,0,1,0,0,0,16,86.0,41.0,0,0,0,0.0,24_25,21,0
