player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Mikel Oyarzabal,DT,real sociedad,getafe,1,69,0,0,0.3,0.0,1,0,1,11,81.8,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,0,0,0,0,9,38.0,20.0,1,1,7,12.5,24_25,21,1
Orri Steinn Óskarsson,DT,real sociedad,getafe,0,21,0,0,0.1,0.0,2,1,1,5,40.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.0,7.0,0,0,1,0.0,24_25,21,1
Sergio Gómez,MC,real sociedad,getafe,1,69,0,0,0.0,0.0,1,1,0,22,59.1,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,2,1,1,0,11,43.0,20.0,0,0,0,0.0,24_25,21,1
Ander Barrenetxea,MC,real sociedad,getafe,0,21,0,0,0.1,0.0,1,1,0,14,71.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,3,2,1,11,68.0,27.0,0,1,0,100.0,24_25,21,1
Olasagasti,MC,real sociedad,getafe,1,83,0,0,0.0,0.0,0,0,0,31,38.7,0,0,0.0,0.0,0.0,-1,1,1,0,1,0,0,0,0,0,0,0,15,65.0,6.0,0,3,2,60.0,24_25,21,1
Pablo Marín,MC,real sociedad,getafe,0,7,0,0,0.0,0.0,1,1,0,6,83.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,12.0,4.0,0,0,0,0.0,24_25,21,1
Beñat Turrientes,MC,real sociedad,getafe,1,45,0,0,0.0,0.1,0,0,0,13,84.6,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,1,0,10,50.0,2.0,0,0,1,0.0,24_25,21,1
Brais Méndez,MC,real sociedad,getafe,0,45,0,0,0.0,0.0,1,0,1,29,75.9,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,16,79.0,47.0,0,2,1,66.7,24_25,21,1
Takefusa Kubo,MC,real sociedad,getafe,1,90,0,0,0.2,0.6,2,2,0,34,61.8,1,0,0.0,0.0,0.0,8,0,1,0,1,0,0,0,2,9,4,3,38,258.0,160.0,8,2,1,66.7,24_25,21,1
Martín Zubimendi,MC,real sociedad,getafe,1,90,0,0,0.1,0.0,1,1,0,50,60.0,0,0,0.0,0.0,0.0,2,2,1,0,0,1,0,1,5,0,0,0,23,131.0,53.0,1,3,2,60.0,24_25,21,1
