player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Christantus Uche,DT,6,getafe,sevilla,1,76,0,0,0.0,0.1,1,1,0,13,46.2,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,1,5,2,2,15,130.0,63.0,1,3,5,37.5,24_25,22,01/02/2025,1,"[{'rojas': [2, 2.0]}, {'faltas_cometidas': [9, 55.0]}, {'faltas_recibidas': [3, 68.0]}]"
Alex Sola,DT,7,getafe,sevilla,0,14,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,1,1,10,53.0,36.0,2,0,1,0.0,24_25,22,01/02/2025,1,[]
Juanmi,MC,24,getafe,sevilla,1,89,0,0,0.6,0.0,2,1,1,15,73.3,0,0,0.0,0.0,0.0,4,2,2,0,2,0,0,0,1,1,1,0,13,26.0,4.0,0,1,2,33.3,24_25,22,01/02/2025,1,[]
Álvaro Rodríguez,MC,18,getafe,sevilla,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,18.0,10.0,0,0,2,0.0,24_25,22,01/02/2025,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [3, 0.48]}]"
Coba da Costa,MC,29,getafe,sevilla,1,45,0,0,0.0,0.0,0,0,0,10,80.0,1,0,0.0,0.0,0.0,1,1,1,0,1,6,0,6,0,0,0,0,8,26.0,3.0,0,1,1,50.0,24_25,22,01/02/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Borja Mayoral,DT,9,getafe,sevilla,0,45,0,0,0.1,0.0,1,1,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,10,51.0,25.0,0,0,2,0.0,24_25,22,01/02/2025,1,"[{'goles_por_tiro': [9, 0.21]}]"
Mauro Arambarri,MC,8,getafe,sevilla,1,90,0,0,0.3,0.0,1,1,0,30,86.7,0,0,0.0,0.0,0.0,6,1,1,0,0,1,1,0,2,0,0,0,19,96.0,39.0,0,3,1,75.0,24_25,22,01/02/2025,1,"[{'penaltis_marcados': [10, 3.0]}]"
Djené,MC,2,getafe,sevilla,1,90,0,0,0.0,0.0,0,0,0,34,88.2,1,0,0.0,0.0,0.0,4,1,1,0,1,1,0,1,1,1,1,0,21,98.0,37.0,0,2,1,66.7,24_25,22,01/02/2025,1,"[{'rojas': [8, 1.0]}]"
Carles Pérez,MC,17,getafe,sevilla,1,76,0,0,0.0,0.0,0,0,0,14,57.1,0,0,0.0,0.0,0.0,3,1,4,0,3,0,0,0,1,0,0,0,11,55.0,28.0,1,0,2,0.0,24_25,22,01/02/2025,1,[]
Carles Aleñá,MC,11,getafe,sevilla,0,14,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,33.0,10.0,0,1,0,100.0,24_25,22,01/02/2025,1,[]
Diego Rico,DF,16,getafe,sevilla,1,90,0,0,0.0,0.0,0,0,0,57,63.2,0,0,0.0,0.0,0.0,8,5,7,0,5,1,0,1,6,0,0,0,38,99.0,34.0,0,0,1,0.0,24_25,22,01/02/2025,1,"[{'centros_area': [3, 29.0]}, {'entradas': [9, 81.0]}, {'rojas': [8, 1.0]}]"
Juan Berrocal,DF,4,getafe,sevilla,1,90,0,0,0.0,0.0,0,0,0,40,77.5,1,0,0.0,0.0,0.0,5,0,0,0,0,1,1,0,1,0,0,0,20,81.0,56.0,0,2,1,66.7,24_25,22,01/02/2025,1,"[{'rojas': [8, 1.0]}]"
Domingos Duarte,DF,22,getafe,sevilla,1,90,0,0,0.0,0.0,1,1,0,39,69.2,0,0,0.0,0.0,0.0,8,3,1,0,0,3,1,2,4,0,0,0,25,138.0,91.0,1,3,1,75.0,24_25,22,01/02/2025,1,"[{'rojas': [2, 2.0]}]"
Iglesias,DF,21,getafe,sevilla,1,90,0,0,0.0,0.3,1,1,0,33,66.7,1,0,0.0,0.0,0.0,7,3,3,0,1,2,0,2,6,0,0,0,15,42.0,19.0,1,1,2,33.3,24_25,22,01/02/2025,1,"[{'entradas': [9, 81.0]}, {'intercepciones': [4, 50.0]}]"
David Soria,PT,13,getafe,sevilla,1,90,0,0,0.0,0.0,0,0,0,35,54.3,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,0,0,0,14,72.0,39.0,0,0,0,0.0,24_25,22,01/02/2025,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [6, 9.0]}, {'paradas': [8, 86.0]}, {'save_pct': [6, 75.4]}]"
Isaac Romero,DT,7,sevilla,getafe,1,89,0,0,0.2,0.0,2,2,0,23,52.2,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,1,2,11,48.0,7.0,0,3,3,50.0,24_25,22,01/02/2025,0,"[{'rojas': [8, 1.0]}]"
Juanlu Sánchez,DT,26,sevilla,getafe,0,1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,22.0,2.0,0,0,1,0.0,24_25,22,01/02/2025,0,"[{'rojas': [8, 1.0]}]"
Ruben Vargas,DT,5,sevilla,getafe,1,75,0,0,0.0,0.1,0,0,0,19,63.2,0,0,0.0,0.0,0.0,7,2,0,0,0,3,0,3,3,6,4,1,12,106.0,60.0,3,2,1,66.7,24_25,22,01/02/2025,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [6, 0.42]}, {'penaltis_marcados': [9, 1.0]}]"
Chidera Ejuke,DT,21,sevilla,getafe,0,15,0,0,0.0,0.0,1,1,0,2,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,1,1,4,12.0,1.0,0,0,0,0.0,24_25,22,01/02/2025,0,[]
Dodi Lukebakio,DT,11,sevilla,getafe,1,89,0,0,0.4,0.0,3,3,0,33,69.7,1,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,1,6,4,2,18,97.0,38.0,1,1,0,100.0,24_25,22,01/02/2025,0,"[{'tiros_puerta': [6, 38.0]}, {'regates_exitosos': [2, 84.0]}, {'rojas': [8, 1.0]}]"
Lucien Agoume,MC,18,sevilla,getafe,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,24_25,22,01/02/2025,0,"[{'rojas': [8, 1.0]}]"
Djibril Sow,MC,20,sevilla,getafe,1,90,0,0,0.0,0.0,0,0,0,27,85.2,0,0,0.0,0.0,0.0,8,2,0,0,0,0,0,0,2,2,2,0,14,65.0,29.0,0,1,3,25.0,24_25,22,01/02/2025,0,"[{'goles_por_tiro': [9, 0.25]}]"
Albert Sambi Lokonga,MC,12,sevilla,getafe,1,90,0,0,0.0,0.0,0,0,0,45,77.8,1,0,0.0,0.0,0.0,5,2,1,0,0,1,0,1,0,0,0,0,19,66.0,42.0,0,2,2,50.0,24_25,22,01/02/2025,0,[]
Saúl Ñíguez,MC,17,sevilla,getafe,1,80,0,0,0.2,0.0,4,4,0,32,75.0,1,0,0.0,0.0,0.0,5,6,2,0,2,1,0,1,2,2,1,1,15,95.0,70.0,1,0,2,0.0,24_25,22,01/02/2025,0,"[{'asistencias_90': [5, 0.35]}, {'rojas': [8, 1.0]}]"
Akor Adams,DT,15,sevilla,getafe,0,10,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,1,50.0,24_25,22,01/02/2025,0,[]
Adrià Pedrosa,DF,3,sevilla,getafe,1,75,0,0,0.0,0.0,1,1,0,29,65.5,0,0,0.0,0.0,0.0,6,0,0,0,0,1,1,0,3,1,1,0,13,80.0,42.0,1,1,1,50.0,24_25,22,01/02/2025,0,[]
Kike Salas,DF,4,sevilla,getafe,0,15,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,3,2.0,0.0,0,1,0,100.0,24_25,22,01/02/2025,0,[]
Nemanja Gudelj,DF,6,sevilla,getafe,1,90,0,0,0.1,0.0,1,1,0,47,85.1,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,6,0,0,0,21,71.0,43.0,1,3,0,100.0,24_25,22,01/02/2025,0,[]
Loïc Bade,DF,22,sevilla,getafe,1,90,0,0,0.0,0.0,0,0,0,69,89.9,0,0,0.0,0.0,0.0,9,3,2,0,0,1,0,1,7,0,0,0,46,152.0,74.0,0,5,1,83.3,24_25,22,01/02/2025,0,"[{'rojas': [8, 1.0]}]"
Carmona,DF,2,sevilla,getafe,1,90,0,0,0.0,0.4,1,1,0,47,85.1,1,0,0.0,0.0,0.0,9,2,4,0,3,1,0,1,4,0,0,0,13,76.0,14.0,1,2,1,66.7,24_25,22,01/02/2025,0,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
Ørjan Nyland,PT,13,sevilla,getafe,1,90,0,0,0.0,0.0,0,0,0,41,68.3,0,0,0.0,100.0,0.4,9,0,0,0,0,0,0,0,0,0,0,0,26,131.0,79.0,0,0,0,0.0,24_25,22,01/02/2025,0,"[{'save_pct': [1, 76.9]}]"
