player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Ayoze Pérez,DT,villarreal,valladolid,1,67,1,0,1.3,0.2,4,2,2,14,78.6,0,0,0.0,0.0,0.0,12,0,1,0,1,1,0,1,1,5,2,2,12,68.0,30.0,0,1,2,33.3
Thierno Barry,DT,villarreal,valladolid,0,23,1,0,0.3,0.0,1,0,1,5,100.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,1,0,2,23.0,15.0,0,1,1,50.0
Gerard Moreno,DT,villarreal,valladolid,1,60,0,0,0.1,0.8,1,1,0,25,68.0,0,0,0.0,0.0,0.0,7,0,2,0,2,0,0,0,0,1,1,0,15,102.0,69.0,3,3,1,75.0
Nicolas Pépé,DT,villarreal,valladolid,0,30,0,0,0.0,0.0,1,1,0,16,81.3,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,0,0,14,97.0,62.0,2,0,0,0.0
Alex Baena,MC,villarreal,valladolid,1,90,0,0,0.2,0.9,4,4,0,52,67.3,0,0,0.0,0.0,0.0,7,0,1,0,1,1,0,1,2,2,0,2,39,236.0,122.0,4,2,1,66.7
Santi Comesaña,MC,villarreal,valladolid,1,90,1,0,0.5,0.1,3,1,2,68,88.2,0,0,0.0,0.0,0.0,13,4,2,0,0,2,1,1,0,3,2,1,38,239.0,163.0,3,0,2,0.0
Pape Gueye,MC,villarreal,valladolid,1,67,1,0,0.1,0.0,3,2,1,24,95.8,0,0,0.0,0.0,0.0,12,0,0,0,0,2,1,1,1,1,0,1,18,94.0,34.0,0,0,1,0.0
Daniel Parejo,MC,villarreal,valladolid,0,23,0,0,0.0,0.0,0,0,0,31,93.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,11,37.0,2.0,0,0,0,0.0
Yeremi Pino,MC,villarreal,valladolid,1,75,0,0,0.1,0.0,1,1,0,23,73.9,0,0,0.0,0.0,0.0,5,5,4,0,3,0,0,0,0,1,1,0,10,97.0,63.0,2,0,1,0.0
Denis Suárez,MC,villarreal,valladolid,0,15,1,0,0.1,0.0,1,0,1,9,77.8,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,6,24.0,8.0,0,0,1,0.0
Sergi Cardona,DF,villarreal,valladolid,1,90,0,2,0.1,0.7,1,1,0,57,78.9,0,0,0.0,0.0,0.0,15,1,0,0,0,0,0,0,3,3,1,1,30,169.0,87.0,1,2,1,66.7
Willy Kambwala,DF,villarreal,valladolid,1,90,0,0,0.0,0.0,0,0,0,51,90.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,32,216.0,125.0,1,1,1,50.0
Juan Foyth,DF,villarreal,valladolid,1,90,0,0,0.7,0.0,2,1,1,66,93.9,1,0,0.0,0.0,0.0,7,1,0,0,0,1,0,1,9,1,1,0,46,298.0,212.0,2,5,0,100.0
Kiko Femenía,DF,villarreal,valladolid,1,45,0,0,0.0,0.0,0,0,0,24,83.3,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,0,0,0,10,76.0,14.0,0,0,0,0.0
Pau Navarro,DF,villarreal,valladolid,0,45,0,0,0.0,0.0,0,0,0,26,100.0,0,0,0.0,0.0,0.0,3,3,6,0,3,1,0,1,2,1,1,0,14,48.0,28.0,0,0,0,0.0
Diego Conde,PT,villarreal,valladolid,1,90,0,0,0.0,0.0,0,0,0,23,87.0,0,0,1.0,50.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,10,66.0,46.0,0,0,0,0.0
Marcos André,DT,valladolid,villarreal,1,90,0,0,0.2,0.0,1,1,0,18,66.7,0,0,0.0,0.0,0.0,0,1,2,0,2,2,0,2,0,4,1,3,14,56.0,26.0,1,3,0,100.0
Mamadou Sylla,MC,valladolid,villarreal,1,70,0,0,0.0,0.1,0,0,0,15,73.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,2,1,0,14,99.0,63.0,2,0,4,0.0
Juanmi Latasa,DT,valladolid,villarreal,0,20,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,9.0,6.0,0,0,0,0.0
Selim Amallah,MC,valladolid,villarreal,1,90,1,0,0.0,0.2,1,0,1,37,70.3,1,0,0.0,0.0,0.0,9,3,2,0,0,1,0,1,0,7,6,0,24,219.0,127.0,5,0,0,0.0
Chuky san jose,MC,valladolid,villarreal,1,78,0,0,0.2,0.0,3,2,1,21,66.7,0,0,0.0,0.0,0.0,1,1,3,0,3,0,0,0,0,2,0,2,16,62.0,26.0,1,0,1,0.0
Iván Sánchez,MC,valladolid,villarreal,0,12,0,0,0.0,0.0,0,0,0,12,58.3,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,8,84.0,64.0,1,0,0,0.0
Anuar,MC,valladolid,villarreal,1,90,0,0,0.0,0.0,0,0,0,30,83.3,0,0,0.0,0.0,0.0,0,2,2,0,1,2,1,1,1,0,0,0,17,95.0,46.0,1,0,3,0.0
Stanko Jurić,MC,valladolid,villarreal,1,70,0,0,0.0,0.0,1,1,0,45,97.8,0,0,0.0,0.0,0.0,2,1,1,0,1,2,1,1,1,0,0,0,24,140.0,84.0,0,4,1,80.0
