player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Julián Álvarez,DT,atletico madrid,mallorca,1,60,0,0,0.0,0.5,1,1,0,39,79.5,0,0,0.0,0.0,0.0,8,2,4,0,3,1,0,1,0,5,4,1,28,215.0,81.0,3,0,0,0.0,24_25,22,01/02/2025,1,"[{'goles': [7, 17.0]}, {'goles_90': [8, 0.61]}, {'penaltis_marcados': [6, 4.0]}, {'tiros_puerta': [7, 36.0]}]"
Antoine Griezmann,DT,atletico madrid,mallorca,0,30,1,0,0.0,0.0,1,0,1,10,70.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,0,0,0,5,27.0,20.0,1,0,1,0.0,24_25,22,01/02/2025,1,"[{'asistencias': [8, 7.0]}, {'corners': [9, 81.0]}]"
Alexander Sørloth,DT,atletico madrid,mallorca,1,90,0,0,0.4,0.0,3,2,1,20,50.0,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,2,1,0,1,13,71.0,27.0,1,5,3,62.5,24_25,22,01/02/2025,1,"[{'goles': [4, 20.0]}, {'goles_90': [1, 1.15]}, {'tiros_puerta': [4, 40.0]}, {'goles_por_tiro': [5, 0.24]}, {'apariciones_suplente': [10, 20.0]}]"
Samuel Lino,MC,atletico madrid,mallorca,1,80,1,0,0.1,0.0,2,1,1,50,68.0,0,0,0.0,0.0,0.0,13,0,1,0,1,1,1,0,1,1,1,0,37,196.0,113.0,4,1,1,50.0,24_25,22,01/02/2025,1,[]
Rodrigo Riquelme,MC,atletico madrid,mallorca,0,10,0,1,0.1,0.0,1,1,0,3,100.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,2,6.0,0.0,0,0,0,0.0,24_25,22,01/02/2025,1,[]
Koke,MC,atletico madrid,mallorca,1,72,0,0,0.0,0.1,1,0,1,64,92.2,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,2,0,0,0,38,197.0,106.0,1,0,0,0.0,24_25,22,01/02/2025,1,"[{'pases_ultimo_tercio': [9, 196.0]}]"
Ángel Correa,MC,atletico madrid,mallorca,0,18,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,0,0,0,6,35.0,29.0,1,0,0,0.0,24_25,22,01/02/2025,1,"[{'apariciones_suplente': [1, 28.0]}, {'rojas': [8, 1.0]}]"
Pablo Barrios,MC,atletico madrid,mallorca,1,90,0,0,0.1,0.0,4,4,0,54,79.6,0,0,0.0,0.0,0.0,7,1,1,0,0,1,0,1,2,2,2,0,37,167.0,77.0,1,0,2,0.0,24_25,22,01/02/2025,1,"[{'rojas': [8, 1.0]}]"
Giuliano Simeone,MC,atletico madrid,mallorca,1,60,0,1,0.4,0.1,2,1,1,27,77.8,0,0,0.0,0.0,0.0,12,1,1,0,0,1,0,1,1,0,0,0,22,119.0,68.0,2,0,0,0.0,24_25,22,01/02/2025,1,"[{'asistencias': [8, 4.0]}]"
Conor Gallagher,MC,atletico madrid,mallorca,0,30,0,0,0.0,0.0,0,0,0,11,100.0,1,0,0.0,0.0,0.0,1,2,1,0,0,1,1,0,0,0,0,0,9,90.0,63.0,3,0,0,0.0,24_25,22,01/02/2025,1,"[{'apariciones_suplente': [1, 14.0]}]"
Reinildo Mandava,DF,atletico madrid,mallorca,1,90,0,0,0.0,0.0,0,0,0,59,84.7,0,0,0.0,0.0,0.0,6,1,0,0,0,2,2,0,1,6,0,4,39,175.0,83.0,2,1,2,33.3,24_25,22,01/02/2025,1,[]
Clément Lenglet,DF,atletico madrid,mallorca,1,90,0,0,0.0,0.0,0,0,0,43,93.0,0,0,0.0,0.0,0.0,8,0,0,0,0,2,2,0,2,0,0,0,31,161.0,81.0,0,0,2,0.0,24_25,22,01/02/2025,1,"[{'rojas': [2, 1.0]}]"
Robin Le Normand,DF,atletico madrid,mallorca,1,90,0,0,0.0,0.3,0,0,0,39,87.2,1,0,0.0,0.0,0.0,9,0,0,0,0,3,1,2,6,0,0,0,31,123.0,70.0,0,3,5,37.5,24_25,22,01/02/2025,1,"[{'amarillas': [4, 13.0]}]"
