player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Sergio Camello,DT,rayo,valladolid,1,19,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,12.0,11.0,1,0,0,0.0,24_25,23,1
Sergi Guardiola,DT,rayo,valladolid,0,71,0,0,0.4,0.0,2,2,0,15,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,17,73.0,14.0,0,2,3,40.0,24_25,23,1
Álvaro García,DT,rayo,valladolid,1,90,1,0,0.8,0.2,5,3,2,42,64.3,0,0,0.0,0.0,0.0,13,0,1,0,1,1,0,1,1,0,0,0,34,163.0,70.0,4,0,0,0.0,24_25,23,1
Jorge de Frutos,DT,rayo,valladolid,1,82,0,1,0.2,0.6,1,0,1,28,71.4,1,0,0.0,0.0,0.0,10,1,0,0,0,1,0,1,0,2,1,0,24,179.0,113.0,5,1,0,100.0,24_25,23,1
Adri Embarba,DT,rayo,valladolid,0,8,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,6,41.0,4.0,0,0,0,0.0,24_25,23,1
Isaac Palazón Camacho,MC,rayo,valladolid,1,82,0,0,0.2,0.0,5,4,1,54,81.5,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,3,1,2,40,178.0,93.0,3,1,2,33.3,24_25,23,1
Óscar Trejo,MC,rayo,valladolid,0,8,0,0,0.0,0.0,0,0,0,11,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,10,56.0,16.0,0,0,1,0.0,24_25,23,1
Pathé Ciss,MC,rayo,valladolid,1,45,0,0,0.0,0.0,1,1,0,36,83.3,1,0,0.0,0.0,0.0,1,2,2,0,0,0,0,0,1,0,0,0,25,63.0,25.0,0,3,1,75.0,24_25,23,1
Óscar Valentín,MC,rayo,valladolid,0,45,0,0,0.0,0.1,0,0,0,32,93.8,0,0,0.0,0.0,0.0,2,3,5,0,2,1,1,0,2,0,0,0,16,121.0,87.0,2,1,2,33.3,24_25,23,1
Unai López,MC,rayo,valladolid,1,22,0,0,0.0,0.0,0,0,0,18,83.3,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,12,40.0,19.0,0,1,0,100.0,24_25,23,1
