player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Gorka Guruzeta,ESP,28,DT,12,athletic,girona,1,64,0,0,0.3,0.2,4,4,0,8,37.5,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,0,0,0,0,6,14.0,10.0,0,1,1,50.0,24_25,23,08/02/2025,1,"[{'goles_90': [9, 0.57]}]"
Maroan Sannadi,MAR,24,DT,21,athletic,girona,0,26,0,0,0.1,0.0,1,0,1,10,70.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,1,2,10,73.0,51.0,2,0,0,0.0,24_25,23,08/02/2025,1,[]
Álex Berenguer,ESP,29,DT,7,athletic,girona,1,83,0,1,0.0,0.4,1,1,0,39,71.8,0,0,0.0,0.0,0.0,13,2,2,0,1,2,0,2,2,6,3,1,21,161.0,71.0,2,0,1,0.0,24_25,23,08/02/2025,1,"[{'asistencias': [8, 7.0]}, {'corners': [5, 101.0]}]"
Peio Canales,ESP,20,MC,28,athletic,girona,0,7,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,3,13.0,5.0,0,0,0,0.0,24_25,23,08/02/2025,1,[]
Iñaki Williams,GHA,30,DT,9,athletic,girona,1,90,0,1,0.3,0.9,3,2,1,30,60.0,0,0,0.0,0.0,0.0,10,2,2,0,1,0,0,0,0,3,0,3,23,141.0,78.0,4,1,1,50.0,24_25,23,08/02/2025,1,"[{'asistencias': [4, 8.0]}]"
Oihan Sancet,ESP,24,MC,8,athletic,girona,1,83,3,0,2.1,0.1,6,4,2,15,80.0,0,0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,3,2,1,19,139.0,55.0,1,1,1,50.0,24_25,23,08/02/2025,1,"[{'goles': [8, 15.0]}, {'goles_90': [5, 0.83]}, {'penaltis_marcados': [10, 3.0]}, {'goles_por_tiro': [2, 0.26]}]"
Endika Buján,ESP,22,DT,43,athletic,girona,0,7,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,2,1,1,5,26.0,13.0,1,0,0,0.0,24_25,23,08/02/2025,1,[]
Beñat Prados,ESP,24,MC,24,athletic,girona,1,75,0,0,0.0,0.6,0,0,0,45,82.2,0,0,0.0,0.0,0.0,8,2,1,0,0,2,0,2,1,2,1,1,27,101.0,52.0,1,0,1,0.0,24_25,23,08/02/2025,1,[]
Mikel Vesga,ESP,31,MC,6,athletic,girona,0,15,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,6.0,2.0,0,1,0,100.0,24_25,23,08/02/2025,1,"[{'apariciones_suplente': [5, 11.0]}]"
Mikel Jauregizar,ESP,21,MC,23,athletic,girona,1,90,0,0,0.1,0.1,2,1,1,44,79.5,0,0,0.0,0.0,0.0,10,5,6,0,2,0,0,0,0,0,0,0,19,75.0,36.0,0,0,0,0.0,24_25,23,08/02/2025,1,"[{'entradas': [6, 84.0]}, {'rojas': [8, 1.0]}]"
