player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Oliver McBurnie,DT,las palmas,villarreal,1,90,0,1,0.6,0.2,4,3,1,14,78.6,0,0,0.0,0.0,0.0,7,1,0,0,0,1,0,1,1,0,0,0,9,17.0,5.0,1,6,6,50.0,24_25,23,08/02/2025,1,[]
Alberto Moleiro,DT,las palmas,villarreal,1,90,0,0,0.2,0.0,5,5,0,38,81.6,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,5,2,2,43,298.0,176.0,5,1,3,25.0,24_25,23,08/02/2025,1,"[{'regates_exitosos': [8, 64.0]}]"
Sandro Ramírez,DT,las palmas,villarreal,1,84,0,0,0.1,0.0,2,2,0,23,60.9,1,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,6,1,5,26,213.0,104.0,3,0,0,0.0,24_25,23,08/02/2025,1,[]
Benito Ramírez,DT,las palmas,villarreal,0,6,0,0,0.0,0.0,1,0,1,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,15.0,10.0,0,0,0,0.0,24_25,23,08/02/2025,1,"[{'rojas': [8, 1.0]}]"
Javier Muñoz,MC,las palmas,villarreal,1,90,0,0,0.0,0.4,1,1,0,52,84.6,1,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,1,1,0,47,288.0,157.0,4,1,0,100.0,24_25,23,08/02/2025,1,[]
Stefan Bajcetic,MC,las palmas,villarreal,1,77,0,0,0.0,0.1,0,0,0,39,74.4,0,0,0.0,0.0,0.0,3,2,2,0,2,3,0,3,1,3,2,0,28,138.0,61.0,2,1,1,50.0,24_25,23,08/02/2025,1,[]
Marvin,DT,las palmas,villarreal,0,13,0,0,0.1,0.1,1,1,0,18,72.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,0,17,75.0,44.0,1,1,1,50.0,24_25,23,08/02/2025,1,[]
Enzo Loiodice,MC,las palmas,villarreal,1,60,0,0,0.0,0.0,1,0,1,30,96.7,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,0,0,0,0,25,69.0,38.0,0,0,1,0.0,24_25,23,08/02/2025,1,[]
Viti,DF,las palmas,villarreal,0,30,0,0,0.0,0.0,0,0,0,27,85.2,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,23,161.0,106.0,4,0,0,0.0,24_25,23,08/02/2025,1,[]
Mika Mármol,DF,las palmas,villarreal,1,90,0,0,0.0,0.0,1,1,0,65,72.3,1,0,0.0,0.0,0.0,-2,3,1,0,0,0,0,0,0,0,0,0,47,165.0,111.0,2,1,0,100.0,24_25,23,08/02/2025,1,"[{'intercepciones': [7, 44.0]}, {'despejes': [6, 147.0]}, {'rojas': [10, 1.0]}]"
Scott McKenna,DF,las palmas,villarreal,1,90,0,0,0.0,0.0,0,0,0,68,91.2,1,0,0.0,0.0,0.0,1,2,1,0,0,3,2,1,2,0,0,0,49,269.0,143.0,1,1,1,50.0,24_25,23,08/02/2025,1,"[{'rojas': [8, 1.0]}]"
Álex Suárez,DF,las palmas,villarreal,1,84,0,0,0.0,0.0,1,1,0,52,88.5,1,0,0.0,0.0,0.0,-1,1,0,0,0,0,0,0,1,1,0,1,41,210.0,105.0,0,1,2,33.3,24_25,23,08/02/2025,1,"[{'amarillas': [3, 12.0]}]"
Juan Herzog,DT,las palmas,villarreal,0,6,0,0,0.1,0.0,2,2,0,3,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,1,80.0,24_25,23,08/02/2025,1,[]
Andy Pelmard,DF,las palmas,villarreal,1,60,0,0,0.0,0.0,0,0,0,26,92.3,0,0,0.0,0.0,0.0,4,0,0,0,0,2,1,1,4,0,0,0,18,92.0,47.0,1,1,1,50.0,24_25,23,08/02/2025,1,[]
Manuel Fuster,DT,las palmas,villarreal,0,30,1,0,0.1,0.1,1,0,1,28,67.9,0,0,0.0,0.0,0.0,11,2,2,0,0,0,0,0,0,0,0,0,20,101.0,55.0,1,0,0,0.0,24_25,23,08/02/2025,1,"[{'apariciones_suplente': [10, 20.0]}]"
Jasper Cillessen,PT,las palmas,villarreal,1,90,0,0,0.0,0.0,0,0,0,37,67.6,0,0,2.0,50.0,1.4,4,0,0,0,0,0,0,0,0,0,0,0,32,160.0,74.0,0,0,0,0.0,24_25,23,08/02/2025,1,[]
Thierno Barry,DT,villarreal,las palmas,1,90,0,0,0.0,0.0,0,0,0,13,46.2,0,0,0.0,0.0,0.0,3,2,2,0,1,0,0,0,4,2,1,1,8,52.0,11.0,1,6,2,75.0,24_25,23,08/02/2025,0,[]
Ayoze Pérez,DT,villarreal,las palmas,1,67,1,0,0.5,0.1,3,2,1,9,55.6,0,0,0.0,0.0,0.0,10,2,2,0,1,1,0,1,0,0,0,0,13,62.0,39.0,2,0,0,0.0,24_25,23,08/02/2025,0,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Nicolas Pépé,DT,villarreal,las palmas,0,23,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,8,68.0,31.0,2,0,0,0.0,24_25,23,08/02/2025,0,"[{'asistencias_90': [3, 0.36]}]"
Alex Baena,MC,villarreal,las palmas,1,89,1,1,0.2,0.3,2,0,2,38,68.4,1,0,0.0,0.0,0.0,15,1,1,0,1,0,0,0,0,2,1,0,23,167.0,104.0,5,0,0,0.0,24_25,23,08/02/2025,0,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Eric Bailly,DF,villarreal,las palmas,0,1,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,2,4.0,0.0,0,1,0,100.0,24_25,23,08/02/2025,0,"[{'rojas': [8, 1.0]}]"
Pape Gueye,MC,villarreal,las palmas,1,90,0,0,0.1,0.0,2,1,1,40,70.0,0,0,0.0,0.0,0.0,7,1,1,0,0,2,2,0,4,2,1,1,24,106.0,78.0,1,2,0,100.0,24_25,23,08/02/2025,0,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Santi Comesaña,MC,villarreal,las palmas,1,45,0,0,0.0,0.0,0,0,0,20,70.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,9,44.0,24.0,1,2,1,66.7,24_25,23,08/02/2025,0,"[{'entradas': [5, 85.0]}]"
Daniel Parejo,MC,villarreal,las palmas,0,45,0,0,0.0,0.0,0,0,0,34,97.1,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,13,73.0,50.0,2,0,0,0.0,24_25,23,08/02/2025,0,"[{'pases_ultimo_tercio': [9, 176.0]}]"
Yeremi Pino,MC,villarreal,las palmas,1,75,0,0,0.1,0.1,2,2,0,15,73.3,0,0,0.0,0.0,0.0,4,1,3,0,3,2,1,1,2,1,0,1,14,50.0,21.0,1,0,1,0.0,24_25,23,08/02/2025,0,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
Tajon Buchanan,MC,villarreal,las palmas,0,15,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,1,0,0,0,1,3.0,1.0,0,1,0,100.0,24_25,23,08/02/2025,0,"[{'goles_por_tiro': [1, 0.38]}]"
Sergi Cardona,DF,villarreal,las palmas,1,90,0,1,0.0,0.2,0,0,0,47,72.3,1,0,0.0,0.0,0.0,10,3,1,0,0,0,0,0,7,0,0,0,22,108.0,78.0,2,0,2,0.0,24_25,23,08/02/2025,0,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
Willy Kambwala,DF,villarreal,las palmas,1,78,0,0,0.0,0.0,0,0,0,41,87.8,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,5,0,0,0,22,64.0,36.0,0,2,2,50.0,24_25,23,08/02/2025,0,"[{'rojas': [8, 1.0]}]"
Logan Costa,DF,villarreal,las palmas,0,12,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,4,0,0,0,1,8.0,1.0,0,0,2,0.0,24_25,23,08/02/2025,0,[]
