player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Kiké,DT,alaves,getafe,1,90,0,0,0.0,0.0,0,0,0,23,43.5,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,19,41.0,7.0,0,2,2,50.0,24_25,23,1
Toni Martínez,DT,alaves,getafe,1,90,0,0,0.1,0.0,3,2,1,16,56.3,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,3,1,1,10,64.0,29.0,2,3,7,30.0,24_25,23,1
Carlos Martín,MC,alaves,getafe,1,62,0,0,0.1,1.0,2,1,1,19,68.4,0,0,0.0,0.0,0.0,6,1,1,0,1,5,0,5,2,1,0,1,16,41.0,12.0,0,1,1,50.0,24_25,23,1
Pau Cabanes,MC,alaves,getafe,0,28,0,0,0.0,0.0,0,0,0,14,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,1,11,69.0,45.0,3,1,2,33.3,24_25,23,1
Carlos Vicente,MC,alaves,getafe,1,90,0,0,0.0,0.2,1,0,1,63,55.6,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,2,5,2,2,30,150.0,76.0,4,2,1,66.7,24_25,23,1
Ander Guevara,MC,alaves,getafe,1,62,0,0,0.0,0.0,0,0,0,37,75.7,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,6,0,0,0,16,42.0,26.0,0,0,2,0.0,24_25,23,1
Jon Guridi,MC,alaves,getafe,0,28,0,0,0.0,0.0,1,0,1,17,76.5,0,0,0.0,0.0,0.0,3,2,2,0,0,1,0,1,0,0,0,0,9,58.0,26.0,1,0,0,0.0,24_25,23,1
Antonio Blanco,MC,alaves,getafe,1,90,0,0,0.0,0.0,1,1,0,58,82.8,0,0,0.0,0.0,0.0,6,3,3,0,1,0,0,0,4,0,0,0,32,179.0,72.0,2,4,1,80.0,24_25,23,1
Manu Sánchez,DF,alaves,getafe,1,75,0,0,0.0,0.0,1,1,0,43,67.4,0,0,0.0,0.0,0.0,2,2,4,0,2,0,0,0,4,0,0,0,22,108.0,59.0,2,2,5,28.6,24_25,23,1
Asier Villalibre,DT,alaves,getafe,0,15,0,0,0.0,0.0,1,1,0,3,66.7,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,1,0,100.0,24_25,23,1
Moussa Diarra,DF,alaves,getafe,1,90,0,0,0.0,0.0,0,0,0,56,82.1,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,5,0,0,0,34,148.0,96.0,0,4,0,100.0,24_25,23,1
Abdel Abqar,DF,alaves,getafe,1,90,0,0,0.0,0.0,0,0,0,59,76.3,1,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,3,0,0,0,42,261.0,161.0,1,5,1,83.3,24_25,23,1
Nahuel Tenaglia,DF,alaves,getafe,1,90,0,0,1.0,0.0,2,2,0,64,71.9,0,0,0.0,0.0,0.0,4,3,1,0,0,1,0,1,9,2,1,1,44,153.0,85.0,1,4,2,66.7,24_25,23,1
Antonio Sivera,PT,alaves,getafe,1,90,0,0,0.0,0.0,0,0,0,36,61.1,0,0,1.0,100.0,1.5,5,0,0,0,0,0,0,0,1,0,0,0,19,122.0,90.0,0,0,0,0.0,24_25,23,1
Christantus Uche,DT,getafe,alaves,1,45,0,0,0.0,0.0,0,0,0,7,42.9,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,2,4,1,3,7,24.0,0.0,0,1,2,33.3,24_25,23,0
