player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Hugo Duro,DT,valencia,leganes,1,58,0,0,0.3,0.0,2,2,0,8,87.5,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,8,20.0,8.0,0,0,4,0.0,24_25,23,09/02/2025,1,"[{'goles_por_tiro': [9, 0.21]}]"
Umar Sadiq,DT,valencia,leganes,0,32,0,0,0.2,0.1,2,2,0,9,66.7,0,0,0.0,0.0,0.0,2,3,3,0,2,0,0,0,0,0,0,0,8,98.0,61.0,3,2,1,66.7,24_25,23,09/02/2025,1,[]
Domingos André Ribeiro Almeida,DT,valencia,leganes,1,76,0,1,0.0,0.5,0,0,0,40,82.5,0,0,0.0,0.0,0.0,13,3,2,0,1,1,0,1,1,1,0,0,23,180.0,90.0,3,0,1,0.0,24_25,23,09/02/2025,1,[]
Francisco Perez,MC,valencia,leganes,0,14,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,1,13.0,0.0,0,0,0,0.0,24_25,23,09/02/2025,1,"[{'apariciones_suplente': [5, 22.0]}]"
Luis Rioja,DT,valencia,leganes,1,90,0,0,0.0,0.0,1,0,1,43,60.5,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,3,4,0,2,30,301.0,156.0,2,0,0,0.0,24_25,23,09/02/2025,1,"[{'centros_area': [8, 25.0]}]"
Diego López,MC,valencia,leganes,1,70,0,1,0.3,0.6,5,4,1,21,71.4,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,2,1,1,17,131.0,106.0,4,1,6,14.3,24_25,23,09/02/2025,1,[]
Ivan Jaime Pajuelo,MC,valencia,leganes,0,20,0,0,0.0,0.1,0,0,0,12,91.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,0,12,84.0,50.0,1,2,1,66.7,24_25,23,09/02/2025,1,[]
Enzo Barrenechea,MC,valencia,leganes,1,76,0,0,0.2,0.0,1,1,0,43,79.1,1,0,0.0,0.0,0.0,4,4,2,0,0,2,1,1,0,0,0,0,22,82.0,23.0,0,0,1,0.0,24_25,23,09/02/2025,1,[]
José Luis García Vayá,MC,valencia,leganes,0,14,0,0,0.0,0.0,0,0,0,15,80.0,0,0,0.0,0.0,0.0,1,2,2,0,1,0,0,0,0,0,0,0,4,30.0,7.0,1,1,1,50.0,24_25,23,09/02/2025,1,"[{'rojas': [8, 1.0]}]"
Javier Guerra,MC,valencia,leganes,1,90,0,0,0.0,0.0,2,2,0,40,77.5,0,0,0.0,0.0,0.0,5,4,6,0,3,0,0,0,0,5,0,5,30,168.0,96.0,1,0,0,0.0,24_25,23,09/02/2025,1,"[{'rojas': [10, 1.0]}]"
José Luis Gayà,DF,valencia,leganes,1,90,0,0,0.4,0.0,2,2,0,44,77.3,0,0,0.0,0.0,0.0,9,8,5,0,0,1,0,1,2,4,2,2,23,116.0,43.0,1,0,1,0.0,24_25,23,09/02/2025,1,"[{'centros_area': [10, 23.0]}]"
Mouctar Diakhaby,DF,valencia,leganes,1,57,1,0,0.4,0.0,3,2,1,22,63.6,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,2,0,0,0,12,68.0,45.0,0,4,0,100.0,24_25,23,09/02/2025,1,[]
Yarek Gasiorowski,DF,valencia,leganes,0,33,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,4,30.0,23.0,0,0,0,0.0,24_25,23,09/02/2025,1,[]
César Tárrega,DF,valencia,leganes,1,90,0,0,0.0,0.0,0,0,0,32,81.3,0,0,0.0,0.0,0.0,8,1,1,0,0,1,1,0,3,0,0,0,18,133.0,55.0,0,5,1,83.3,24_25,23,09/02/2025,1,"[{'despejes': [3, 222.0]}, {'faltas_cometidas': [6, 56.0]}]"
