player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Robert Lewandowski,DT,barcelona,rayo,1,80,1,0,1.2,0.0,3,3,0,20,65.0,0,0,0.0,0.0,0.0,10,0,1,0,1,1,0,1,1,4,1,2,22,103.0,34.0,2,2,0,100.0,24_25,24,17/02/2025,1,"[{'goles': [2, 27.0]}, {'goles_90': [3, 0.91]}, {'penaltis_marcados': [10, 3.0]}, {'tiros_puerta': [3, 45.0]}, {'goles_por_tiro': [7, 0.22]}]"
Ferrán Torres,DT,barcelona,rayo,0,10,0,0,0.0,0.0,0,0,0,1,100.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0,0,1,0.0,24_25,24,17/02/2025,1,"[{'goles_por_tiro': [9, 0.21]}, {'rojas': [8, 1.0]}]"
Raphinha,DT,barcelona,rayo,1,90,0,0,0.8,0.2,6,3,3,27,74.1,0,0,0.0,0.0,0.0,6,0,2,0,2,0,0,0,0,0,0,0,20,81.0,26.0,1,1,1,50.0,24_25,24,17/02/2025,1,"[{'goles': [6, 18.0]}, {'goles_90': [9, 0.57]}, {'asistencias': [2, 9.0]}, {'tiros_puerta': [4, 40.0]}, {'pases_clave': [2, 91.0]}, {'corners': [1, 140.0]}]"
Lamine Yamal,DT,barcelona,rayo,1,90,0,0,0.4,0.0,4,3,1,32,68.8,0,0,0.0,0.0,0.0,7,2,3,0,1,0,0,0,0,6,3,2,35,184.0,64.0,1,0,0,0.0,24_25,24,17/02/2025,1,"[{'asistencias': [1, 13.0]}, {'asistencias_90': [2, 0.41]}, {'tiros_puerta': [2, 46.0]}, {'pases_clave': [6, 64.0]}, {'regates_exitosos': [1, 161.0]}]"
Gavi,MC,barcelona,rayo,1,65,0,0,0.0,0.0,0,0,0,22,90.9,1,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,1,1,0,0,13,46.0,25.0,1,2,0,100.0,24_25,24,17/02/2025,1,[]
Dani Olmo,MC,barcelona,rayo,0,25,0,0,0.0,0.2,0,0,0,13,84.6,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,1,2,1,1,11,94.0,65.0,1,0,0,0.0,24_25,24,17/02/2025,1,"[{'goles_90': [6, 0.74]}]"
Pedri,MC,barcelona,rayo,1,90,0,0,0.0,0.4,0,0,0,72,87.5,0,0,0.0,0.0,0.0,11,3,1,0,1,3,0,3,1,2,2,0,55,331.0,161.0,5,0,0,0.0,24_25,24,17/02/2025,1,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
Frenkie de Jong,MC,barcelona,rayo,1,87,0,0,0.0,0.0,0,0,0,83,91.6,0,0,0.0,0.0,0.0,8,1,3,0,2,1,0,1,1,1,1,0,55,389.0,254.0,1,0,0,0.0,24_25,24,17/02/2025,1,"[{'pases_completados_pct': [1, 94.4]}]"
Marc Casado,MC,barcelona,rayo,0,3,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0.0,24_25,24,17/02/2025,1,"[{'rojas': [8, 1.0]}]"
Alejandro Balde,DF,barcelona,rayo,1,90,0,0,0.0,0.2,0,0,0,52,86.5,0,0,0.0,0.0,0.0,11,0,0,0,0,1,0,1,4,5,4,1,41,337.0,249.0,7,1,0,100.0,24_25,24,17/02/2025,1,[]
Iñigo Martínez,DF,barcelona,rayo,1,90,0,0,0.0,0.0,0,0,0,51,84.3,0,0,0.0,0.0,0.0,10,1,1,0,1,2,0,2,7,1,1,0,33,238.0,145.0,1,2,1,66.7,24_25,24,17/02/2025,1,"[{'pases_ultimo_tercio': [3, 259.0]}]"
Pau Cubarsí,DF,barcelona,rayo,1,80,0,0,0.0,0.0,0,0,0,90,86.7,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,2,1,1,0,62,329.0,146.0,1,3,0,100.0,24_25,24,17/02/2025,1,"[{'pases_completados_pct': [5, 93.5]}, {'pases_ultimo_tercio': [7, 210.0]}]"
Eric García,DF,barcelona,rayo,0,10,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,8,53.0,27.0,0,0,0,0.0,24_25,24,17/02/2025,1,"[{'pases_completados_pct': [7, 92.1]}]"
Héctor Fort,DF,barcelona,rayo,1,65,0,0,0.0,0.1,0,0,0,39,84.6,0,0,0.0,0.0,0.0,6,0,0,0,0,3,0,3,0,0,0,0,23,83.0,42.0,2,0,1,0.0,24_25,24,17/02/2025,1,[]
Jules Koundé,DF,barcelona,rayo,0,25,0,0,0.0,0.0,0,0,0,17,82.4,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,11,53.0,29.0,1,0,0,0.0,24_25,24,17/02/2025,1,"[{'pases_ultimo_tercio': [4, 267.0]}]"
Wojciech Szczęsny,PT,barcelona,rayo,1,90,0,0,0.0,0.0,0,0,0,49,91.8,0,0,0.0,100.0,0.8,13,0,0,0,0,0,0,0,1,0,0,0,34,136.0,46.0,0,0,0,0.0,24_25,24,17/02/2025,1,"[{'porterias_cero': [7, 8.0]}]"
Randy Nteka,DT,rayo,barcelona,1,60,0,0,0.1,0.0,1,0,1,9,66.7,0,0,0.0,0.0,0.0,2,0,3,0,3,0,0,0,0,0,0,0,7,28.0,1.0,0,1,4,20.0,24_25,24,17/02/2025,0,[]
Adri Embarba,DT,rayo,barcelona,0,30,0,0,0.0,0.2,0,0,0,11,72.7,1,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,1,1,0,10,34.0,18.0,1,0,0,0.0,24_25,24,17/02/2025,0,"[{'corners': [6, 94.0]}]"
Álvaro García,DT,rayo,barcelona,1,86,0,0,0.3,0.1,2,0,2,20,65.0,0,0,0.0,0.0,0.0,4,1,2,0,1,5,0,5,1,0,0,0,17,49.0,18.0,2,0,1,0.0,24_25,24,17/02/2025,0,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Sergi Guardiola,DT,rayo,barcelona,0,4,0,0,0.1,0.0,1,1,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,7.0,4.0,0,0,0,0.0,24_25,24,17/02/2025,0,"[{'apariciones_suplente': [10, 21.0]}]"
Jorge de Frutos,DT,rayo,barcelona,1,90,0,0,0.4,0.1,2,1,1,25,64.0,0,0,0.0,0.0,0.0,2,1,2,0,2,4,0,4,0,1,1,0,22,97.0,41.0,1,0,1,0.0,24_25,24,17/02/2025,0,"[{'rojas': [8, 1.0]}]"
Isaac Palazón Camacho,MC,rayo,barcelona,1,73,0,0,0.0,0.2,0,0,0,20,75.0,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,4,2,2,11,65.0,25.0,1,0,0,0.0,24_25,24,17/02/2025,0,"[{'corners': [7, 92.0]}]"
Óscar Trejo,MC,rayo,barcelona,0,17,0,0,0.0,0.0,0,0,0,15,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,10,50.0,20.0,1,0,0,0.0,24_25,24,17/02/2025,0,"[{'rojas': [10, 1.0]}]"
Pathé Ciss,MC,rayo,barcelona,1,73,0,0,0.0,0.0,0,0,0,30,83.3,1,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,3,0,0,0,17,92.0,52.0,0,0,2,0.0,24_25,24,17/02/2025,0,"[{'amarillas': [3, 12.0]}]"
Óscar Valentín,MC,rayo,barcelona,0,17,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,1,0,2,0,2,0,0,0,0,0,0,0,8,36.0,12.0,0,0,0,0.0,24_25,24,17/02/2025,0,"[{'faltas_cometidas': [5, 57.0]}]"
Pedro Díaz,MC,rayo,barcelona,1,60,0,0,0.0,0.0,2,2,0,16,81.3,0,0,0.0,0.0,0.0,3,2,2,0,1,1,0,1,0,0,0,0,10,40.0,17.0,0,0,0,0.0,24_25,24,17/02/2025,0,[]
Gerard Gumbau,MC,rayo,barcelona,0,30,0,0,0.0,0.1,0,0,0,17,88.2,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,11,42.0,9.0,0,1,0,100.0,24_25,24,17/02/2025,0,"[{'amarillas': [5, 12.0]}, {'faltas_cometidas': [9, 62.0]}]"
Pep Chavarría,DF,rayo,barcelona,1,90,0,0,0.0,0.0,0,0,0,44,81.8,0,0,0.0,0.0,0.0,2,3,1,0,1,0,0,0,0,2,0,2,19,103.0,74.0,1,0,1,0.0,24_25,24,17/02/2025,0,"[{'rojas': [10, 1.0]}]"
Abdul Mumin,DF,rayo,barcelona,1,90,0,0,0.1,0.0,1,1,0,36,80.6,0,0,0.0,0.0,0.0,5,2,1,0,0,2,2,0,1,2,2,0,20,98.0,24.0,1,1,1,50.0,24_25,24,17/02/2025,0,"[{'rojas': [8, 1.0]}]"
Florian Lejeune,DF,rayo,barcelona,1,90,0,0,0.0,0.0,0,0,0,44,84.1,0,0,0.0,0.0,0.0,4,1,2,0,1,0,0,0,5,0,0,0,32,92.0,48.0,0,0,1,0.0,24_25,24,17/02/2025,0,"[{'despejes': [9, 181.0]}, {'minutos': [4, 3325.0]}]"
Andrei Ratiu,DF,rayo,barcelona,1,90,0,0,0.0,0.0,0,0,0,55,72.7,1,0,0.0,0.0,0.0,4,2,1,0,1,2,1,1,3,3,3,0,35,198.0,125.0,1,1,0,100.0,24_25,24,17/02/2025,0,"[{'regates_exitosos': [5, 76.0]}]"
Augusto Batalla,PT,rayo,barcelona,1,90,0,0,0.0,0.0,0,0,0,48,75.0,0,0,1.0,100.0,1.4,9,1,1,0,0,0,0,0,0,0,0,0,33,178.0,86.0,0,0,0,0.0,24_25,24,17/02/2025,0,"[{'porterias_cero': [7, 8.0]}, {'paradas': [5, 93.0]}, {'save_pct': [8, 75.2]}]"
