player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Cristhian Stuani,DT,girona,getafe,1,77,0,0,0.0,0.0,1,1,0,8,62.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.0,0.0,0,0,1,0.0
Portu,MC,girona,getafe,0,13,0,0,0.0,0.0,0,0,0,4,50.0,1,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,0,0,0,2,31.0,25.0,1,0,0,0.0
Bryan Gil,DT,girona,getafe,1,77,0,0,0.0,0.0,0,0,0,21,85.7,0,0,0.0,0.0,0.0,2,1,3,0,3,0,0,0,0,4,2,1,21,114.0,59.0,1,0,0,0.0
Iván Martín,MC,girona,getafe,0,13,0,0,0.0,0.0,0,0,0,18,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,15,74.0,35.0,0,0,0,0.0
Viktor Tsyhankov,DT,girona,getafe,1,89,0,1,0.2,0.3,4,3,1,38,78.9,0,0,0.0,0.0,0.0,9,2,1,0,0,0,0,0,1,4,0,4,33,166.0,99.0,4,0,0,0.0
Bojan Miovski,DT,girona,getafe,0,1,0,0,0.0,0.0,1,1,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,2,33.3
Yangel Herrera,MC,girona,getafe,1,72,1,0,0.3,0.1,2,0,2,26,69.2,0,1,0.0,0.0,0.0,7,3,3,0,3,0,0,0,3,5,3,2,24,126.0,57.0,2,1,2,33.3
Miguel Gutiérrez,MC,girona,getafe,1,90,0,0,0.1,0.1,3,3,0,39,66.7,0,0,0.0,0.0,0.0,1,1,1,0,0,2,1,1,1,0,0,0,31,165.0,61.0,1,0,0,0.0
Arnau Martinez,MC,girona,getafe,1,90,0,0,0.0,0.0,0,0,0,92,82.6,0,0,0.0,0.0,0.0,4,1,2,0,1,2,0,2,6,3,2,1,45,247.0,84.0,2,2,0,100.0
Oriol Romeu,MC,girona,getafe,1,68,0,0,0.0,0.0,0,0,0,41,85.4,0,0,0.0,0.0,0.0,2,2,1,0,1,1,0,1,0,1,0,1,23,105.0,52.0,0,2,2,50.0
Yaser Asprilla,DT,girona,getafe,0,22,0,0,0.0,0.0,1,0,1,14,92.9,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,1,1,16,92.0,46.0,2,0,0,0.0
Daley Blind,DF,girona,getafe,1,90,0,0,0.0,0.1,0,0,0,83,88.0,0,0,0.0,0.0,0.0,2,1,1,0,0,2,0,2,2,0,0,0,69,349.0,187.0,6,1,1,50.0
Ladislav Krejčí,DF,girona,getafe,1,90,0,0,0.0,0.0,1,1,0,100,90.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,1,0,1,2,1,1,83,478.0,293.0,1,3,1,75.0
David López,DF,girona,getafe,1,68,0,0,0.1,0.0,1,1,0,59,86.4,0,0,0.0,0.0,0.0,0,1,0,0,0,2,0,2,2,0,0,0,48,189.0,99.0,2,0,0,0.0
