player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Diego,ESP,24,DT,19,leganes,alaves,1,90,0,0,0.0,0.0,1,1,0,14,64.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,11,33.0,20.0,0,6,3,66.7,24_25,24,15/02/2025,1,[]
Juan Cruz,ESP,24,DT,11,leganes,alaves,1,71,0,0,0.0,0.0,1,1,0,10,70.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,5,34.0,22.0,0,2,1,66.7,24_25,24,15/02/2025,1,[]
Miguel,ESP,25,DT,9,leganes,alaves,0,19,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,5.0,4.0,0,0,0,0.0,24_25,24,15/02/2025,1,[]
Dani Raba,ESP,29,DT,10,leganes,alaves,1,90,2,0,1.6,0.2,0,0,0,34,58.8,1,0,0.0,0.0,0.0,13,0,0,0,0,2,0,2,1,1,0,1,26,78.0,30.0,1,1,0,100.0,24_25,24,15/02/2025,1,"[{'penaltis_marcados': [6, 4.0]}]"
Darko Brašanac,SRB,33,MC,14,leganes,alaves,1,71,0,0,0.0,0.0,0,0,0,18,50.0,1,0,0.0,0.0,0.0,-1,1,0,0,0,1,1,0,1,0,0,0,15,71.0,51.0,1,1,2,33.3,24_25,24,15/02/2025,1,[]
Óscar Rodríguez Arnaiz,ESP,26,MC,7,leganes,alaves,0,19,0,0,0.0,0.0,0,0,0,14,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,12,101.0,24.0,0,0,0,0.0,24_25,24,15/02/2025,1,"[{'rojas': [8, 1.0]}]"
Seydouba Cissé,GUI,24,MC,8,leganes,alaves,1,71,0,0,0.0,0.0,0,0,0,19,78.9,0,0,0.0,0.0,0.0,-1,1,0,0,0,0,0,0,3,2,1,1,12,79.0,47.0,1,0,1,0.0,24_25,24,15/02/2025,1,"[{'rojas': [8, 1.0]}]"
Duk,CPV,24,MC,18,leganes,alaves,0,19,0,0,0.0,0.0,0,0,0,9,44.4,1,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,1,1,0,8,43.0,27.0,1,0,0,0.0,24_25,24,15/02/2025,1,[]
Renato Tapia,PER,29,MC,5,leganes,alaves,1,84,0,0,0.0,0.0,1,1,0,28,78.6,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,2,2,2,0,22,71.0,29.0,1,0,1,0.0,24_25,24,15/02/2025,1,"[{'rojas': [10, 1.0]}]"
Munir El Haddadi,MAR,29,MC,23,leganes,alaves,0,5,1,0,0.1,0.0,1,0,1,4,75.0,0,1,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,0,1,4,7.0,3.0,1,1,0,100.0,24_25,24,15/02/2025,1,"[{'rojas': [8, 1.0]}]"
Javi Hernández,ESP,26,DF,20,leganes,alaves,1,84,0,0,0.0,0.0,1,1,0,22,77.3,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,4,2,0,2,11,38.0,21.0,0,1,2,33.3,24_25,24,15/02/2025,1,[]
Julián Chicco,ARG,27,DF,24,leganes,alaves,0,6,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,5.0,1,0,3,0.0,24_25,24,15/02/2025,1,[]
Matija Nastasić,SRB,31,DF,22,leganes,alaves,1,90,0,0,0.0,0.0,0,0,0,31,77.4,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,7,0,0,0,16,75.0,33.0,0,1,0,100.0,24_25,24,15/02/2025,1,"[{'despejes': [10, 165.0]}]"
