player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ante Budimir,DT,17,osasuna,real madrid,1,86,1,0,0.9,0.0,2,2,0,6,66.7,0,0,0.0,0.0,0.0,11,0,2,0,2,0,0,0,0,3,2,1,8,31.0,1.0,0,3,2,60.0,24_25,24,15/02/2025,1,"[{'goles': [3, 21.0]}, {'goles_90': [7, 0.64]}, {'penaltis_marcados': [1, 8.0]}, {'tiros_puerta': [9, 29.0]}]"
Raúl,DT,9,osasuna,real madrid,0,4,0,0,0.1,0.0,1,0,1,3,33.3,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0,2,0,100.0,24_25,24,15/02/2025,1,"[{'apariciones_suplente': [2, 27.0]}]"
Bryan Zaragoza,MC,19,osasuna,real madrid,1,78,0,0,0.0,0.5,0,0,0,26,76.9,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,3,1,2,30,308.0,211.0,5,0,1,0.0,24_25,24,15/02/2025,1,"[{'regates_exitosos': [9, 57.0]}]"
Moi Gómez,MC,16,osasuna,real madrid,0,12,0,0,0.0,0.1,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,0,0,0,0,10,35.0,12.0,0,0,0,0.0,24_25,24,15/02/2025,1,"[{'apariciones_suplente': [10, 20.0]}]"
Aimar Oroz,MC,10,osasuna,real madrid,1,90,0,0,0.1,0.0,2,1,1,33,84.8,1,0,0.0,0.0,0.0,3,1,2,0,1,2,0,2,1,3,3,0,28,128.0,70.0,2,2,0,100.0,24_25,24,15/02/2025,1,"[{'faltas_recibidas': [5, 64.0]}]"
Jon Moncayola,MC,7,osasuna,real madrid,1,78,0,0,0.5,0.1,1,0,1,49,81.6,0,0,0.0,0.0,0.0,3,1,3,0,2,2,1,1,1,0,0,0,40,168.0,59.0,1,1,0,100.0,24_25,24,15/02/2025,1,"[{'rojas': [10, 1.0]}]"
Iker Muñoz,MC,18,osasuna,real madrid,0,12,0,0,0.1,0.0,1,1,0,10,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,13.0,5.0,0,0,0,0.0,24_25,24,15/02/2025,1,[]
Rubén García,MC,14,osasuna,real madrid,1,90,0,0,0.0,0.1,1,1,0,45,62.2,0,0,0.0,0.0,0.0,6,2,4,0,3,0,0,0,1,4,2,1,35,178.0,92.0,4,2,1,66.7,24_25,24,15/02/2025,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Lucas Torró,MC,6,osasuna,real madrid,1,90,0,0,0.0,0.1,1,1,0,50,76.0,0,0,0.0,0.0,0.0,2,1,2,0,1,1,0,1,2,1,1,0,29,82.0,30.0,0,11,2,84.6,24_25,24,15/02/2025,1,"[{'faltas_cometidas': [1, 75.0]}]"
Juan Cruz Armada,DF,3,osasuna,real madrid,1,58,0,0,0.0,0.0,0,0,0,18,88.9,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,12,36.0,19.0,0,0,0,0.0,24_25,24,15/02/2025,1,[]
Abel Bretones,DF,23,osasuna,real madrid,0,32,0,0,0.0,0.0,0,0,0,17,88.2,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,13,59.0,41.0,1,0,0,0.0,24_25,24,15/02/2025,1,"[{'rojas': [2, 1.0]}]"
