player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Juanmi Latasa,DT,14,valladolid,sevilla,1,60,0,0,0.1,0.0,2,2,0,13,69.2,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,13.0,0.0,0,3,1,75.0,24_25,24,16/02/2025,1,"[{'rojas': [8, 1.0]}]"
Mamadou Sylla,DT,7,valladolid,sevilla,0,30,0,0,0.0,0.0,1,1,0,9,66.7,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,7,36.0,14.0,1,1,2,33.3,24_25,24,16/02/2025,1,"[{'penaltis_marcados': [6, 4.0]}]"
Adam Aznou,MC,39,valladolid,sevilla,1,45,0,0,0.0,0.0,0,0,0,12,58.3,0,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,2,2,0,10,49.0,12.0,0,2,0,100.0,24_25,24,16/02/2025,1,[]
Darwin Machís,MC,18,valladolid,sevilla,0,45,0,0,0.1,0.0,2,2,0,23,78.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,18,76.0,39.0,0,0,0,0.0,24_25,24,16/02/2025,1,"[{'rojas': [10, 1.0]}]"
Mario Martín,MC,12,valladolid,sevilla,1,73,0,0,0.0,0.3,0,0,0,52,82.7,0,0,0.0,0.0,0.0,6,2,2,0,1,1,0,1,1,2,2,0,37,146.0,65.0,1,1,1,50.0,24_25,24,16/02/2025,1,"[{'rojas': [1, 3.0]}]"
Stanko Jurić,MC,20,valladolid,sevilla,0,17,0,0,0.0,0.0,0,0,0,12,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,7,40.0,9.0,0,0,0,0.0,24_25,24,16/02/2025,1,"[{'rojas': [8, 1.0]}]"
Florian Grillitsch,MC,8,valladolid,sevilla,1,45,0,0,0.0,0.0,1,0,1,13,69.2,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,12,40.0,11.0,0,0,0,0.0,24_25,24,16/02/2025,1,[]
Selim Amallah,MC,21,valladolid,sevilla,0,45,0,0,0.0,0.0,0,0,0,21,81.0,1,0,0.0,0.0,0.0,-1,1,2,0,1,0,0,0,0,3,1,1,19,78.0,15.0,0,1,0,100.0,24_25,24,16/02/2025,1,"[{'rojas': [10, 1.0]}]"
Anuar,MC,23,valladolid,sevilla,1,90,0,0,0.2,0.1,1,1,0,29,82.8,1,0,0.0,0.0,0.0,-1,2,1,0,0,1,0,1,0,1,0,1,27,113.0,32.0,0,1,0,100.0,24_25,24,16/02/2025,1,[]
Tamás Nikitscher,MC,4,valladolid,sevilla,1,90,0,0,0.0,0.0,0,0,0,59,98.3,1,0,0.0,0.0,0.0,-1,2,2,0,0,1,0,1,0,1,0,0,43,237.0,78.0,0,1,0,100.0,24_25,24,16/02/2025,1,[]
Antonio Candela,DF,22,valladolid,sevilla,1,90,0,0,0.0,0.0,0,0,0,65,84.6,0,0,0.0,0.0,0.0,-3,0,0,0,0,0,0,0,1,2,1,1,46,292.0,175.0,2,1,1,50.0,24_25,24,16/02/2025,1,[]
David Torres,DF,3,valladolid,sevilla,1,90,0,0,0.0,0.0,0,0,0,93,88.2,0,0,0.0,0.0,0.0,-1,0,0,0,0,1,0,1,6,0,0,0,75,358.0,211.0,0,1,0,100.0,24_25,24,16/02/2025,1,[]
Joseph Aidoo,DF,16,valladolid,sevilla,1,90,0,0,0.0,0.0,0,0,0,81,95.1,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,6,0,0,0,74,382.0,211.0,0,0,0,0.0,24_25,24,16/02/2025,1,[]
Luis Pérez,DF,2,valladolid,sevilla,1,90,0,0,0.0,0.0,0,0,0,64,82.8,0,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,2,3,2,1,39,198.0,103.0,3,0,0,0.0,24_25,24,16/02/2025,1,"[{'centros_area': [3, 29.0]}]"
Karl Jakob Hein,PT,13,valladolid,sevilla,1,90,0,0,0.0,0.0,0,0,0,38,81.6,0,0,4.0,33.3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,22,102.0,76.0,0,0,0,0.0,24_25,24,16/02/2025,1,"[{'paradas': [4, 96.0]}]"
Isaac Romero,DT,7,sevilla,valladolid,1,74,1,0,0.0,0.0,1,0,1,14,64.3,1,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,1,1,8,34.0,11.0,0,1,1,50.0,24_25,24,16/02/2025,0,"[{'rojas': [8, 1.0]}]"
Chidera Ejuke,DT,21,sevilla,valladolid,0,16,0,1,0.0,0.3,0,0,0,12,100.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,1,0,1,11,144.0,56.0,1,0,0,0.0,24_25,24,16/02/2025,0,[]
Ruben Vargas,DT,5,sevilla,valladolid,1,81,0,1,0.1,0.1,2,2,0,34,82.4,0,0,0.0,0.0,0.0,9,2,3,0,2,0,0,0,0,1,0,1,23,128.0,73.0,2,0,0,0.0,24_25,24,16/02/2025,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [6, 0.42]}, {'penaltis_marcados': [9, 1.0]}]"
Suso,DT,10,sevilla,valladolid,0,9,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,41.0,29.0,1,0,1,0.0,24_25,24,16/02/2025,0,"[{'rojas': [10, 1.0]}]"
Dodi Lukebakio,DT,11,sevilla,valladolid,1,84,1,1,0.4,0.2,4,2,2,28,78.6,0,0,0.0,0.0,0.0,16,1,1,0,1,0,0,0,0,1,0,1,29,197.0,134.0,5,0,1,0.0,24_25,24,16/02/2025,0,"[{'tiros_puerta': [6, 38.0]}, {'regates_exitosos': [2, 84.0]}, {'rojas': [8, 1.0]}]"
Peque,DT,14,sevilla,valladolid,0,6,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,18.0,11.0,0,0,0,0.0,24_25,24,16/02/2025,0,[]
Djibril Sow,MC,20,sevilla,valladolid,1,90,0,0,0.0,0.0,0,0,0,63,88.9,0,0,0.0,0.0,0.0,6,0,0,0,0,2,0,2,2,4,1,1,43,169.0,89.0,1,1,1,50.0,24_25,24,16/02/2025,0,"[{'goles_por_tiro': [9, 0.25]}]"
Lucien Agoume,MC,18,sevilla,valladolid,1,90,0,0,0.0,0.0,0,0,0,45,91.1,0,0,0.0,0.0,0.0,6,2,1,0,0,1,1,0,0,1,0,1,27,160.0,50.0,0,1,3,25.0,24_25,24,16/02/2025,0,"[{'rojas': [8, 1.0]}]"
Juanlu Sánchez,MC,26,sevilla,valladolid,1,81,2,1,0.5,0.1,3,0,3,19,89.5,0,0,0.0,0.0,0.0,22,1,1,0,1,1,0,1,1,1,0,1,17,93.0,53.0,3,0,3,0.0,24_25,24,16/02/2025,0,"[{'rojas': [8, 1.0]}]"
Manu Bueno,MC,28,sevilla,valladolid,0,9,0,0,0.0,0.0,1,1,0,7,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,7,37.0,16.0,1,0,0,0.0,24_25,24,16/02/2025,0,[]
Adrià Pedrosa,DF,3,sevilla,valladolid,1,90,0,0,0.0,0.1,0,0,0,49,75.5,1,0,0.0,0.0,0.0,4,0,1,0,1,2,1,1,0,1,1,0,30,250.0,192.0,5,0,0,0.0,24_25,24,16/02/2025,0,[]
Kike Salas,DF,4,sevilla,valladolid,1,90,0,0,0.0,0.0,0,0,0,68,83.8,0,0,0.0,0.0,0.0,8,1,2,0,1,0,0,0,4,0,0,0,50,214.0,111.0,0,0,1,0.0,24_25,24,16/02/2025,0,[]
Nemanja Gudelj,DF,6,sevilla,valladolid,1,84,0,0,0.0,0.0,0,0,0,63,93.7,0,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,5,0,0,0,52,163.0,50.0,0,0,1,0.0,24_25,24,16/02/2025,0,[]
Ramón Martínez,DF,35,sevilla,valladolid,0,6,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,7,33.0,6.0,0,1,0,100.0,24_25,24,16/02/2025,0,[]
Carmona,DF,2,sevilla,valladolid,1,90,0,0,0.0,0.0,0,0,0,79,84.8,0,0,0.0,0.0,0.0,7,2,1,0,1,1,1,0,4,1,1,0,37,194.0,129.0,2,1,0,100.0,24_25,24,16/02/2025,0,"[{'entradas': [7, 83.0]}, {'intercepciones': [1, 68.0]}, {'amarillas': [6, 11.0]}]"
Ørjan Nyland,PT,13,sevilla,valladolid,1,90,0,0,0.0,0.0,0,0,0,40,62.5,0,0,0.0,100.0,0.1,11,0,0,0,0,0,0,0,1,0,0,0,29,170.0,74.0,0,0,0,0.0,24_25,24,16/02/2025,0,"[{'save_pct': [1, 76.9]}]"
