player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Borja Iglesias,DT,celta,osasuna,1,77,0,0,0.4,0.0,2,1,1,21,61.9,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,13,72.0,5.0,0,0,1,0.0,24_25,25,1
Pablo Durán,DT,celta,osasuna,0,13,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,25,1
Williot Swedberg,DT,celta,osasuna,1,85,0,0,0.1,0.0,2,1,1,31,87.1,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,2,4,1,3,26,139.0,49.0,2,0,2,0.0,24_25,25,1
Iker Losada,DT,celta,osasuna,0,5,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0.0,24_25,25,1
Fer López,DT,celta,osasuna,1,64,0,0,0.0,0.3,0,0,0,16,93.8,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,5,2,3,15,106.0,39.0,1,0,0,0.0,24_25,25,1
Iago Aspas,DT,celta,osasuna,0,26,1,0,0.9,0.0,1,1,0,16,62.5,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,1,0,1,15,64.0,24.0,1,0,1,0.0,24_25,25,1
Óscar Mingueza,MC,celta,osasuna,1,85,0,0,0.0,0.0,1,0,1,88,95.5,0,0,0.0,0.0,0.0,9,3,3,0,1,2,0,2,1,1,1,0,47,220.0,93.0,0,1,0,100.0,24_25,25,1
Jailson Siqueira,DF,celta,osasuna,0,5,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,25,1
Ilaix Moriba,MC,celta,osasuna,1,90,0,0,0.1,0.0,2,2,0,33,87.9,0,0,0.0,0.0,0.0,6,2,3,0,1,4,1,3,2,1,0,0,20,116.0,24.0,0,1,6,14.3,24_25,25,1
Hugo Sotelo,MC,celta,osasuna,1,77,0,0,0.0,0.0,0,0,0,43,76.7,0,0,0.0,0.0,0.0,4,0,1,0,1,1,1,0,1,0,0,0,13,35.0,12.0,0,0,1,0.0,24_25,25,1
Fran Beltrán,MC,celta,osasuna,0,13,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,8.0,2.0,0,0,0,0.0,24_25,25,1
Sergio Carreira,MC,celta,osasuna,1,90,0,0,0.0,0.1,1,0,1,31,67.7,0,0,0.0,0.0,0.0,9,2,1,0,0,2,0,2,2,1,0,1,16,93.0,39.0,2,1,0,100.0,24_25,25,1
Marcos Alonso,DF,celta,osasuna,1,90,0,0,0.0,0.3,1,1,0,69,95.7,0,0,0.0,0.0,0.0,16,2,2,0,0,1,1,0,13,1,1,0,46,380.0,281.0,1,2,2,50.0,24_25,25,1
Carl Starfelt,DF,celta,osasuna,1,90,0,0,0.2,0.0,1,1,0,68,89.7,0,0,0.0,0.0,0.0,9,1,0,0,0,3,3,0,8,0,0,0,45,226.0,168.0,1,7,4,63.6,24_25,25,1
Javi Rodríguez,DF,celta,osasuna,1,90,0,0,0.0,0.0,0,0,0,40,87.5,0,0,0.0,0.0,0.0,8,1,2,0,2,2,1,1,6,0,0,0,25,126.0,53.0,1,1,1,50.0,24_25,25,1
Vicente Guaita,PT,celta,osasuna,1,90,0,0,0.0,0.0,0,0,0,24,87.5,0,0,0.0,100.0,0.1,9,0,0,0,0,0,0,0,0,0,0,0,8,50.0,30.0,0,1,0,100.0,24_25,25,1
Bryan Zaragoza,DT,osasuna,celta,1,79,0,0,0.2,0.0,5,5,0,28,75.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,6,2,2,29,223.0,118.0,4,0,1,0.0,24_25,25,0
Raúl,MC,osasuna,celta,0,11,0,0,0.3,0.0,1,1,0,7,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,37.0,15.0,0,0,1,0.0,24_25,25,0
Ante Budimir,DT,osasuna,celta,1,90,0,0,0.2,0.0,4,4,0,7,85.7,0,0,0.0,0.0,0.0,3,0,0,0,0,2,1,1,0,2,0,1,7,23.0,0.0,0,4,7,36.4,24_25,25,0
Moi Gómez,MC,osasuna,celta,1,79,0,0,0.0,0.1,1,1,0,61,90.2,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,1,2,1,1,44,158.0,51.0,1,1,0,100.0,24_25,25,0
Kike Barja,MC,osasuna,celta,0,11,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,10,93.0,38.0,2,0,0,0.0,24_25,25,0
Lucas Torró,MC,osasuna,celta,1,90,0,0,0.1,0.0,2,2,0,47,87.2,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,37,126.0,34.0,0,5,2,71.4,24_25,25,0
Jon Moncayola,MC,osasuna,celta,1,86,0,0,0.0,0.0,0,0,0,37,73.0,0,0,0.0,0.0,0.0,2,2,3,0,1,0,0,0,1,0,0,0,29,69.0,30.0,0,1,0,100.0,24_25,25,0
Iker Muñoz,MC,osasuna,celta,0,4,0,0,0.0,0.0,0,0,0,14,85.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,8,26.0,17.0,0,1,0,100.0,24_25,25,0
Abel Bretones,DF,osasuna,celta,1,86,0,0,0.0,0.0,0,0,0,33,84.8,0,0,0.0,0.0,0.0,5,2,1,0,0,1,0,1,2,1,0,0,29,122.0,64.0,1,0,1,0.0,24_25,25,0
José Arnaiz,DF,osasuna,celta,0,4,0,0,0.1,0.0,2,1,1,8,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,38.0,16.0,1,0,0,0.0,24_25,25,0
Jorge Herrando,DF,osasuna,celta,1,90,0,0,0.0,0.0,1,1,0,70,92.9,0,0,0.0,0.0,0.0,6,3,1,0,0,1,0,1,3,1,1,0,53,212.0,105.0,1,2,0,100.0,24_25,25,0
Catena,DF,osasuna,celta,1,72,0,0,0.0,0.0,0,0,0,56,85.7,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,3,1,1,0,46,200.0,113.0,0,1,1,50.0,24_25,25,0
Rubén García,MC,osasuna,celta,0,18,0,0,0.0,0.2,0,0,0,27,77.8,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,0,0,23,108.0,46.0,2,0,0,0.0,24_25,25,0
Enzo Boyomo,DF,osasuna,celta,1,90,0,0,0.2,0.1,1,1,0,70,88.6,0,0,0.0,0.0,0.0,2,1,1,0,1,2,1,1,1,2,0,2,63,215.0,105.0,0,1,0,100.0,24_25,25,0
Rubén Peña,DF,osasuna,celta,1,90,0,0,0.1,0.2,1,1,0,66,66.7,0,0,0.0,0.0,0.0,5,2,2,0,1,1,0,1,0,4,1,2,56,147.0,104.0,0,1,1,50.0,24_25,25,0
Sergio Herrera,PT,osasuna,celta,1,90,0,0,0.0,0.0,0,0,0,43,69.8,0,0,1.0,100.0,2.2,9,1,1,0,0,0,0,0,1,0,0,0,33,129.0,96.0,0,1,0,100.0,24_25,25,0
