player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Kiké,DT,alaves,espanyol,1,90,0,0,0.5,0.1,1,0,1,24,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,24,83.0,19.0,0,5,2,71.4,24_25,25,1
Toni Martínez,DT,alaves,espanyol,1,61,0,0,0.2,0.0,3,2,1,21,61.9,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,14,67.0,30.0,3,7,3,70.0,24_25,25,1
Asier Villalibre,DT,alaves,espanyol,0,29,0,0,0.2,0.0,1,1,0,6,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,4,4.0,2.0,0,1,1,50.0,24_25,25,1
Carles Aleñá,MC,alaves,espanyol,1,90,0,0,0.0,0.3,1,0,1,51,66.7,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,0,1,1,0,34,222.0,130.0,6,1,0,100.0,24_25,25,1
Joan Jordán,MC,alaves,espanyol,1,90,0,0,0.2,0.9,3,2,1,70,74.3,0,0,0.0,0.0,0.0,7,2,3,0,1,0,0,0,1,0,0,0,37,63.0,38.0,0,1,2,33.3,24_25,25,1
Antonio Blanco,MC,alaves,espanyol,1,82,0,0,0.0,0.0,0,0,0,58,84.5,1,0,0.0,0.0,0.0,4,2,3,0,2,2,0,2,0,2,0,2,38,133.0,64.0,0,4,2,66.7,24_25,25,1
Ander Guevara,MC,alaves,espanyol,0,8,0,0,0.0,0.0,0,0,0,14,71.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,6.0,2.0,0,2,1,66.7,24_25,25,1
Carlos Vicente,MC,alaves,espanyol,1,45,0,0,0.0,0.0,0,0,0,25,80.0,0,0,0.0,0.0,0.0,2,0,2,0,2,0,0,0,0,0,0,0,17,45.0,19.0,0,1,2,33.3,24_25,25,1
Pau Cabanes,MC,alaves,espanyol,0,45,0,0,0.0,0.0,0,0,0,27,70.4,0,0,0.0,0.0,0.0,0,1,4,0,3,0,0,0,0,4,1,3,28,179.0,120.0,5,0,1,0.0,24_25,25,1
Moussa Diarra,DF,alaves,espanyol,1,89,0,0,0.0,0.0,0,0,0,46,69.6,0,0,0.0,0.0,0.0,5,1,1,0,1,2,0,2,2,5,3,2,29,157.0,89.0,2,0,2,0.0,24_25,25,1
Jon Guridi,MC,alaves,espanyol,0,1,0,0,0.2,0.0,1,1,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,4.0,2.0,0,1,0,100.0,24_25,25,1
Santiago Mouriño,DF,alaves,espanyol,1,90,0,0,0.3,0.0,2,2,0,54,68.5,0,0,0.0,0.0,0.0,3,0,0,0,0,4,3,1,5,1,0,1,35,221.0,160.0,1,3,1,75.0,24_25,25,1
Abdel Abqar,DF,alaves,espanyol,1,90,0,0,0.1,0.0,1,1,0,40,85.0,0,0,0.0,0.0,0.0,5,2,2,0,0,1,1,0,2,0,0,0,33,144.0,75.0,1,2,3,40.0,24_25,25,1
Nahuel Tenaglia,DF,alaves,espanyol,1,82,0,0,0.1,0.0,2,2,0,55,78.2,1,0,0.0,0.0,0.0,9,4,3,0,1,0,0,0,0,2,2,0,32,180.0,130.0,3,0,0,0.0,24_25,25,1
Manu Sánchez,DF,alaves,espanyol,0,8,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,1,0,0,0,2,0,2,0,1,0,0,6,35.0,8.0,0,0,0,0.0,24_25,25,1
Antonio Sivera,PT,alaves,espanyol,1,90,0,0,0.0,0.0,0,0,0,33,66.7,0,0,1.0,50.0,0.4,5,0,0,0,0,0,0,0,0,0,0,0,19,113.0,92.0,0,1,0,100.0,24_25,25,1
Roberto Férnandez,DT,espanyol,alaves,1,90,0,0,0.1,0.1,1,1,0,23,65.2,0,0,0.0,0.0,0.0,6,2,0,0,0,1,0,1,1,5,3,2,32,113.0,30.0,0,4,4,50.0,24_25,25,0
Javi Puado,DT,espanyol,alaves,1,66,0,0,0.0,0.1,0,0,0,17,52.9,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,0,3,1,2,19,94.0,43.0,2,0,1,0.0,24_25,25,0
Fernando Calero,MC,espanyol,alaves,0,24,1,0,0.1,0.0,1,0,1,6,83.3,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,5,16.0,10.0,0,0,2,0.0,24_25,25,0
Jofre,DT,espanyol,alaves,1,66,0,0,0.0,0.0,0,0,0,16,62.5,0,0,0.0,0.0,0.0,7,1,1,0,0,0,0,0,4,3,2,0,13,67.0,36.0,1,1,1,50.0,24_25,25,0
Álvaro Tejero,DT,espanyol,alaves,0,24,0,1,0.0,0.1,0,0,0,12,66.7,0,0,0.0,0.0,0.0,8,1,2,0,2,0,0,0,1,1,1,0,6,44.0,13.0,0,0,0,0.0,24_25,25,0
Alex Král,MC,espanyol,alaves,1,90,0,0,0.1,0.0,2,2,0,26,57.7,0,0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,3,3,0,2,24,78.0,22.0,0,2,6,25.0,24_25,25,0
Urko González,MC,espanyol,alaves,1,90,0,0,0.0,0.0,0,0,0,33,84.8,0,0,0.0,0.0,0.0,8,3,4,0,1,1,0,1,3,1,1,0,21,137.0,76.0,1,4,3,57.1,24_25,25,0
Pol Lozano,MC,espanyol,alaves,1,56,0,0,0.1,0.0,2,2,0,21,90.5,1,0,0.0,0.0,0.0,0,3,1,0,0,2,1,1,1,0,0,0,13,37.0,12.0,0,0,3,0.0,24_25,25,0
Pere Milla,MC,espanyol,alaves,0,17,0,0,0.0,0.0,0,0,0,6,33.3,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,3,18.0,16.0,1,1,0,100.0,24_25,25,0
Antoniu,DT,espanyol,alaves,0,17,0,0,0.0,0.0,1,0,1,2,100.0,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,2,3,1,2,6,37.0,9.0,1,1,1,50.0,24_25,25,0
Carlos Romero,DF,espanyol,alaves,1,90,0,0,0.0,0.0,0,0,0,31,67.7,0,0,0.0,0.0,0.0,8,2,2,0,1,1,1,0,6,1,0,1,20,153.0,82.0,1,1,1,50.0,24_25,25,0
Leandro Cabrera,DF,espanyol,alaves,1,90,0,0,0.0,0.0,1,1,0,32,68.8,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,11,0,0,0,18,74.0,31.0,0,4,1,80.0,24_25,25,0
Marash Kumbulla,DF,espanyol,alaves,1,90,0,0,0.0,0.0,0,0,0,22,63.6,0,0,0.0,0.0,0.0,11,2,1,0,1,0,0,0,15,0,0,0,18,56.0,9.0,0,0,4,0.0,24_25,25,0
Omar El Hilali,DF,espanyol,alaves,1,90,0,0,0.0,0.0,1,1,0,51,80.4,1,0,0.0,0.0,0.0,8,1,1,0,0,2,0,2,6,2,1,0,34,181.0,111.0,2,2,2,50.0,24_25,25,0
Joan García,PT,espanyol,alaves,1,90,0,0,0.0,0.0,0,0,0,32,53.1,0,0,0.0,100.0,1.6,13,0,0,0,0,1,0,1,2,0,0,0,21,139.0,90.0,0,0,0,0.0,24_25,25,0
