player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Vinicius Júnior,DT,real madrid,girona,1,89,1,0,0.7,0.1,6,5,1,38,73.7,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,4,3,1,42,425.0,249.0,9,0,0,0.0
Endrick,DT,real madrid,girona,0,1,0,0,0.0,0.2,0,0,0,1,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,1,47.0,47.0,1,0,0,0.0
Kylian Mbappé,DT,real madrid,girona,1,90,0,1,0.8,0.4,6,3,3,58,89.7,0,0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,7,3,4,50,318.0,158.0,6,1,0,100.0
Rodrygo,MC,real madrid,girona,1,90,0,0,0.5,0.1,5,5,0,62,93.5,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,3,1,2,58,330.0,203.0,7,0,2,0.0
Brahim Díaz,MC,real madrid,girona,1,72,0,0,0.0,0.0,0,0,0,38,94.7,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,28,137.0,49.0,1,0,0,0.0
Dani Ceballos,MC,real madrid,girona,0,18,0,0,0.0,0.0,0,0,0,17,94.1,0,0,0.0,0.0,0.0,2,1,2,0,1,1,1,0,1,0,0,0,15,64.0,40.0,1,0,0,0.0
Luka Modrić,MC,real madrid,girona,1,85,1,0,0.1,0.6,2,1,1,116,90.5,0,0,0.0,0.0,0.0,15,2,1,0,1,0,0,0,2,1,1,0,88,379.0,159.0,2,1,0,100.0
Antonio Rüdiger,DF,real madrid,girona,0,5,0,0,0.0,0.0,0,0,0,8,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,4.0,2.0,0,0,0,0.0
Aurélien Tchouaméni,MC,real madrid,girona,1,90,0,0,0.1,0.0,2,2,0,81,95.1,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,6,1,1,0,49,227.0,116.0,1,2,1,66.7
Ferland Mendy,DF,real madrid,girona,1,90,0,0,0.0,0.0,0,0,0,76,97.4,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,1,0,0,0,50,233.0,150.0,2,1,0,100.0
David Alaba,DF,real madrid,girona,1,72,0,0,0.0,0.0,0,0,0,49,91.8,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,2,0,0,0,45,170.0,78.0,0,0,0,0.0
Eduardo Camavinga,MC,real madrid,girona,0,18,0,0,0.0,0.3,0,0,0,14,100.0,0,0,0.0,0.0,0.0,3,2,3,0,1,0,0,0,0,0,0,0,13,70.0,21.0,0,0,0,0.0
Raúl Asencio,DF,real madrid,girona,1,90,0,0,0.0,0.0,0,0,0,55,96.4,0,0,0.0,0.0,0.0,8,0,0,0,0,1,1,0,3,0,0,0,42,161.0,82.0,0,0,0,0.0
Lucas Vázquez,DF,real madrid,girona,1,90,0,0,0.0,0.0,1,1,0,79,89.9,0,0,0.0,0.0,0.0,8,4,4,0,2,0,0,0,1,2,1,1,58,247.0,128.0,1,0,0,0.0
Thibaut Courtois,PT,real madrid,girona,1,90,0,0,0.0,0.0,0,0,0,14,100.0,0,0,0.0,100.0,0.2,10,0,0,0,0,0,0,0,0,0,0,0,9,49.0,39.0,0,0,0,0.0
Arnaut Danjuma,DT,girona,real madrid,1,65,0,0,0.0,0.3,0,0,0,15,86.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,0,1,16,114.0,88.0,3,0,0,0.0
Yaser Asprilla,MC,girona,real madrid,0,25,0,0,0.1,0.0,2,2,0,7,85.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,2,1,8,79.0,51.0,2,0,0,0.0
Viktor Tsyhankov,DT,girona,real madrid,1,90,0,0,0.3,0.0,2,2,0,27,70.4,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,22,145.0,103.0,5,0,1,0.0
Donny van de Beek,MC,girona,real madrid,1,55,0,0,0.0,0.1,1,0,1,11,100.0,0,0,0.0,0.0,0.0,2,0,2,0,2,1,0,1,1,1,1,0,5,45.0,22.0,1,2,0,100.0
Arthur Melo,MC,girona,real madrid,0,35,0,0,0.0,0.0,0,0,0,40,95.0,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,1,0,1,32,226.0,101.0,2,0,0,0.0
Oriol Romeu,MC,girona,real madrid,1,65,0,0,0.0,0.1,0,0,0,28,89.3,0,0,0.0,0.0,0.0,3,0,1,0,1,1,1,0,2,0,0,0,21,120.0,78.0,3,0,0,0.0
Jhon Solis,MC,girona,real madrid,0,25,0,0,0.0,0.0,0,0,0,13,100.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,12,90.0,64.0,2,0,1,0.0
Iván Martín,MC,girona,real madrid,1,65,0,0,0.0,0.0,0,0,0,37,86.5,0,0,0.0,0.0,0.0,3,3,3,0,0,1,0,1,1,0,0,0,30,204.0,97.0,3,0,0,0.0
Bryan Gil,MC,girona,real madrid,0,25,0,0,0.0,0.0,0,0,0,12,75.0,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,2,2,0,12,136.0,50.0,2,0,0,0.0
Miguel Gutiérrez,MC,girona,real madrid,1,74,0,0,0.0,0.0,0,0,0,28,67.9,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,18,73.0,21.0,1,0,0,0.0
Bojan Miovski,DT,girona,real madrid,0,16,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,3,26.0,0.0,0,0,0,0.0
Arnau Martinez,MC,girona,real madrid,1,90,0,0,0.1,0.0,1,0,1,29,79.3,0,0,0.0,0.0,0.0,2,3,5,0,3,0,0,0,4,0,0,0,21,101.0,44.0,1,0,0,0.0
Daley Blind,DF,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,65,95.4,0,0,0.0,0.0,0.0,0,1,2,0,1,1,0,1,2,0,0,0,42,202.0,113.0,2,0,1,0.0
Ladislav Krejčí,DF,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,41,92.7,1,0,0.0,0.0,0.0,1,1,2,0,1,3,2,1,5,0,0,0,31,120.0,70.0,0,1,2,33.3
David López,DF,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,30,93.3,0,0,0.0,0.0,0.0,2,2,1,0,1,1,1,0,8,0,0,0,21,92.0,47.0,0,0,0,0.0
Paulo Gazzaniga,PT,girona,real madrid,1,90,0,0,0.0,0.0,0,0,0,30,80.0,0,0,2.0,60.0,1.7,2,0,0,0,0,0,0,0,2,0,0,0,20,90.0,82.0,0,0,0,0.0
