player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Dani Rodríguez,DT,mallorca,alaves,1,87,0,1,0.1,0.3,2,2,0,26,61.5,0,0,0.0,0.0,0.0,11,3,1,0,0,3,0,3,2,3,0,3,20,76.0,38.0,1,2,0,100.0,24_25,26,02/03/2025,1,"[{'asistencias': [8, 7.0]}]"
Abdón Prats,DT,mallorca,alaves,0,3,0,0,0.0,0.0,1,0,1,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,26,02/03/2025,1,"[{'apariciones_suplente': [6, 21.0]}]"
Vedat Muriqi,DT,mallorca,alaves,1,90,0,0,0.9,0.1,6,5,1,18,22.2,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,2,2,0,0,16,67.0,34.0,1,9,3,75.0,24_25,26,02/03/2025,1,"[{'rojas': [2, 2.0]}]"
Roberto Navarro,MC,mallorca,alaves,1,71,0,0,0.0,0.0,1,1,0,18,66.7,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,4,2,1,15,90.0,27.0,1,1,0,100.0,24_25,26,02/03/2025,1,"[{'rojas': [10, 1.0]}]"
Manu Morlanes,MC,mallorca,alaves,0,19,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,5,13.0,7.0,0,0,0,0.0,24_25,26,02/03/2025,1,"[{'rojas': [2, 1.0]}]"
Sergi Darder,MC,mallorca,alaves,1,90,0,0,0.0,0.4,2,1,1,41,78.0,0,0,0.0,0.0,0.0,4,0,1,0,1,3,0,3,0,1,1,0,25,121.0,37.0,0,0,0,0.0,24_25,26,02/03/2025,1,"[{'corners': [9, 32.0]}]"
Omar Mascarell,MC,mallorca,alaves,1,72,0,0,0.0,0.0,0,0,0,24,75.0,0,0,0.0,0.0,0.0,3,1,2,0,1,3,2,1,1,1,0,1,15,60.0,20.0,0,4,0,100.0,24_25,26,02/03/2025,1,"[{'intercepciones': [5, 49.0]}, {'rojas': [8, 1.0]}]"
Cyle Larin,DT,mallorca,alaves,0,18,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,6.0,0.0,0,0,0,0.0,24_25,26,02/03/2025,1,[]
Takuma Asano,MC,mallorca,alaves,1,64,1,0,0.0,0.1,1,0,1,9,66.7,0,0,0.0,0.0,0.0,10,2,1,0,0,0,0,0,0,2,1,1,4,19.0,3.0,0,0,6,0.0,24_25,26,02/03/2025,1,[]
Samu Costa,MC,mallorca,alaves,0,26,0,0,0.0,0.0,1,1,0,18,88.9,0,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,1,0,0,0,12,57.0,28.0,0,0,2,0.0,24_25,26,02/03/2025,1,"[{'entradas': [4, 90.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [4, 62.0]}, {'faltas_recibidas': [7, 63.0]}]"
