player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ante Budimir,CRO,33,DT,17,osasuna,valencia,1,90,1,1,0.9,0.2,2,2,0,16,37.5,0,0,0.0,0.0,0.0,10,2,1,0,1,0,0,0,0,1,0,1,16,73.0,31.0,1,5,3,62.5,24_25,26,02/03/2025,1,"[{'goles': [3, 21.0]}, {'goles_90': [7, 0.64]}, {'penaltis_marcados': [1, 8.0]}, {'tiros_puerta': [9, 29.0]}]"
Bryan Zaragoza,ESP,23,DT,19,osasuna,valencia,1,72,0,0,0.1,0.0,3,1,2,31,71.0,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,0,4,0,4,33,272.0,116.0,5,1,0,100.0,24_25,26,02/03/2025,1,"[{'regates_exitosos': [9, 57.0]}]"
Moi Gómez,ESP,30,MC,16,osasuna,valencia,0,18,0,0,0.0,0.0,0,0,0,9,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,35.0,0.0,0,0,0,0.0,24_25,26,02/03/2025,1,"[{'apariciones_suplente': [10, 20.0]}]"
Rubén García,ESP,31,DT,14,osasuna,valencia,1,90,0,0,0.0,0.0,0,0,0,47,72.3,0,0,0.0,0.0,0.0,6,0,3,0,3,1,0,1,1,0,0,0,33,174.0,77.0,3,0,1,0.0,24_25,26,02/03/2025,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Aimar Oroz,ESP,23,MC,10,osasuna,valencia,1,54,2,0,0.2,0.1,2,0,2,30,90.0,0,0,0.0,0.0,0.0,15,0,1,0,1,0,0,0,0,2,1,1,21,148.0,76.0,3,0,0,0.0,24_25,26,02/03/2025,1,"[{'faltas_recibidas': [5, 64.0]}]"
Kike Barja,ESP,27,DT,11,osasuna,valencia,0,36,0,0,0.0,0.0,1,1,0,7,42.9,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,2,0,0,0,8,90.0,62.0,3,0,0,0.0,24_25,26,02/03/2025,1,"[{'apariciones_suplente': [5, 11.0]}]"
Lucas Torró,ESP,30,MC,6,osasuna,valencia,1,90,0,0,0.0,0.2,0,0,0,57,80.7,1,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,35,172.0,56.0,1,4,3,57.1,24_25,26,02/03/2025,1,"[{'faltas_cometidas': [1, 75.0]}]"
Jon Moncayola,ESP,26,MC,7,osasuna,valencia,1,71,0,0,0.0,0.0,0,0,0,40,82.5,0,0,0.0,0.0,0.0,2,6,4,0,2,2,0,2,0,0,0,0,24,64.0,19.0,0,0,0,0.0,24_25,26,02/03/2025,1,"[{'rojas': [10, 1.0]}]"
Iker Muñoz,ESP,22,MC,18,osasuna,valencia,0,19,0,0,0.0,0.0,0,0,0,6,83.3,1,0,0.0,0.0,0.0,0,1,1,0,0,1,0,1,0,0,0,0,3,15.0,0.0,0,0,1,0.0,24_25,26,02/03/2025,1,[]
Abel Bretones,ESP,24,DF,23,osasuna,valencia,1,71,0,0,0.0,0.0,0,0,0,49,81.6,0,0,0.0,0.0,0.0,4,3,1,0,0,1,0,1,4,1,1,0,36,249.0,155.0,3,0,1,0.0,24_25,26,02/03/2025,1,"[{'rojas': [2, 1.0]}]"
Juan Cruz Armada,ESP,32,DF,3,osasuna,valencia,0,19,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,7,29.0,23.0,0,0,0,0.0,24_25,26,02/03/2025,1,[]
Catena,ESP,30,DF,24,osasuna,valencia,1,90,0,0,0.2,0.1,1,1,0,57,94.7,0,0,0.0,0.0,0.0,5,2,2,0,0,0,0,0,6,0,0,0,39,157.0,79.0,0,3,2,60.0,24_25,26,02/03/2025,1,"[{'despejes': [5, 221.0]}, {'amarillas': [6, 11.0]}]"
Enzo Boyomo,CMR,23,DF,22,osasuna,valencia,1,90,0,0,0.0,0.0,1,1,0,41,90.2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,36,163.0,63.0,1,0,1,0.0,24_25,26,02/03/2025,1,"[{'minutos': [6, 3257.0]}]"
Jesús Areso,ESP,25,DF,12,osasuna,valencia,1,82,0,1,0.0,0.1,0,0,0,45,88.9,0,0,0.0,0.0,0.0,4,2,2,0,0,0,0,0,1,6,1,4,35,289.0,94.0,2,0,0,0.0,24_25,26,02/03/2025,1,"[{'centros_area': [2, 30.0]}]"
Rubén Peña,ESP,33,DF,15,osasuna,valencia,0,8,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,4,36.0,12.0,1,0,0,0.0,24_25,26,02/03/2025,1,[]
Sergio Herrera,ESP,31,PT,1,osasuna,valencia,1,90,0,0,0.0,0.0,0,0,0,41,78.0,0,0,3.0,40.0,2.4,4,0,1,0,1,0,0,0,1,0,0,0,25,158.0,95.0,0,0,0,0.0,24_25,26,02/03/2025,1,"[{'minutos': [3, 3330.0]}, {'porterias_cero': [7, 8.0]}, {'paradas': [2, 131.0]}, {'save_pct': [7, 75.3]}]"
Umar Sadiq,NGA,28,DT,12,valencia,osasuna,1,90,2,0,0.7,0.0,2,0,2,23,65.2,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,1,0,1,16,59.0,17.0,0,1,1,50.0,24_25,26,02/03/2025,0,[]
