player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Umar Sadiq,DT,valencia,valladolid,1,90,1,0,0.9,0.3,5,4,1,11,72.7,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,1,1,1,0,14,50.0,14.0,1,1,2,33.3,24_25,27,08/03/2025,1,[]
Diego López,DT,valencia,valladolid,1,70,1,0,0.3,0.1,2,1,1,11,90.9,0,0,0.0,0.0,0.0,8,1,2,0,1,1,0,1,1,1,0,1,9,62.0,17.0,1,1,0,100.0,24_25,27,08/03/2025,1,[]
Francisco Perez,DT,valencia,valladolid,0,20,0,0,0.0,0.0,0,0,0,7,42.9,0,0,0.0,0.0,0.0,2,1,1,0,1,1,1,0,0,2,0,2,6,42.0,12.0,0,3,0,100.0,24_25,27,08/03/2025,1,"[{'apariciones_suplente': [5, 22.0]}]"
Luis Rioja,DT,valencia,valladolid,1,80,0,0,0.1,0.0,3,2,1,47,72.3,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,3,0,3,33,283.0,180.0,6,0,1,0.0,24_25,27,08/03/2025,1,"[{'centros_area': [8, 25.0]}]"
Sergi Canós,DT,valencia,valladolid,0,10,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,2,8.0,3.0,0,0,0,0.0,24_25,27,08/03/2025,1,[]
Domingos André Ribeiro Almeida,MC,valencia,valladolid,1,73,0,0,0.0,0.3,1,1,0,36,83.3,0,0,0.0,0.0,0.0,6,6,1,0,0,0,0,0,0,3,1,1,20,136.0,75.0,1,0,0,0.0,24_25,27,08/03/2025,1,[]
Ivan Jaime Pajuelo,MC,valencia,valladolid,0,17,0,0,0.3,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,5,19.0,3.0,0,1,2,33.3,24_25,27,08/03/2025,1,[]
Enzo Barrenechea,MC,valencia,valladolid,1,89,0,1,0.1,0.3,1,1,0,77,92.2,0,0,0.0,0.0,0.0,9,3,4,0,1,0,0,0,0,2,1,1,44,248.0,147.0,2,2,0,100.0,24_25,27,08/03/2025,1,[]
Mouctar Diakhaby,MC,valencia,valladolid,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,27,08/03/2025,1,[]
Javier Guerra,MC,valencia,valladolid,1,69,0,0,0.0,0.1,1,1,0,49,85.7,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,1,2,0,2,26,139.0,72.0,2,1,1,50.0,24_25,27,08/03/2025,1,"[{'rojas': [10, 1.0]}]"
