player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Orri Steinn Óskarsson,DT,9,real sociedad,sevilla,1,90,0,0,0.1,0.0,2,2,0,11,36.4,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,7,18.0,5.0,0,3,8,27.3,24_25,27,09/03/2025,1,[]
Sergio Gómez,MC,17,real sociedad,sevilla,1,77,0,0,0.0,0.5,0,0,0,39,64.1,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,0,4,3,0,27,194.0,76.0,2,0,0,0.0,24_25,27,09/03/2025,1,"[{'pases_clave': [10, 56.0]}, {'corners': [2, 133.0]}]"
Takefusa Kubo,MC,14,real sociedad,sevilla,0,13,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,2,1,0,7,39.0,32.0,2,0,0,0.0,24_25,27,09/03/2025,1,"[{'regates_exitosos': [6, 75.0]}, {'faltas_recibidas': [1, 73.0]}]"
Olasagasti,MC,16,real sociedad,sevilla,1,60,0,0,0.0,0.0,0,0,0,24,75.0,0,0,0.0,0.0,0.0,3,2,1,0,0,1,0,1,0,1,0,1,15,74.0,37.0,1,0,3,0.0,24_25,27,09/03/2025,1,[]
Mikel Oyarzabal,MC,10,real sociedad,sevilla,0,30,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,9,40.0,20.0,2,0,1,0.0,24_25,27,09/03/2025,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Pablo Marín,MC,28,real sociedad,sevilla,1,90,0,0,0.0,0.0,1,1,0,22,81.8,1,0,0.0,0.0,0.0,4,2,2,0,0,0,0,0,0,4,3,1,22,145.0,35.0,1,0,2,0.0,24_25,27,09/03/2025,1,[]
Sheraldo Becker,MC,11,real sociedad,sevilla,1,60,0,0,0.2,0.0,1,0,1,23,73.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,17,113.0,57.0,3,0,0,0.0,24_25,27,09/03/2025,1,"[{'rojas': [8, 1.0]}]"
Ander Barrenetxea,MC,7,real sociedad,sevilla,0,30,0,0,0.0,0.0,0,0,0,18,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,12,59.0,29.0,0,0,1,0.0,24_25,27,09/03/2025,1,"[{'regates_exitosos': [7, 32.0]}]"
Beñat Turrientes,MC,22,real sociedad,sevilla,1,60,0,0,0.0,0.0,0,0,0,34,91.2,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,1,0,0,0,26,149.0,77.0,0,1,5,16.7,24_25,27,09/03/2025,1,[]
Martín Zubimendi,MC,4,real sociedad,sevilla,0,30,0,0,0.0,0.0,0,0,0,26,88.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,19,127.0,58.0,0,0,0,0.0,24_25,27,09/03/2025,1,[]
Javi López,DF,12,real sociedad,sevilla,1,90,0,0,0.0,0.0,0,0,0,70,77.1,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,2,1,1,0,38,212.0,125.0,4,0,1,0.0,24_25,27,09/03/2025,1,[]
Nayef Aguerd,DF,21,real sociedad,sevilla,1,90,0,0,0.2,0.0,1,0,1,98,88.8,0,0,0.0,0.0,0.0,3,0,0,0,0,1,1,0,2,1,0,1,88,653.0,392.0,3,1,0,100.0,24_25,27,09/03/2025,1,[]
Igor Zubeldia,DF,5,real sociedad,sevilla,1,90,0,0,0.1,0.0,1,1,0,96,88.5,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,4,0,0,0,81,470.0,275.0,2,3,1,75.0,24_25,27,09/03/2025,1,"[{'rojas': [8, 1.0]}]"
Jon Aramburu,DF,19,real sociedad,sevilla,1,60,0,0,0.0,0.0,1,1,0,41,75.6,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,3,1,2,31,147.0,65.0,1,0,0,0.0,24_25,27,09/03/2025,1,"[{'entradas': [2, 102.0]}]"
Hamari Traoré,DF,18,real sociedad,sevilla,0,30,0,0,0.0,0.0,0,0,0,42,85.7,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,31,120.0,49.0,1,1,1,50.0,24_25,27,09/03/2025,1,[]
Unai Marrero,PT,13,real sociedad,sevilla,1,90,0,0,0.0,0.0,0,0,0,30,73.3,0,0,1.0,75.0,1.1,6,0,0,0,0,0,0,0,1,0,0,0,17,63.0,22.0,0,0,0,0.0,24_25,27,09/03/2025,1,[]
Isaac Romero,DT,7,sevilla,real sociedad,1,69,0,0,0.3,0.0,2,1,1,9,66.7,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,9,19.0,16.0,1,1,2,33.3,24_25,27,09/03/2025,0,"[{'rojas': [8, 1.0]}]"
Albert Sambi Lokonga,MC,12,sevilla,real sociedad,0,21,0,0,0.1,0.0,1,1,0,9,77.8,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,46.0,23.0,1,0,0,0.0,24_25,27,09/03/2025,0,[]
Chidera Ejuke,DT,21,sevilla,real sociedad,1,69,1,0,0.1,0.0,2,1,1,23,91.3,0,0,0.0,0.0,0.0,12,2,1,0,0,0,0,0,0,4,2,1,25,163.0,115.0,6,0,0,0.0,24_25,27,09/03/2025,0,[]
Juanlu Sánchez,DT,26,sevilla,real sociedad,0,21,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,0,0,0,2,4.0,4.0,0,1,0,100.0,24_25,27,09/03/2025,0,"[{'rojas': [8, 1.0]}]"
Dodi Lukebakio,DT,11,sevilla,real sociedad,1,89,0,0,0.0,0.2,0,0,0,25,80.0,0,0,0.0,0.0,0.0,9,1,1,0,1,2,0,2,3,1,0,1,15,150.0,85.0,2,0,1,0.0,24_25,27,09/03/2025,0,"[{'tiros_puerta': [6, 38.0]}, {'regates_exitosos': [2, 84.0]}, {'rojas': [8, 1.0]}]"
Stanis Idumbo,DT,27,sevilla,real sociedad,0,1,0,0,0.0,0.0,1,0,1,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,11.0,8.0,1,0,0,0.0,24_25,27,09/03/2025,0,[]
Saúl Ñíguez,MC,17,sevilla,real sociedad,1,83,0,1,0.0,0.1,1,1,0,28,75.0,0,0,0.0,0.0,0.0,10,0,5,0,5,3,0,3,3,1,0,0,10,42.0,4.0,0,9,3,75.0,24_25,27,09/03/2025,0,"[{'asistencias_90': [5, 0.35]}, {'rojas': [8, 1.0]}]"
Peque,DT,14,sevilla,real sociedad,0,7,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,2,6.0,5.0,0,0,0,0.0,24_25,27,09/03/2025,0,[]
Djibril Sow,MC,20,sevilla,real sociedad,1,90,0,0,0.0,0.0,0,0,0,42,83.3,0,0,0.0,0.0,0.0,8,2,2,0,1,0,0,0,2,0,0,0,26,91.0,35.0,0,1,1,50.0,24_25,27,09/03/2025,0,"[{'goles_por_tiro': [9, 0.25]}]"
Lucien Agoume,MC,18,sevilla,real sociedad,1,90,0,0,0.0,0.0,1,1,0,30,96.7,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,3,0,0,0,14,65.0,41.0,2,1,0,100.0,24_25,27,09/03/2025,0,"[{'rojas': [8, 1.0]}]"
Adrià Pedrosa,DF,3,sevilla,real sociedad,1,90,0,0,0.0,0.0,1,0,1,32,81.3,0,0,0.0,0.0,0.0,8,3,3,0,2,4,0,4,5,2,1,1,11,92.0,48.0,2,0,1,0.0,24_25,27,09/03/2025,0,[]
