player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Fábio Silva,DT,las palmas,alaves,1,90,1,0,0.8,0.2,1,1,0,28,71.4,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,1,2,1,1,16,89.0,41.0,1,4,2,66.7
Alberto Moleiro,MC,las palmas,alaves,1,90,1,0,0.4,0.1,5,2,3,31,80.6,0,0,0.0,0.0,0.0,11,0,2,0,2,0,0,0,1,6,3,2,35,193.0,108.0,4,0,1,0.0
Sandro Ramírez,DT,las palmas,alaves,1,69,0,0,0.2,0.0,3,3,0,24,66.7,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,19,81.0,33.0,0,0,0,0.0
Adnan Januzaj,MC,las palmas,alaves,0,21,0,0,0.0,0.0,0,0,0,9,44.4,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,2,0,5,61.0,18.0,2,0,0,0.0
Javier Muñoz,MC,las palmas,alaves,1,90,0,0,0.0,0.0,1,1,0,45,77.8,0,0,0.0,0.0,0.0,4,0,2,0,2,2,0,2,0,3,2,0,25,126.0,58.0,1,0,1,0.0
José Campaña,MC,las palmas,alaves,1,79,0,0,0.0,0.0,0,0,0,52,69.2,0,0,0.0,0.0,0.0,1,0,1,0,1,2,0,2,0,2,1,1,22,92.0,56.0,0,2,1,66.7
Manuel Fuster,MC,las palmas,alaves,0,11,0,0,0.0,0.0,0,0,0,14,64.3,1,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,0,0,0,10,68.0,41.0,1,0,0,0.0
Stefan Bajcetic,MC,las palmas,alaves,1,45,0,0,0.0,0.0,0,0,0,27,81.5,0,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,1,1,1,0,17,57.0,29.0,1,1,0,100.0
Oliver McBurnie,DT,las palmas,alaves,0,45,0,0,0.3,0.1,2,1,1,16,50.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,2,1,1,9,22.0,4.0,0,3,4,42.9
Álex Muñoz,DF,las palmas,alaves,1,45,0,0,0.0,0.0,0,0,0,35,60.0,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,2,1,0,0,13,101.0,67.0,1,2,0,100.0
Mika Mármol,DF,las palmas,alaves,0,45,0,0,0.0,0.0,0,0,0,30,66.7,0,0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,3,0,0,0,14,59.0,30.0,0,1,1,50.0
Scott McKenna,DF,las palmas,alaves,1,90,0,0,0.0,0.0,0,0,0,58,84.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,8,0,0,0,38,179.0,104.0,1,4,2,66.7
Juan Herzog,DF,las palmas,alaves,1,90,0,0,0.0,0.0,0,0,0,53,92.5,0,0,0.0,0.0,0.0,2,2,3,0,1,1,1,0,2,0,0,0,36,144.0,78.0,0,2,4,33.3
Álex Suárez,DF,las palmas,alaves,1,59,0,0,0.0,0.0,1,0,1,37,83.8,1,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,1,0,1,18,59.0,32.0,0,1,2,33.3
Marvin,DF,las palmas,alaves,0,31,0,0,0.0,0.0,0,0,0,19,63.2,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,6,31.0,15.0,0,0,2,0.0
Jasper Cillessen,PT,las palmas,alaves,1,90,0,0,0.0,0.0,0,0,0,33,93.9,0,0,2.0,33.3,1.8,1,0,1,0,1,0,0,0,0,0,0,0,16,126.0,101.0,0,0,0,0.0
Carlos Martín,DT,alaves,las palmas,1,76,0,0,0.1,0.0,1,1,0,18,61.1,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,1,2,0,2,12,48.0,28.0,0,1,2,33.3
Facundo Garcés,DF,alaves,las palmas,0,14,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,-3,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2,1,66.7
Toni Martínez,DT,alaves,las palmas,1,59,1,0,0.5,0.0,3,2,1,11,72.7,1,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,1,1,0,8,126.0,15.0,1,3,3,50.0
Asier Villalibre,DT,alaves,las palmas,0,31,0,1,0.0,1.0,0,0,0,4,75.0,1,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,2,2,1,1,4,29.0,14.0,1,3,3,50.0
Carles Aleñá,MC,alaves,las palmas,1,90,0,0,0.1,0.0,2,2,0,39,79.5,0,0,0.0,0.0,0.0,2,3,4,0,1,2,0,2,1,2,0,0,19,109.0,64.0,2,2,0,100.0
Ander Guevara,MC,alaves,las palmas,1,90,0,0,0.0,0.0,1,0,1,46,73.9,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,5,1,1,0,20,66.0,32.0,0,1,3,25.0
Joan Jordán,MC,alaves,las palmas,1,75,0,0,0.0,0.1,0,0,0,43,83.7,1,0,0.0,0.0,0.0,4,0,2,0,2,0,0,0,3,1,1,0,16,53.0,16.0,0,1,1,50.0
Carlos Benavídez,MC,alaves,las palmas,0,15,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,8.0,3.0,0,0,0,0.0
Carlos Vicente,MC,alaves,las palmas,1,60,0,0,0.0,0.1,0,0,0,15,66.7,0,0,0.0,0.0,0.0,4,2,4,0,3,0,0,0,1,1,1,0,7,37.0,27.0,2,1,2,33.3
Jon Guridi,MC,alaves,las palmas,0,30,1,0,1.0,0.0,1,0,1,14,71.4,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,2,1,1,8,49.0,21.0,0,1,1,50.0
Manu Sánchez,DF,alaves,las palmas,1,90,0,0,0.0,0.0,0,0,0,34,67.6,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,5,1,1,0,16,38.0,19.0,0,0,0,0.0
Santiago Mouriño,DF,alaves,las palmas,1,90,0,1,0.0,0.4,0,0,0,18,55.6,0,0,0.0,0.0,0.0,9,1,0,0,0,1,1,0,9,1,1,0,11,100.0,33.0,0,2,2,50.0
Abdel Abqar,DF,alaves,las palmas,1,90,0,0,0.1,0.0,1,1,0,13,23.1,0,0,0.0,0.0,0.0,2,4,2,0,0,1,1,0,8,1,1,0,6,12.0,9.0,0,2,1,66.7
Nahuel Tenaglia,DF,alaves,las palmas,1,90,0,0,0.0,0.1,0,0,0,27,63.0,1,0,0.0,0.0,0.0,0,2,2,0,1,1,1,0,5,0,0,0,4,23.0,2.0,0,1,1,50.0
Adrian Rodriguez,PT,alaves,las palmas,1,90,0,0,0.0,0.0,0,0,0,33,42.4,0,0,2.0,83.3,1.5,4,0,1,0,1,0,0,0,2,0,0,0,17,110.0,49.0,0,0,0,0.0
