player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Bojan Miovski,MKD,25,DT,19,girona,valencia,1,58,0,0,0.0,0.0,0,0,0,10,60.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,6,48.0,26.0,1,2,0,100.0,24_25,28,15/03/2025,1,[]
Cristhian Stuani,URU,38,DT,7,girona,valencia,0,32,1,0,0.1,0.0,2,1,1,4,50.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,1,0,0,0,5,10.0,4.0,0,0,2,0.0,24_25,28,15/03/2025,1,"[{'penaltis_marcados': [10, 3.0]}, {'goles_por_tiro': [2, 0.26]}, {'apariciones_suplente': [3, 26.0]}]"
Arnaut Danjuma,NED,28,DT,11,girona,valencia,1,84,0,0,0.1,0.1,3,2,1,31,64.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,1,2,24,253.0,194.0,10,0,0,0.0,24_25,28,15/03/2025,1,[]
Portu,ESP,32,DT,24,girona,valencia,0,6,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0.0,24_25,28,15/03/2025,1,"[{'apariciones_suplente': [6, 21.0]}]"
Viktor Tsyhankov,UKR,27,DT,8,girona,valencia,1,84,0,0,0.0,0.1,1,1,0,35,71.4,0,0,0.0,0.0,0.0,3,1,1,0,1,1,0,1,1,1,1,0,20,130.0,64.0,1,0,0,0.0,24_25,28,15/03/2025,1,"[{'corners': [10, 80.0]}]"
Yaser Asprilla,COL,21,DT,10,girona,valencia,0,6,0,0,0.0,0.4,1,0,1,4,100.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,3,1,2,6,67.0,42.0,1,0,0,0.0,24_25,28,15/03/2025,1,[]
Iván Martín,ESP,26,MC,23,girona,valencia,1,36,0,0,0.0,0.0,0,0,0,22,90.9,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,1,1,0,18,87.0,48.0,2,0,0,0.0,24_25,28,15/03/2025,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Donny van de Beek,NED,27,MC,6,girona,valencia,0,54,0,0,0.1,0.1,2,2,0,18,77.8,1,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,1,0,0,0,9,56.0,31.0,1,0,0,0.0,24_25,28,15/03/2025,1,[]
Arthur Melo,BRA,28,MC,12,girona,valencia,1,58,0,0,0.0,0.0,1,1,0,40,95.0,0,0,0.0,0.0,0.0,2,1,3,0,2,0,0,0,0,1,1,0,31,215.0,92.0,1,0,0,0.0,24_25,28,15/03/2025,1,[]
Oriol Romeu,ESP,33,MC,14,girona,valencia,0,32,0,0,0.0,0.0,0,0,0,33,87.9,0,0,0.0,0.0,0.0,3,0,0,0,0,3,1,2,0,0,0,0,29,200.0,95.0,0,0,0,0.0,24_25,28,15/03/2025,1,[]
