player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Isaac Romero,ESP,24,DT,7,sevilla,athletic,1,66,0,0,0.0,0.0,1,0,1,10,80.0,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,3,1,1,0,10,33.0,11.0,1,0,2,0.0,24_25,28,16/03/2025,1,"[{'rojas': [8, 1.0]}]"
Juanlu Sánchez,ESP,21,DT,26,sevilla,athletic,0,24,0,0,0.0,0.0,0,0,0,14,64.3,0,0,0.0,0.0,0.0,2,3,2,0,0,1,0,1,0,0,0,0,7,55.0,37.0,1,1,1,50.0,24_25,28,16/03/2025,1,"[{'rojas': [8, 1.0]}]"
Chidera Ejuke,NGA,27,DT,21,sevilla,athletic,1,66,0,0,0.1,0.0,2,1,1,27,77.8,0,0,0.0,0.0,0.0,5,2,1,0,0,3,0,3,2,2,1,1,18,120.0,51.0,2,0,1,0.0,24_25,28,16/03/2025,1,[]
Ruben Vargas,SUI,26,DT,5,sevilla,athletic,0,24,0,0,0.0,0.0,0,0,0,11,45.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,7,46.0,26.0,1,2,2,50.0,24_25,28,16/03/2025,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [6, 0.42]}, {'penaltis_marcados': [9, 1.0]}]"
Dodi Lukebakio,BEL,27,DT,11,sevilla,athletic,1,90,0,0,0.1,0.1,2,1,1,37,70.3,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,1,0,22,202.0,96.0,5,0,0,0.0,24_25,28,16/03/2025,1,"[{'tiros_puerta': [6, 38.0]}, {'regates_exitosos': [2, 84.0]}, {'rojas': [8, 1.0]}]"
Saúl Ñíguez,ESP,30,MC,17,sevilla,athletic,1,45,0,0,0.2,0.0,1,1,0,8,62.5,1,0,0.0,0.0,0.0,-2,0,0,0,0,1,0,1,1,0,0,0,3,71.0,62.0,1,1,2,33.3,24_25,28,16/03/2025,1,"[{'asistencias_90': [5, 0.35]}, {'rojas': [8, 1.0]}]"
Albert Sambi Lokonga,BEL,25,MC,12,sevilla,athletic,0,45,0,0,0.0,0.1,0,0,0,31,83.9,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,2,1,1,15,133.0,80.0,1,3,0,100.0,24_25,28,16/03/2025,1,[]
Djibril Sow,SUI,28,MC,20,sevilla,athletic,1,82,0,0,0.1,0.2,2,2,0,30,93.3,1,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,0,1,0,1,13,43.0,11.0,0,1,0,100.0,24_25,28,16/03/2025,1,"[{'goles_por_tiro': [9, 0.25]}]"
Akor Adams,NGA,25,DT,15,sevilla,athletic,0,8,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,24_25,28,16/03/2025,1,[]
Lucien Agoume,FRA,23,MC,18,sevilla,athletic,1,90,0,0,0.0,0.0,0,0,0,64,79.7,1,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,25,87.0,44.0,1,5,1,83.3,24_25,28,16/03/2025,1,"[{'rojas': [8, 1.0]}]"
