player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Borja Iglesias,DT,celta,las palmas,1,74,0,1,0.1,0.1,2,0,2,26,61.5,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,15,79.0,32.0,1,0,0,0.0,24_25,29,31/03/2025,1,"[{'tiros_puerta': [10, 28.0]}, {'goles_por_tiro': [5, 0.24]}]"
Iago Aspas,DT,celta,las palmas,0,16,0,0,0.0,0.1,0,0,0,13,61.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,6,37.0,5.0,0,0,0,0.0,24_25,29,31/03/2025,1,"[{'goles_90': [10, 0.52]}, {'penaltis_marcados': [3, 5.0]}, {'rojas': [8, 1.0]}]"
Alfon,DT,celta,las palmas,1,90,1,0,0.3,0.1,6,5,1,44,72.7,0,0,0.0,0.0,0.0,10,1,0,0,0,1,0,1,0,7,3,2,32,251.0,124.0,8,2,1,66.7,24_25,29,31/03/2025,1,"[{'rojas': [8, 1.0]}]"
Iker Losada,DT,celta,las palmas,1,45,0,0,0.0,0.1,0,0,0,19,84.2,1,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,2,1,1,15,80.0,66.0,1,0,1,0.0,24_25,29,31/03/2025,1,[]
Fer López,DT,celta,las palmas,0,45,0,0,0.0,0.3,2,2,0,23,65.2,1,0,0.0,0.0,0.0,1,1,1,0,1,2,0,2,1,0,0,0,18,110.0,48.0,1,0,1,0.0,24_25,29,31/03/2025,1,[]
Mihailo Ristić,MC,celta,las palmas,1,45,0,0,0.0,0.0,0,0,0,34,82.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,21,84.0,31.0,0,0,4,0.0,24_25,29,31/03/2025,1,[]
Jailson Siqueira,DF,celta,las palmas,0,45,0,0,0.0,0.0,2,1,1,35,94.3,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,3,0,0,0,27,240.0,182.0,4,1,3,25.0,24_25,29,31/03/2025,1,[]
Ilaix Moriba,MC,celta,las palmas,1,90,0,0,0.3,0.0,2,2,0,50,82.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,3,1,1,33,160.0,60.0,2,0,2,0.0,24_25,29,31/03/2025,1,"[{'rojas': [8, 1.0]}]"
Damián Rodríguez,MC,celta,las palmas,1,74,0,0,0.0,0.1,1,1,0,90,94.4,0,0,0.0,0.0,0.0,6,2,1,0,0,0,0,0,1,0,0,0,56,294.0,198.0,2,0,0,0.0,24_25,29,31/03/2025,1,[]
Fran Beltrán,MC,celta,las palmas,0,16,0,0,0.0,0.0,0,0,0,22,81.8,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,1,0,1,14,108.0,88.0,1,0,1,0.0,24_25,29,31/03/2025,1,[]
Sergio Carreira,MC,celta,las palmas,1,90,0,0,0.0,0.1,1,1,0,43,83.7,0,0,0.0,0.0,0.0,3,1,1,0,1,1,0,1,0,2,1,1,23,164.0,30.0,0,0,0,0.0,24_25,29,31/03/2025,1,[]
Marcos Alonso,DF,celta,las palmas,1,90,0,0,0.1,0.0,3,1,2,113,91.2,0,0,0.0,0.0,0.0,9,1,2,0,1,0,0,0,4,0,0,0,85,620.0,418.0,4,0,3,0.0,24_25,29,31/03/2025,1,"[{'penaltis_marcados': [10, 3.0]}, {'pases_ultimo_tercio': [5, 226.0]}, {'rojas': [2, 2.0]}]"
Carl Starfelt,DF,celta,las palmas,1,90,0,0,0.0,0.0,0,0,0,101,95.0,0,0,0.0,0.0,0.0,6,2,2,0,1,0,0,0,4,0,0,0,65,401.0,332.0,5,0,1,0.0,24_25,29,31/03/2025,1,"[{'pases_completados_pct': [4, 93.7]}]"
Javi Rodríguez,DF,celta,las palmas,1,85,0,0,0.1,0.0,1,1,0,46,89.1,1,0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,2,1,1,20,77.0,27.0,0,0,0,0.0,24_25,29,31/03/2025,1,"[{'pases_completados_pct': [7, 91.7]}]"
Pablo Durán,DT,celta,las palmas,0,5,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,5,4,1,6,60.0,39.0,1,0,0,0.0,24_25,29,31/03/2025,1,[]
Vicente Guaita,PT,celta,las palmas,1,90,0,0,0.0,0.0,0,0,0,17,100.0,0,0,1.0,50.0,0.6,5,0,0,0,0,0,0,0,1,0,0,0,5,17.0,2.0,0,0,0,0.0,24_25,29,31/03/2025,1,"[{'porterias_cero': [7, 8.0]}]"
