player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Roberto Férnandez,DT,espanyol,atletico madrid,1,77,0,0,0.0,0.0,2,2,0,15,80.0,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,2,1,0,1,11,26.0,11.0,0,2,1,66.7,24_25,29,1
Pere Milla,DT,espanyol,atletico madrid,0,13,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,4,5.0,2.0,0,0,0,0.0,24_25,29,1
Javi Puado,DT,espanyol,atletico madrid,1,89,1,0,0.8,0.0,1,1,0,24,100.0,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,3,1,1,19,173.0,64.0,2,0,0,0.0,24_25,29,1
Álvaro Aguado,MC,espanyol,atletico madrid,0,1,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0.0,24_25,29,1
Jofre,DT,espanyol,atletico madrid,1,61,0,0,0.0,0.0,0,0,0,16,56.3,0,0,0.0,0.0,0.0,2,1,1,0,0,2,0,2,1,3,1,2,19,145.0,67.0,3,0,0,0.0,24_25,29,1
Antoniu,DT,espanyol,atletico madrid,0,29,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,2,2,2,0,10,40.0,3.0,0,0,0,0.0,24_25,29,1
Alex Král,MC,espanyol,atletico madrid,1,61,0,0,0.0,0.0,1,1,0,26,61.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,18,107.0,53.0,2,3,0,100.0,24_25,29,1
Edu Expósito,MC,espanyol,atletico madrid,0,29,0,0,0.0,0.0,1,1,0,15,80.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,12,29.0,10.0,0,0,1,0.0,24_25,29,1
Urko González,MC,espanyol,atletico madrid,1,83,0,0,0.0,0.0,0,0,0,32,78.1,0,0,0.0,0.0,0.0,2,2,1,0,1,4,2,2,1,0,0,0,20,126.0,77.0,1,0,1,0.0,24_25,29,1
Fernando Calero,MC,espanyol,atletico madrid,0,7,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,8.0,1.0,0,0,0,0.0,24_25,29,1
Pol Lozano,MC,espanyol,atletico madrid,1,45,0,0,0.0,0.0,0,0,0,27,81.5,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,3,0,0,0,11,51.0,16.0,0,0,0,0.0,24_25,29,1
Alejo Véliz,DT,espanyol,atletico madrid,0,45,0,0,0.0,0.0,0,0,0,9,77.8,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,8,32.0,9.0,0,1,4,20.0,24_25,29,1
Carlos Romero,DF,espanyol,atletico madrid,1,90,0,0,0.0,0.0,1,1,0,41,73.2,0,0,0.0,0.0,0.0,5,1,3,0,2,5,1,4,5,1,1,0,21,108.0,34.0,1,1,0,100.0,24_25,29,1
Leandro Cabrera,DF,espanyol,atletico madrid,1,90,0,0,0.0,0.0,1,1,0,59,83.1,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,2,0,0,0,38,185.0,122.0,0,0,1,0.0,24_25,29,1
Marash Kumbulla,DF,espanyol,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,56,89.3,1,0,0.0,0.0,0.0,4,0,0,0,0,2,2,0,4,0,0,0,39,215.0,145.0,0,2,0,100.0,24_25,29,1
Omar El Hilali,DF,espanyol,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,55,80.0,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,3,4,1,3,43,231.0,138.0,3,0,2,0.0,24_25,29,1
Joan García,PT,espanyol,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,35,74.3,0,0,1.0,50.0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,20,88.0,57.0,0,1,0,100.0,24_25,29,1
Antoine Griezmann,DT,atletico madrid,espanyol,1,90,0,0,0.1,0.0,4,3,1,64,81.3,0,0,0.0,0.0,0.0,6,1,2,0,2,2,0,2,2,3,1,2,58,249.0,174.0,4,0,0,0.0,24_25,29,0
Alexander Sørloth,DT,atletico madrid,espanyol,1,63,0,0,0.4,0.0,2,2,0,11,81.8,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,0,0,0,11,76.0,34.0,2,2,3,40.0,24_25,29,0
Julián Álvarez,DT,atletico madrid,espanyol,0,27,0,0,0.0,0.0,1,1,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,10,45.0,10.0,0,1,1,50.0,24_25,29,0
Samuel Lino,MC,atletico madrid,espanyol,1,45,0,0,0.1,0.0,1,1,0,20,75.0,0,0,0.0,0.0,0.0,2,1,2,0,2,2,0,2,1,0,0,0,19,42.0,20.0,1,1,0,100.0,24_25,29,0
Rodrigo De Paul,MC,atletico madrid,espanyol,0,45,0,0,0.0,0.1,0,0,0,44,86.4,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,0,0,0,44,309.0,184.0,6,1,0,100.0,24_25,29,0
Pablo Barrios,MC,atletico madrid,espanyol,1,90,0,0,0.0,0.0,1,1,0,74,87.8,0,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,3,0,0,0,58,295.0,133.0,1,2,2,50.0,24_25,29,0
Conor Gallagher,MC,atletico madrid,espanyol,1,80,0,0,0.1,0.0,1,1,0,63,92.1,0,0,0.0,0.0,0.0,5,5,4,0,1,4,0,4,0,1,0,0,58,289.0,118.0,2,0,0,0.0,24_25,29,0
Rodrigo Riquelme,MC,atletico madrid,espanyol,0,10,0,0,0.0,0.0,0,0,0,7,42.9,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,7,69.0,34.0,1,0,0,0.0,24_25,29,0
Giuliano Simeone,MC,atletico madrid,espanyol,1,63,0,0,0.0,0.0,0,0,0,33,72.7,0,0,0.0,0.0,0.0,3,0,1,0,1,1,1,0,2,1,1,0,33,170.0,71.0,3,0,1,0.0,24_25,29,0
Nahuel Molina,DF,atletico madrid,espanyol,0,27,0,0,0.0,0.0,0,0,0,21,71.4,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,13,31.0,12.0,0,0,1,0.0,24_25,29,0
César Azpilicueta,DF,atletico madrid,espanyol,1,80,1,0,0.0,0.0,1,0,1,68,77.9,0,0,0.0,0.0,0.0,11,6,3,0,0,0,0,0,2,0,0,0,48,183.0,98.0,1,0,0,0.0,24_25,29,0
Reinildo Mandava,DF,atletico madrid,espanyol,0,10,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,1,0,9,13.0,6.0,0,0,0,0.0,24_25,29,0
