player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mamadou Sylla,DT,7,valladolid,leganes,1,61,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,4,9.0,3.0,0,1,0,100.0,24_25,3,28/08/2024,1,"[{'penaltis_marcados': [6, 4.0]}]"
Juanmi Latasa,DT,14,valladolid,leganes,0,29,0,0,0.2,0.0,3,3,0,8,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,13.0,4.0,0,5,0,100.0,24_25,3,28/08/2024,1,"[{'rojas': [8, 1.0]}]"
Raúl Moro,DT,11,valladolid,leganes,1,80,0,0,0.2,0.0,2,2,0,40,67.5,0,0,0.0,0.0,0.0,8,1,1,0,1,2,0,2,1,6,4,2,33,198.0,107.0,3,1,0,100.0,24_25,3,28/08/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Marcos André,DT,9,valladolid,leganes,0,10,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,0,3,13.0,3.0,0,0,0,0.0,24_25,3,28/08/2024,1,[]
Amath,DT,19,valladolid,leganes,1,61,0,0,0.2,0.1,2,2,0,16,81.3,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,1,1,0,1,16,80.0,40.0,3,0,0,0.0,24_25,3,28/08/2024,1,[]
Iván Sánchez,DT,10,valladolid,leganes,0,29,0,0,0.0,0.1,0,0,0,15,73.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,1,0,14,71.0,37.0,1,0,1,0.0,24_25,3,28/08/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Selim Amallah,MC,21,valladolid,leganes,1,89,0,0,0.1,0.0,2,0,2,32,78.1,0,0,0.0,0.0,0.0,10,3,1,0,1,3,0,3,0,8,3,3,31,180.0,87.0,4,0,0,0.0,24_25,3,28/08/2024,1,"[{'rojas': [10, 1.0]}]"
Chuky san jose,MC,28,valladolid,leganes,0,1,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,3,28/08/2024,1,[]
Stanko Jurić,MC,20,valladolid,leganes,1,90,0,0,0.0,0.0,0,0,0,63,87.3,1,0,0.0,0.0,0.0,6,5,5,0,2,1,0,1,1,1,1,0,38,237.0,117.0,0,3,1,75.0,24_25,3,28/08/2024,1,"[{'rojas': [8, 1.0]}]"
Kike Pérez,MC,8,valladolid,leganes,1,61,0,0,0.2,0.1,1,1,0,48,87.5,0,0,0.0,0.0,0.0,5,2,2,0,2,1,1,0,0,0,0,0,28,156.0,87.0,1,0,0,0.0,24_25,3,28/08/2024,1,[]
Víctor Meseguer,MC,4,valladolid,leganes,0,29,0,0,0.1,0.0,1,1,0,17,100.0,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,0,0,0,0,6,25.0,11.0,0,0,1,0.0,24_25,3,28/08/2024,1,[]
Lucas Oliveira Rosa,DF,22,valladolid,leganes,1,90,0,0,0.0,0.0,0,0,0,62,82.3,0,0,0.0,0.0,0.0,7,2,1,0,1,1,0,1,3,2,1,0,34,169.0,108.0,2,0,0,0.0,24_25,3,28/08/2024,1,[]
Enzo Boyomo,DF,6,valladolid,leganes,1,90,0,0,0.0,0.0,1,1,0,79,92.4,0,0,0.0,0.0,0.0,8,5,2,0,0,2,1,1,2,0,0,0,56,254.0,146.0,1,1,1,50.0,24_25,3,28/08/2024,1,"[{'minutos': [6, 3257.0]}]"
Javi Sánchez,DF,5,valladolid,leganes,1,90,0,0,0.0,0.0,0,0,0,78,91.0,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,3,0,0,0,45,162.0,105.0,0,2,1,66.7,24_25,3,28/08/2024,1,[]
Luis Pérez,DF,2,valladolid,leganes,1,90,0,0,0.0,0.3,0,0,0,52,71.2,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,2,3,0,1,32,114.0,60.0,1,1,1,50.0,24_25,3,28/08/2024,1,"[{'centros_area': [3, 29.0]}]"
Karl Jakob Hein,PT,13,valladolid,leganes,1,90,0,0,0.0,0.0,0,0,0,28,100.0,0,0,0.0,100.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,13,57.0,47.0,0,0,0,0.0,24_25,3,28/08/2024,1,"[{'paradas': [4, 96.0]}]"
Miguel,DT,9,leganes,valladolid,1,90,0,0,0.0,0.0,1,1,0,9,66.7,0,0,0.0,0.0,0.0,2,0,1,0,1,3,0,3,0,3,0,3,14,60.0,8.0,1,0,2,0.0,24_25,3,28/08/2024,0,[]
Enric Franquesa,DT,15,leganes,valladolid,1,45,0,0,0.0,0.0,0,0,0,9,100.0,1,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,7,15.0,3.0,0,0,0,0.0,24_25,3,28/08/2024,0,[]
Óscar Rodríguez Arnaiz,MC,7,leganes,valladolid,0,45,0,0,0.0,0.0,2,1,1,20,60.0,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,4,3,1,17,92.0,23.0,0,0,2,0.0,24_25,3,28/08/2024,0,"[{'rojas': [8, 1.0]}]"
Juan Cruz,DT,11,leganes,valladolid,1,65,0,0,0.0,0.1,0,0,0,24,66.7,0,0,0.0,0.0,0.0,6,1,2,0,1,1,0,1,3,1,1,0,20,99.0,39.0,1,0,0,0.0,24_25,3,28/08/2024,0,[]
