player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Alexander Sørloth,DT,atletico madrid,espanyol,1,72,0,0,0.5,0.1,4,2,2,12,75.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,1,0,0,8,50.0,10.0,0,5,2,71.4,24_25,3,1
Reinildo Mandava,DF,atletico madrid,espanyol,0,18,0,0,0.0,0.0,0,0,0,25,96.0,0,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,1,1,1,0,19,77.0,50.0,0,0,1,0.0,24_25,3,1
Julián Álvarez,DT,atletico madrid,espanyol,1,45,0,0,0.5,0.0,3,2,1,17,82.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,10,49.0,9.0,1,0,0,0.0,24_25,3,1
Antoine Griezmann,DT,atletico madrid,espanyol,0,45,0,0,0.0,0.3,0,0,0,30,70.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,1,1,0,19,96.0,26.0,0,0,0,0.0,24_25,3,1
Samuel Lino,MC,atletico madrid,espanyol,1,45,0,0,0.5,0.0,2,1,1,28,89.3,0,0,0.0,0.0,0.0,3,0,2,0,2,1,0,1,0,0,0,0,21,127.0,81.0,2,0,1,0.0,24_25,3,1
Pablo Barrios,MC,atletico madrid,espanyol,0,45,0,0,0.1,0.1,3,2,1,50,88.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,44,250.0,141.0,2,1,0,100.0,24_25,3,1
Koke,MC,atletico madrid,espanyol,1,90,0,0,0.2,0.0,3,2,1,92,89.1,0,0,0.0,0.0,0.0,6,1,1,0,1,2,0,2,1,0,0,0,59,269.0,121.0,3,1,1,50.0,24_25,3,1
Rodrigo De Paul,MC,atletico madrid,espanyol,1,61,0,0,0.0,0.7,0,0,0,56,73.2,0,0,0.0,0.0,0.0,12,1,1,0,0,1,0,1,0,3,3,0,40,325.0,123.0,1,0,0,0.0,24_25,3,1
Ángel Correa,DT,atletico madrid,espanyol,0,29,0,0,0.3,0.1,4,4,0,12,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,14,57.0,13.0,1,1,1,50.0,24_25,3,1
Rodrigo Riquelme,DF,atletico madrid,espanyol,1,90,0,0,0.3,0.3,2,2,0,54,79.6,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,1,0,1,43,325.0,210.0,10,0,1,0.0,24_25,3,1
