player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mikel Oyarzabal,ESP,27,DT,10,real sociedad,alaves,1,28,0,0,0.1,0.0,1,1,0,1,100.0,0,1,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,0,0,0,4,24.0,15.0,1,0,2,0.0,24_25,3,28/08/2024,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Sheraldo Becker,SUR,29,DT,11,real sociedad,alaves,1,65,0,0,0.0,0.0,0,0,0,15,73.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,0,9,22.0,5.0,0,2,0,100.0,24_25,3,28/08/2024,1,"[{'rojas': [8, 1.0]}]"
Umar Sadiq,NGA,27,DT,19,real sociedad,alaves,0,25,0,0,0.0,0.0,1,1,0,8,37.5,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,3,3,0,5,37.0,16.0,2,1,0,100.0,24_25,3,28/08/2024,1,[]
Sergio Gómez,ESP,23,MC,17,real sociedad,alaves,1,80,0,1,0.0,0.7,0,0,0,31,74.2,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,3,1,0,1,9,49.0,5.0,0,4,1,80.0,24_25,3,28/08/2024,1,"[{'pases_clave': [10, 56.0]}, {'corners': [2, 133.0]}]"
Olasagasti,ESP,24,MC,16,real sociedad,alaves,0,10,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,2,26.0,11.0,1,0,0,0.0,24_25,3,28/08/2024,1,[]
Brais Méndez,ESP,27,MC,23,real sociedad,alaves,1,80,1,0,0.5,0.1,2,1,1,30,76.7,0,0,0.0,0.0,0.0,8,1,2,0,2,1,0,1,0,3,1,2,18,86.0,35.0,1,1,2,33.3,24_25,3,28/08/2024,1,[]
Pablo Marín,ESP,21,MC,28,real sociedad,alaves,0,10,0,0,0.0,0.0,0,0,0,7,28.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,2,14.0,1.0,0,1,0,100.0,24_25,3,28/08/2024,1,[]
Martín Zubimendi,ESP,25,MC,4,real sociedad,alaves,1,90,0,0,0.1,0.1,2,2,0,50,80.0,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,2,2,1,1,22,167.0,99.0,1,5,0,100.0,24_25,3,28/08/2024,1,[]
Takefusa Kubo,JPN,23,MC,14,real sociedad,alaves,1,90,0,0,0.2,0.0,1,1,0,35,62.9,1,0,0.0,0.0,0.0,0,2,3,0,1,2,0,2,1,4,0,4,28,177.0,101.0,3,0,0,0.0,24_25,3,28/08/2024,1,"[{'regates_exitosos': [6, 75.0]}, {'faltas_recibidas': [1, 73.0]}]"
Javi López,ESP,22,DF,12,real sociedad,alaves,1,90,0,0,0.0,0.0,1,1,0,36,77.8,0,0,0.0,0.0,0.0,1,4,4,0,2,1,0,1,4,2,1,1,15,112.0,40.0,2,2,1,66.7,24_25,3,28/08/2024,1,[]
Jon Pacheco,ESP,23,DF,20,real sociedad,alaves,1,45,0,0,0.0,0.0,0,0,0,25,80.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,132.0,80.0,2,1,1,50.0,24_25,3,28/08/2024,1,[]
Jon Martin,ESP,18,DF,31,real sociedad,alaves,0,45,0,0,0.1,0.0,2,2,0,16,81.3,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,15,49.0,27.0,0,3,3,50.0,24_25,3,28/08/2024,1,"[{'pases_completados_pct': [8, 91.6]}]"
