player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Oliver McBurnie,DT,las palmas,real madrid,1,77,0,1,0.1,0.3,1,1,0,27,77.8,0,0,0.0,0.0,0.0,8,3,1,0,0,1,1,0,2,1,1,0,23,54.0,15.0,0,2,5,28.6
Jaime Mata,DT,las palmas,real madrid,0,13,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,1,1,4,12.0,1.0,0,0,2,0.0
Alberto Moleiro,MC,las palmas,real madrid,1,60,1,0,0.3,0.0,1,0,1,24,95.8,0,0,0.0,0.0,0.0,14,4,4,0,1,1,0,1,1,7,4,3,29,218.0,136.0,5,0,0,0.0
Benito Ramírez,MC,las palmas,real madrid,0,30,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,0,2,0,2,1,0,1,2,1,0,1,3,12.0,7.0,0,0,2,0.0
Kirian Rodríguez,MC,las palmas,real madrid,1,80,0,0,0.0,0.3,1,0,1,62,90.3,0,0,0.0,0.0,0.0,7,1,3,0,2,0,0,0,0,3,2,1,54,246.0,118.0,3,0,0,0.0
Manuel Fuster,MC,las palmas,real madrid,0,10,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,8.0,0.0,0,0,0,0.0
Javier Muñoz,MC,las palmas,real madrid,1,90,0,0,0.0,0.1,1,1,0,52,86.5,0,0,0.0,0.0,0.0,3,0,2,0,2,0,0,0,2,0,0,0,35,174.0,33.0,0,0,0,0.0
Sandro Ramírez,MC,las palmas,real madrid,1,77,0,0,0.3,0.0,2,2,0,24,75.0,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,2,3,2,0,28,186.0,106.0,5,0,0,0.0
Viti,MC,las palmas,real madrid,0,13,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0,0,0,0.0
José Campaña,MC,las palmas,real madrid,1,80,0,0,0.0,0.0,0,0,0,60,86.7,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,2,0,0,0,48,220.0,122.0,1,0,0,0.0
Enzo Loiodice,MC,las palmas,real madrid,0,10,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,9.0,4.0,0,0,0,0.0
Mika Mármol,DF,las palmas,real madrid,1,90,0,0,0.0,0.0,1,1,0,44,79.5,0,0,0.0,0.0,0.0,2,3,3,0,2,3,1,2,1,0,0,0,31,139.0,89.0,2,0,1,0.0
Scott McKenna,DF,las palmas,real madrid,1,90,0,0,0.0,0.0,0,0,0,31,83.9,0,0,0.0,0.0,0.0,5,2,2,0,1,4,3,1,7,0,0,0,25,99.0,55.0,0,0,1,0.0
Álex Suárez,DF,las palmas,real madrid,1,90,0,0,0.0,0.0,0,0,0,37,86.5,0,0,0.0,0.0,0.0,3,3,2,0,1,1,1,0,7,0,0,0,23,69.0,24.0,0,0,0,0.0
Marvin,DF,las palmas,real madrid,1,90,0,0,0.0,0.0,0,0,0,37,81.1,0,0,0.0,0.0,0.0,6,6,6,0,3,2,0,2,6,0,0,0,22,159.0,104.0,2,0,1,0.0
Jasper Cillessen,PT,las palmas,real madrid,1,90,0,0,0.0,0.0,0,0,0,40,67.5,0,0,1.0,100.0,1.4,8,0,0,0,0,0,0,0,0,0,0,0,30,128.0,90.0,0,0,0,0.0
Kylian Mbappé,DT,real madrid,las palmas,1,90,0,0,0.5,0.0,9,7,2,21,85.7,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,10,5,5,33,243.0,158.0,8,0,0,0.0
Vinicius Júnior,DT,real madrid,las palmas,1,85,1,0,1.1,0.3,5,4,1,21,66.7,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,0,6,2,4,28,248.0,189.0,7,0,0,0.0
Endrick,DT,real madrid,las palmas,0,5,0,0,0.2,0.0,2,2,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,0,0,0,0.0
Brahim Díaz,DT,real madrid,las palmas,1,45,0,0,0.0,0.0,0,0,0,26,65.4,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,23,92.0,59.0,3,0,0,0.0
Rodrygo,DT,real madrid,las palmas,0,45,0,0,0.0,0.1,1,0,1,24,87.5,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,2,1,1,20,182.0,88.0,2,1,0,100.0
Luka Modrić,MC,real madrid,las palmas,1,63,0,0,0.0,0.5,0,0,0,52,84.6,0,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,0,0,0,0,40,185.0,78.0,0,0,0,0.0
Arda Güler,MC,real madrid,las palmas,0,27,0,0,0.3,0.4,1,1,0,12,75.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,11,70.0,44.0,0,0,0,0.0
