player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Randy Nteka,DT,rayo,espanyol,1,45,0,0,0.0,0.0,1,1,0,10,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,7,30.0,12.0,1,0,1,0.0
Isaac Palazón Camacho,MC,rayo,espanyol,0,45,0,0,0.1,0.0,2,2,0,37,89.2,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,35,194.0,67.0,2,1,0,100.0
Álvaro García,DT,rayo,espanyol,1,90,0,0,0.4,0.1,3,2,1,29,58.6,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,1,1,0,1,29,172.0,98.0,4,0,0,0.0
Jorge de Frutos,DT,rayo,espanyol,1,90,0,0,0.0,0.0,1,0,1,34,61.8,0,0,0.0,0.0,0.0,-1,2,1,0,0,0,0,0,0,4,0,4,33,127.0,54.0,0,1,2,33.3
Pedro Díaz,MC,rayo,espanyol,1,90,0,0,0.0,0.0,1,0,1,45,66.7,0,0,0.0,0.0,0.0,2,0,1,0,1,2,0,2,0,5,3,2,31,90.0,34.0,1,0,0,0.0
Pathé Ciss,MC,rayo,espanyol,1,84,0,0,0.0,0.1,0,0,0,60,86.7,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,41,270.0,185.0,4,0,1,0.0
Óscar Trejo,DF,rayo,espanyol,0,6,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,1,11,83.0,44.0,1,0,0,0.0
Unai López,MC,rayo,espanyol,1,74,0,0,0.1,0.0,3,2,1,66,87.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,49,189.0,102.0,2,1,2,33.3
Adri Embarba,MC,rayo,espanyol,0,16,0,0,0.0,0.0,1,0,1,13,69.2,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,10,90.0,48.0,2,1,0,100.0
Pep Chavarría,DF,rayo,espanyol,1,74,0,0,0.0,0.1,2,2,0,47,87.2,1,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,4,0,0,0,29,231.0,159.0,8,1,2,33.3
Raúl de Tomás,MC,rayo,espanyol,0,16,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,4,16.0,0.0,0,0,0,0.0
