player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Robert Lewandowski,DT,barcelona,betis,1,90,0,0,0.0,0.0,1,1,0,13,76.9,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,2,2,0,8,27.0,4.0,0,1,3,25.0
Ferrán Torres,DT,barcelona,betis,1,56,0,1,0.4,0.3,1,1,0,25,80.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,2,17,62.0,2.0,0,0,0,0.0
Raphinha,DT,barcelona,betis,0,34,0,0,0.1,0.0,3,2,1,15,66.7,0,0,0.0,0.0,0.0,2,0,2,0,2,0,0,0,1,1,1,0,13,65.0,16.0,0,1,0,100.0
Lamine Yamal,DT,barcelona,betis,1,90,0,0,0.3,0.0,4,3,1,55,65.5,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,15,10,3,57,426.0,210.0,8,0,0,0.0
Pedri,MC,barcelona,betis,1,74,0,0,0.1,0.1,1,0,1,108,82.4,0,0,0.0,0.0,0.0,4,2,1,0,1,0,0,0,0,1,0,1,83,506.0,270.0,2,0,0,0.0
Fermin López,MC,barcelona,betis,0,16,0,0,0.0,0.0,0,0,0,14,78.6,0,0,0.0,0.0,0.0,3,1,2,0,1,0,0,0,0,3,1,2,12,68.0,39.0,2,0,0,0.0
Frenkie de Jong,MC,barcelona,betis,1,56,0,0,0.0,0.0,0,0,0,90,95.6,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,70,335.0,198.0,5,0,0,0.0
Eric García,MC,barcelona,betis,0,34,0,0,0.0,0.0,0,0,0,24,83.3,1,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0,14,44.0,22.0,0,2,0,100.0
Gavi,MC,barcelona,betis,1,90,1,0,0.3,0.2,2,1,1,74,89.2,0,0,0.0,0.0,0.0,12,1,2,0,2,1,0,1,0,0,0,0,52,262.0,168.0,2,2,2,50.0
Alejandro Balde,DF,barcelona,betis,1,74,0,0,0.0,0.0,0,0,0,50,90.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,4,1,3,40,169.0,87.0,2,1,0,100.0
Gerard Martín,DF,barcelona,betis,0,16,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,0,1,10,32.0,6.0,0,1,0,100.0
Pau Cubarsí,DF,barcelona,betis,1,90,0,0,0.0,0.0,0,0,0,112,97.3,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,1,0,0,0,84,421.0,257.0,1,1,0,100.0
Ronald Araújo,DF,barcelona,betis,1,90,0,0,0.0,0.1,0,0,0,92,96.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,1,0,3,0,0,0,62,363.0,219.0,3,4,3,57.1
Jules Koundé,DF,barcelona,betis,1,90,0,0,0.1,0.0,1,0,1,71,80.3,1,0,0.0,0.0,0.0,2,1,1,0,0,3,0,3,0,0,0,0,51,138.0,69.0,1,1,0,100.0
Wojciech Szczęsny,PT,barcelona,betis,1,90,0,0,0.0,0.0,0,0,0,25,100.0,0,0,1.0,50.0,0.2,3,0,0,0,0,0,0,0,1,0,0,0,18,39.0,23.0,0,0,0,0.0
Cucho,DT,betis,barcelona,1,74,0,0,0.1,0.0,2,2,0,14,71.4,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,2,1,1,0,13,81.0,16.0,1,1,2,33.3
Cédric Bakambu,DT,betis,barcelona,0,16,0,0,0.0,0.0,0,0,0,4,25.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,10.0,10.0,0,1,1,50.0
Pablo Fornals,MC,betis,barcelona,1,90,0,0,0.0,0.0,0,0,0,32,78.1,0,0,0.0,0.0,0.0,4,2,3,0,2,0,0,0,0,0,0,0,14,47.0,28.0,0,1,2,33.3
Antony,DT,betis,barcelona,1,74,0,0,0.0,0.1,1,1,0,24,58.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,0,1,21,255.0,181.0,8,0,3,0.0
Jesus Rodríguez,DT,betis,barcelona,0,16,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,2,2,0,1,0,0,0,0,1,0,1,3,12.0,10.0,0,0,1,0.0
Giovani Lo Celso,MC,betis,barcelona,1,58,0,1,0.0,0.2,0,0,0,21,85.7,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,0,0,0,0,16,41.0,27.0,0,0,0,0.0
William Carvalho,MC,betis,barcelona,0,32,0,0,0.0,0.0,0,0,0,11,90.9,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,8,14.0,7.0,0,0,1,0.0
Sergi Altimira,MC,betis,barcelona,1,45,0,0,0.0,0.0,0,0,0,15,93.3,0,0,0.0,0.0,0.0,1,1,4,0,3,2,0,2,1,0,0,0,11,34.0,6.0,0,0,0,0.0
Ezequiel Ávila,DT,betis,barcelona,0,45,0,0,0.0,0.0,0,0,0,14,57.1,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,2,1,1,0,8,18.0,0.0,0,0,0,0.0
