player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Fábio Silva,DT,37,las palmas,real sociedad,1,90,0,1,0.6,1.0,3,2,1,23,87.0,0,0,0.0,0.0,0.0,10,1,1,0,0,0,0,0,0,4,2,2,14,124.0,73.0,3,0,3,0.0,24_25,30,06/04/2025,1,[]
Oliver McBurnie,DT,16,las palmas,real sociedad,1,90,1,0,1.1,0.0,3,2,1,19,57.9,0,0,0.0,0.0,0.0,8,1,0,0,0,0,0,0,1,2,1,1,13,77.0,5.0,0,2,2,50.0,24_25,30,06/04/2025,1,[]
Alberto Moleiro,MC,10,las palmas,real sociedad,1,79,0,0,0.0,0.0,0,0,0,23,78.3,0,0,0.0,0.0,0.0,1,2,1,0,1,1,0,1,0,2,1,1,14,76.0,54.0,3,0,0,0.0,24_25,30,06/04/2025,1,"[{'regates_exitosos': [8, 64.0]}]"
Marc Cardona,MC,9,las palmas,real sociedad,0,11,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,1,2,6,26.0,2.0,0,0,1,0.0,24_25,30,06/04/2025,1,[]
Javier Muñoz,MC,5,las palmas,real sociedad,1,79,0,0,0.0,0.1,2,1,1,28,67.9,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,13,95.0,74.0,4,2,0,100.0,24_25,30,06/04/2025,1,[]
Manuel Fuster,MC,14,las palmas,real sociedad,0,11,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,7,35.0,30.0,1,0,0,0.0,24_25,30,06/04/2025,1,"[{'apariciones_suplente': [10, 20.0]}]"
Dario Essugo,MC,29,las palmas,real sociedad,1,70,0,0,0.0,0.0,1,0,1,31,77.4,0,0,0.0,0.0,0.0,2,1,0,0,0,3,1,2,0,0,0,0,13,53.0,18.0,0,1,0,100.0,24_25,30,06/04/2025,1,"[{'amarillas': [6, 11.0]}, {'rojas': [2, 2.0]}]"
José Campaña,MC,8,las palmas,real sociedad,0,20,0,0,0.0,0.0,0,0,0,25,84.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,0,0,0,13,59.0,48.0,1,0,0,0.0,24_25,30,06/04/2025,1,[]
Sandro Ramírez,MC,19,las palmas,real sociedad,1,62,0,0,0.1,0.1,2,1,1,22,59.1,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,1,0,0,0,10,56.0,29.0,1,0,1,0.0,24_25,30,06/04/2025,1,[]
Marvin,MC,2,las palmas,real sociedad,0,28,0,0,0.0,0.2,0,0,0,15,60.0,0,0,0.0,0.0,0.0,4,2,1,0,0,1,0,1,1,0,0,0,12,52.0,36.0,2,1,2,33.3,24_25,30,06/04/2025,1,[]
