player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Kiké,DT,alaves,real madrid,1,90,0,0,0.2,0.0,4,2,2,18,77.8,0,0,0.0,0.0,0.0,4,2,2,0,2,0,0,0,0,1,0,1,23,63.0,24.0,0,0,1,0.0,24_25,31,1
Carlos Martín,DT,alaves,real madrid,1,59,0,0,0.1,0.0,1,0,1,15,73.3,1,0,0.0,0.0,0.0,1,2,4,0,3,1,0,1,2,0,0,0,10,33.0,11.0,1,1,0,100.0,24_25,31,1
Toni Martínez,MC,alaves,real madrid,0,31,0,0,0.1,0.0,2,0,2,6,66.7,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,7,33.0,12.0,0,3,1,75.0,24_25,31,1
Carlos Vicente,DT,alaves,real madrid,1,90,0,0,0.0,0.2,1,1,0,70,72.9,0,0,0.0,0.0,0.0,5,4,4,0,2,2,0,2,1,3,0,3,50,260.0,121.0,5,1,2,33.3,24_25,31,1
Carles Aleñá,MC,alaves,real madrid,1,82,0,0,0.0,0.0,1,1,0,46,82.6,0,0,0.0,0.0,0.0,3,2,3,0,1,0,0,0,0,0,0,0,30,80.0,29.0,0,0,0,0.0,24_25,31,1
Pau Cabanes,MC,alaves,real madrid,0,8,0,0,0.0,0.0,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,2,1,1,8,49.0,36.0,1,0,0,0.0,24_25,31,1
Antonio Blanco,MC,alaves,real madrid,1,82,0,0,0.0,0.0,2,1,1,71,88.7,0,0,0.0,0.0,0.0,4,2,3,0,1,1,0,1,0,1,1,0,51,208.0,125.0,2,0,2,0.0,24_25,31,1
Carlos Benavídez,MC,alaves,real madrid,0,8,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,1,0,0,8,36.0,20.0,1,0,0,0.0,24_25,31,1
Joan Jordán,MC,alaves,real madrid,1,75,0,0,0.0,0.1,0,0,0,75,86.7,1,0,0.0,0.0,0.0,3,2,3,0,1,1,0,1,1,1,1,0,53,231.0,122.0,2,0,0,0.0,24_25,31,1
Ander Guevara,MC,alaves,real madrid,0,15,0,0,0.0,0.0,0,0,0,14,92.9,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,10,65.0,54.0,1,0,0,0.0,24_25,31,1
Manu Sánchez,DF,alaves,real madrid,1,69,0,0,0.0,0.0,0,0,0,32,90.6,0,1,0.0,0.0,0.0,-1,1,1,0,0,1,0,1,0,1,0,1,23,176.0,99.0,4,0,0,0.0,24_25,31,1
