player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Cucho,DT,betis,villarreal,1,60,0,0,0.4,0.0,3,2,1,16,68.8,0,0,0.0,0.0,0.0,2,4,0,0,0,0,0,0,0,2,1,1,15,62.0,27.0,1,2,0,100.0,24_25,31,13/04/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [9, 1.0]}]"
Cédric Bakambu,DT,betis,villarreal,0,30,0,0,0.1,0.0,2,1,1,3,100.0,0,0,0.0,0.0,0.0,2,1,1,0,0,2,0,2,0,0,0,0,5,10.0,2.0,0,1,1,50.0,24_25,31,13/04/2025,1,[]
Jesus Rodríguez,DT,betis,villarreal,1,60,0,0,0.1,0.0,2,2,0,23,52.2,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,2,1,1,23,180.0,110.0,5,0,0,0.0,24_25,31,13/04/2025,1,[]
Giovani Lo Celso,DT,betis,villarreal,0,30,0,0,0.0,0.4,0,0,0,30,83.3,0,0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,3,2,1,25,195.0,116.0,4,1,1,50.0,24_25,31,13/04/2025,1,"[{'faltas_recibidas': [7, 63.0]}]"
Antony,DT,betis,villarreal,1,90,0,0,0.1,0.4,3,2,1,84,85.7,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,0,6,3,3,78,594.0,421.0,13,0,1,0.0,24_25,31,13/04/2025,1,"[{'rojas': [8, 1.0]}]"
Isco,MC,betis,villarreal,1,90,0,0,0.6,0.2,6,6,0,96,85.4,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,3,1,2,86,611.0,288.0,7,1,2,33.3,24_25,31,13/04/2025,1,"[{'goles_90': [10, 0.52]}, {'asistencias': [4, 8.0]}, {'asistencias_90': [1, 0.47]}, {'penaltis_marcados': [3, 5.0]}, {'pases_clave': [8, 61.0]}]"
Pablo Fornals,MC,betis,villarreal,1,70,0,0,0.1,0.1,1,1,0,65,84.6,0,0,0.0,0.0,0.0,2,0,2,0,2,0,0,0,0,0,0,0,52,244.0,104.0,2,1,0,100.0,24_25,31,13/04/2025,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
William Carvalho,MC,betis,villarreal,0,20,0,0,0.0,0.1,0,0,0,23,95.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,19,63.0,43.0,1,1,0,100.0,24_25,31,13/04/2025,1,[]
Johnny Cardoso,MC,betis,villarreal,1,70,0,0,0.0,0.0,1,1,0,49,87.8,0,0,0.0,0.0,0.0,5,1,2,0,1,1,1,0,0,4,4,0,44,250.0,122.0,2,0,1,0.0,24_25,31,13/04/2025,1,"[{'intercepciones': [6, 48.0]}]"
Sergi Altimira,MC,betis,villarreal,0,20,0,0,0.0,0.0,0,0,0,32,93.8,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,27,144.0,85.0,1,0,0,0.0,24_25,31,13/04/2025,1,[]
