player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Cucho,DT,19,betis,valladolid,1,90,1,1,0.3,0.1,6,4,2,35,71.4,0,0,0.0,0.0,0.0,13,1,1,0,1,3,0,3,1,3,0,3,26,124.0,38.0,1,7,1,87.5,24_25,33,24/04/2025,1,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [9, 1.0]}]"
Jesus Rodríguez,DT,36,betis,valladolid,1,60,1,0,0.4,0.1,1,0,1,24,91.7,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,1,1,0,18,93.0,58.0,3,0,0,0.0,24_25,33,24/04/2025,1,[]
Abde Ezzalzouli,DT,10,betis,valladolid,0,30,1,0,0.1,0.1,1,0,1,19,89.5,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,0,0,0,16,133.0,90.0,3,0,1,0.0,24_25,33,24/04/2025,1,"[{'apariciones_suplente': [6, 22.0]}]"
Antony,DT,7,betis,valladolid,1,90,0,0,0.4,0.1,4,4,0,69,85.5,0,0,0.0,0.0,0.0,6,2,3,0,2,0,0,0,0,5,3,2,45,304.0,182.0,8,1,1,50.0,24_25,33,24/04/2025,1,"[{'rojas': [8, 1.0]}]"
Isco,MC,22,betis,valladolid,1,79,1,0,0.6,0.0,2,1,1,75,84.0,0,0,0.0,0.0,0.0,9,1,2,0,2,0,0,0,0,2,0,2,52,196.0,84.0,3,0,1,0.0,24_25,33,24/04/2025,1,"[{'goles_90': [10, 0.52]}, {'asistencias': [4, 8.0]}, {'asistencias_90': [1, 0.47]}, {'penaltis_marcados': [3, 5.0]}, {'pases_clave': [8, 61.0]}]"
William Carvalho,MC,14,betis,valladolid,0,11,0,0,0.0,0.0,0,0,0,21,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,14,66.0,19.0,0,0,1,0.0,24_25,33,24/04/2025,1,[]
Pablo Fornals,MC,18,betis,valladolid,1,45,0,0,0.0,0.0,0,0,0,43,83.7,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,2,0,2,32,113.0,41.0,0,0,1,0.0,24_25,33,24/04/2025,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
Giovani Lo Celso,MC,20,betis,valladolid,0,45,0,0,0.1,0.3,1,1,0,30,90.0,0,0,0.0,0.0,0.0,3,1,1,0,1,1,1,0,0,0,0,0,29,116.0,59.0,3,0,1,0.0,24_25,33,24/04/2025,1,"[{'faltas_recibidas': [7, 63.0]}]"
Johnny Cardoso,MC,4,betis,valladolid,1,90,0,0,0.0,0.1,0,0,0,74,87.8,0,0,0.0,0.0,0.0,6,5,2,0,0,1,1,0,5,2,0,2,49,207.0,93.0,2,1,0,100.0,24_25,33,24/04/2025,1,"[{'intercepciones': [6, 48.0]}]"
Ricardo Rodríguez,DF,12,betis,valladolid,1,60,0,0,0.0,0.0,0,0,0,28,78.6,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,16,90.0,59.0,1,3,1,75.0,24_25,33,24/04/2025,1,[]
Romain Perraud,DF,15,betis,valladolid,0,30,1,1,0.1,0.1,1,0,1,25,84.0,0,0,0.0,0.0,0.0,14,1,0,0,0,0,0,0,1,0,0,0,19,94.0,34.0,1,0,0,0.0,24_25,33,24/04/2025,1,"[{'rojas': [8, 1.0]}]"
Natan,DF,6,betis,valladolid,1,90,0,0,0.0,0.0,0,0,0,46,97.8,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,4,0,0,0,34,180.0,110.0,0,1,1,50.0,24_25,33,24/04/2025,1,"[{'rojas': [8, 1.0]}]"
Marc Bartra,DF,5,betis,valladolid,1,90,0,1,0.0,0.1,0,0,0,84,89.3,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,4,0,0,0,68,335.0,236.0,0,4,0,100.0,24_25,33,24/04/2025,1,[]
Youssouf Sabaly,DF,23,betis,valladolid,1,60,0,0,0.0,0.0,0,0,0,60,88.3,0,0,0.0,0.0,0.0,4,2,2,0,0,3,1,2,0,0,0,0,43,117.0,52.0,0,0,1,0.0,24_25,33,24/04/2025,1,[]
Aitor Ruibal,DF,24,betis,valladolid,0,30,0,1,0.0,0.7,0,0,0,24,83.3,1,0,0.0,0.0,0.0,6,1,2,0,1,2,1,1,0,1,0,1,13,43.0,20.0,0,0,0,0.0,24_25,33,24/04/2025,1,[]
Adrián,PT,13,betis,valladolid,1,90,0,0,0.0,0.0,0,0,0,22,77.3,0,0,1.0,80.0,1.1,8,0,1,0,1,0,0,0,0,0,0,0,17,82.0,58.0,0,1,0,100.0,24_25,33,24/04/2025,1,[]
Juanmi Latasa,DT,14,valladolid,betis,1,90,0,0,0.0,0.0,1,0,1,13,61.5,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,3,0,0,0,7,4.0,0.0,0,3,5,37.5,24_25,33,24/04/2025,0,"[{'rojas': [8, 1.0]}]"
Raúl Moro,MC,11,valladolid,betis,1,59,0,1,0.0,0.8,2,1,1,15,73.3,0,0,0.0,0.0,0.0,10,1,0,0,0,0,0,0,0,2,0,2,14,161.0,112.0,5,0,0,0.0,24_25,33,24/04/2025,0,"[{'regates_exitosos': [9, 57.0]}]"
Darwin Machís,MC,18,valladolid,betis,0,31,0,0,0.0,0.0,1,1,0,13,23.1,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,6,74.0,48.0,3,0,0,0.0,24_25,33,24/04/2025,0,"[{'rojas': [10, 1.0]}]"
Selim Amallah,MC,21,valladolid,betis,1,70,0,0,0.0,0.0,0,0,0,22,72.7,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,4,2,2,13,87.0,27.0,0,0,1,0.0,24_25,33,24/04/2025,0,"[{'rojas': [10, 1.0]}]"
