player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Ferrán Torres,DT,barcelona,mallorca,1,76,0,0,0.3,0.1,4,3,1,17,76.5,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,1,1,0,1,17,78.0,41.0,2,2,1,66.7,24_25,33,22/04/2025,1,"[{'goles_por_tiro': [9, 0.21]}, {'rojas': [8, 1.0]}]"
Pau Victor,DT,barcelona,mallorca,0,14,0,0,0.2,0.1,2,1,1,6,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,7,17.0,9.0,2,0,0,0.0,24_25,33,22/04/2025,1,[]
Ansu Fati,DT,barcelona,mallorca,1,61,0,0,0.2,0.1,4,3,1,42,85.7,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,0,3,0,3,34,209.0,95.0,3,1,3,25.0,24_25,33,22/04/2025,1,[]
Raphinha,DT,barcelona,mallorca,0,29,0,0,0.1,0.1,1,1,0,24,79.2,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,1,0,1,14,133.0,82.0,1,0,0,0.0,24_25,33,22/04/2025,1,"[{'goles': [6, 18.0]}, {'goles_90': [9, 0.57]}, {'asistencias': [2, 9.0]}, {'tiros_puerta': [4, 40.0]}, {'pases_clave': [2, 91.0]}, {'corners': [1, 140.0]}]"
Lamine Yamal,DT,barcelona,mallorca,1,85,0,0,0.8,0.5,10,6,4,55,76.4,0,0,0.0,0.0,0.0,10,3,3,0,2,0,0,0,0,9,5,4,45,257.0,134.0,4,0,0,0.0,24_25,33,22/04/2025,1,"[{'asistencias': [1, 13.0]}, {'asistencias_90': [2, 0.41]}, {'tiros_puerta': [2, 46.0]}, {'pases_clave': [6, 64.0]}, {'regates_exitosos': [1, 161.0]}]"
Frenkie de Jong,MC,barcelona,mallorca,0,5,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,19.0,8.0,0,0,0,0.0,24_25,33,22/04/2025,1,"[{'pases_completados_pct': [1, 94.4]}]"
Dani Olmo,MC,barcelona,mallorca,1,61,1,0,0.6,0.2,4,2,2,58,79.3,0,0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,38,139.0,77.0,1,1,0,100.0,24_25,33,22/04/2025,1,"[{'goles_90': [6, 0.74]}]"
Fermin López,MC,barcelona,mallorca,0,29,0,0,0.2,0.2,4,2,2,14,85.7,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,2,1,1,17,67.0,21.0,0,0,0,0.0,24_25,33,22/04/2025,1,"[{'asistencias_90': [3, 0.36]}, {'rojas': [8, 1.0]}]"
Pedri,MC,barcelona,mallorca,1,90,0,0,0.1,0.9,2,2,0,114,93.0,0,0,0.0,0.0,0.0,12,1,2,0,1,0,0,0,1,3,3,0,93,580.0,258.0,4,0,0,0.0,24_25,33,22/04/2025,1,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
Gavi,MC,barcelona,mallorca,1,90,0,0,0.1,0.1,3,3,0,113,96.5,0,0,0.0,0.0,0.0,7,2,4,0,3,1,0,1,0,2,0,1,91,369.0,204.0,1,2,3,40.0,24_25,33,22/04/2025,1,[]
Héctor Fort,DF,barcelona,mallorca,1,76,0,0,0.1,0.0,1,1,0,69,89.9,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,2,3,0,3,48,214.0,152.0,3,0,0,0.0,24_25,33,22/04/2025,1,[]
Gerard Martín,DF,barcelona,mallorca,0,14,0,0,0.0,0.0,0,0,0,16,81.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,10,68.0,33.0,2,0,1,0.0,24_25,33,22/04/2025,1,[]
Iñigo Martínez,DF,barcelona,mallorca,1,90,0,0,0.1,0.0,2,2,0,94,95.7,0,0,0.0,0.0,0.0,10,0,1,0,1,0,0,0,7,0,0,0,68,438.0,320.0,1,5,3,62.5,24_25,33,22/04/2025,1,"[{'pases_ultimo_tercio': [3, 259.0]}]"
Ronald Araújo,DF,barcelona,mallorca,1,90,0,0,0.5,0.0,1,1,0,45,77.8,0,0,0.0,0.0,0.0,8,3,1,0,0,1,1,0,6,0,0,0,29,88.0,51.0,0,4,4,50.0,24_25,33,22/04/2025,1,"[{'pases_completados_pct': [5, 92.5]}]"
Eric García,DF,barcelona,mallorca,1,90,0,1,0.2,0.1,2,1,1,81,91.4,0,0,0.0,0.0,0.0,11,2,3,0,2,3,0,3,1,0,0,0,50,186.0,108.0,2,1,0,100.0,24_25,33,22/04/2025,1,"[{'pases_completados_pct': [7, 92.1]}]"
Wojciech Szczęsny,PT,barcelona,mallorca,1,90,0,0,0.0,0.0,0,0,0,24,95.8,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,2,0,0,0,16,46.0,27.0,0,0,0,0.0,24_25,33,22/04/2025,1,"[{'porterias_cero': [7, 8.0]}]"
Cyle Larin,DT,mallorca,barcelona,1,85,0,0,0.1,0.0,2,2,0,15,40.0,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,2,2,0,14,77.0,36.0,2,5,7,41.7,24_25,33,22/04/2025,0,[]
Abdón Prats,DT,mallorca,barcelona,0,5,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,2,5.0,3.0,0,1,1,50.0,24_25,33,22/04/2025,0,"[{'apariciones_suplente': [6, 21.0]}]"
Sergi Darder,MC,mallorca,barcelona,1,90,0,0,0.0,0.1,0,0,0,21,52.4,0,0,0.0,0.0,0.0,6,2,3,0,1,1,0,1,0,5,4,0,15,70.0,17.0,0,0,0,0.0,24_25,33,22/04/2025,0,"[{'corners': [9, 32.0]}]"
Samu Costa,MC,mallorca,barcelona,1,65,0,0,0.0,0.0,0,0,0,15,86.7,1,0,0.0,0.0,0.0,1,3,4,0,3,3,1,2,2,3,1,1,11,27.0,3.0,0,1,1,50.0,24_25,33,22/04/2025,0,"[{'entradas': [4, 90.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [4, 62.0]}, {'faltas_recibidas': [7, 63.0]}]"
Marc Domenech,MC,mallorca,barcelona,0,25,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,2,16.0,8.0,1,0,0,0.0,24_25,33,22/04/2025,0,[]
Omar Mascarell,MC,mallorca,barcelona,1,85,0,0,0.0,0.0,0,0,0,19,63.2,0,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,1,0,0,0,11,22.0,14.0,0,1,0,100.0,24_25,33,22/04/2025,0,"[{'intercepciones': [5, 49.0]}, {'rojas': [8, 1.0]}]"
Jan Salas,MC,mallorca,barcelona,0,5,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,0,0,0,0.0,24_25,33,22/04/2025,0,[]
Antonio Sánchez,MC,mallorca,barcelona,1,80,0,0,0.0,0.0,0,0,0,14,28.6,0,0,0.0,0.0,0.0,3,2,1,0,1,0,0,0,1,2,1,1,10,65.0,43.0,2,0,0,0.0,24_25,33,22/04/2025,0,"[{'apariciones_suplente': [6, 21.0]}]"
Valery Fernández,MC,mallorca,barcelona,0,10,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,2,7.0,5.0,0,0,0,0.0,24_25,33,22/04/2025,0,"[{'apariciones_suplente': [2, 25.0]}]"
Johan Mojica,DF,mallorca,barcelona,1,80,0,0,0.0,0.2,0,0,0,22,63.6,0,0,0.0,0.0,0.0,6,0,3,0,3,1,1,0,1,6,2,4,16,78.0,32.0,1,0,1,0.0,24_25,33,22/04/2025,0,"[{'centros_area': [1, 33.0]}]"
Toni Lato,DF,mallorca,barcelona,0,10,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,2,0,0,0,1,1,0,2,0,0,0,2,3.0,1.0,0,0,0,0.0,24_25,33,22/04/2025,0,"[{'rojas': [8, 1.0]}]"
Copete,DF,mallorca,barcelona,1,90,0,0,0.0,0.0,0,0,0,22,86.4,0,0,0.0,0.0,0.0,8,3,3,0,1,5,3,2,9,1,0,0,15,49.0,13.0,0,1,0,100.0,24_25,33,22/04/2025,0,[]
Antonio Raillo,DF,mallorca,barcelona,1,90,0,0,0.2,0.0,2,2,0,16,75.0,0,0,0.0,0.0,0.0,5,1,1,0,0,1,1,0,11,0,0,0,8,31.0,26.0,0,1,4,20.0,24_25,33,22/04/2025,0,"[{'despejes': [3, 222.0]}, {'minutos': [9, 3207.0]}, {'rojas': [8, 1.0]}]"
