player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Borja Iglesias,DT,7,celta,villarreal,1,65,1,1,0.7,0.9,4,2,2,7,57.1,0,0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,2,0,2,7,35.0,11.0,2,1,2,33.3,24_25,33,23/04/2025,1,"[{'tiros_puerta': [10, 28.0]}, {'goles_por_tiro': [5, 0.24]}]"
Iago Aspas,DT,10,celta,villarreal,0,25,1,0,0.8,0.1,1,0,1,19,73.7,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,14,30.0,8.0,0,0,0,0.0,24_25,33,23/04/2025,1,"[{'goles_90': [10, 0.52]}, {'penaltis_marcados': [3, 5.0]}, {'rojas': [8, 1.0]}]"
Alfon,DT,12,celta,villarreal,1,90,0,0,0.1,0.1,1,0,1,22,77.3,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,5,1,4,19,119.0,68.0,4,0,1,0.0,24_25,33,23/04/2025,1,"[{'rojas': [8, 1.0]}]"
Fer López,DT,28,celta,villarreal,1,73,1,0,0.9,0.2,2,1,1,25,84.0,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,5,1,4,22,82.0,34.0,2,0,1,0.0,24_25,33,23/04/2025,1,[]
Iker Losada,DT,14,celta,villarreal,0,17,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,4,22.0,9.0,0,1,0,100.0,24_25,33,23/04/2025,1,[]
Óscar Mingueza,MC,3,celta,villarreal,1,90,0,0,0.0,0.0,1,1,0,89,71.9,0,0,0.0,0.0,0.0,5,1,3,0,2,3,0,3,2,2,1,1,67,311.0,176.0,5,0,1,0.0,24_25,33,23/04/2025,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Fran Beltrán,MC,8,celta,villarreal,1,45,0,0,0.1,0.4,2,2,0,39,89.7,1,0,0.0,0.0,0.0,5,4,1,0,0,0,0,0,0,1,1,0,29,168.0,78.0,3,0,0,0.0,24_25,33,23/04/2025,1,[]
Ilaix Moriba,MC,6,celta,villarreal,0,45,0,0,0.1,0.0,2,1,1,38,100.0,0,0,0.0,0.0,0.0,6,3,0,0,0,0,0,0,0,0,0,0,27,113.0,72.0,1,0,0,0.0,24_25,33,23/04/2025,1,"[{'rojas': [8, 1.0]}]"
Damián Rodríguez,MC,25,celta,villarreal,1,90,0,0,0.0,0.0,1,1,0,82,89.0,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,0,1,0,1,55,213.0,80.0,1,0,0,0.0,24_25,33,23/04/2025,1,[]
Hugo Álvarez,MC,23,celta,villarreal,1,54,0,1,0.1,0.3,1,0,1,50,78.0,1,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,1,0,0,29,131.0,58.0,1,0,3,0.0,24_25,33,23/04/2025,1,[]
