player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Dani Raba,DT,leganes,girona,1,90,0,0,0.0,0.0,1,1,0,26,73.1,0,0,0.0,0.0,0.0,3,0,0,0,0,2,0,2,0,3,2,1,27,119.0,29.0,1,0,1,0.0,24_25,33,1
Yan Diomandé,MC,leganes,girona,1,45,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,0,0,2,0,2,1,0,1,0,3,1,2,14,57.0,21.0,0,0,1,0.0,24_25,33,1
Óscar Rodríguez Arnaiz,MC,leganes,girona,0,45,0,0,0.1,0.0,2,2,0,20,65.0,1,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,13,102.0,19.0,0,0,2,0.0,24_25,33,1
Renato Tapia,MC,leganes,girona,1,90,0,0,0.0,0.0,0,0,0,18,88.9,0,0,0.0,0.0,0.0,3,6,2,0,0,2,0,2,0,0,0,0,11,33.0,17.0,0,0,0,0.0,24_25,33,1
Seydouba Cissé,MC,leganes,girona,1,18,0,0,0.0,0.0,0,0,0,10,80.0,0,1,0.0,0.0,0.0,-2,1,1,0,0,0,0,0,0,0,0,0,10,19.0,9.0,0,0,0,0.0,24_25,33,1
Juan Cruz,MC,leganes,girona,1,75,0,0,0.0,0.0,0,0,0,15,80.0,0,0,0.0,0.0,0.0,4,4,2,0,1,0,0,0,0,0,0,0,10,57.0,15.0,0,2,1,66.7,24_25,33,1
Diego,DT,leganes,girona,0,15,0,0,0.0,0.0,1,1,0,4,50.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,9.0,4.0,0,1,4,20.0,24_25,33,1
Adrià Altimira,DF,leganes,girona,1,24,0,0,0.0,0.0,1,1,0,7,71.4,1,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,4,60.0,52.0,1,0,0,0.0,24_25,33,1
Darko Brašanac,MC,leganes,girona,0,66,0,0,0.0,0.0,1,1,0,7,85.7,1,0,0.0,0.0,0.0,1,1,0,0,0,2,1,1,0,0,0,0,7,27.0,1.0,0,1,0,100.0,24_25,33,1
Javi Hernández,DF,leganes,girona,1,90,0,0,0.0,0.0,0,0,0,35,71.4,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,19,112.0,81.0,2,3,0,100.0,24_25,33,1
Sergi,DF,leganes,girona,1,64,0,0,0.0,0.0,0,0,0,27,77.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,21,50.0,34.0,0,1,2,33.3,24_25,33,1
Duk,DF,leganes,girona,0,26,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,1,1,0,5,43.0,17.0,1,1,1,50.0,24_25,33,1
Jorge Sáenz,DF,leganes,girona,1,75,0,0,0.0,0.0,0,0,0,30,83.3,0,0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,5,0,0,0,18,38.0,17.0,0,3,0,100.0,24_25,33,1
Munir El Haddadi,MC,leganes,girona,0,15,1,0,0.2,0.0,1,0,1,5,40.0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,6,13.0,2.0,0,0,0,0.0,24_25,33,1
Valentin Rosier,DF,leganes,girona,1,90,0,0,0.0,0.0,0,0,0,31,90.3,0,0,0.0,0.0,0.0,5,2,2,0,0,2,1,1,3,0,0,0,21,128.0,89.0,4,0,0,0.0,24_25,33,1
Marko Dmitrović,PT,leganes,girona,1,90,0,0,0.0,0.0,0,0,0,30,30.0,0,0,1.0,50.0,0.8,3,0,0,0,0,0,0,0,0,0,0,0,17,101.0,67.0,0,0,0,0.0,24_25,33,1
Cristhian Stuani,DT,girona,leganes,1,81,1,0,0.2,0.0,2,0,2,10,80.0,0,0,0.0,0.0,0.0,10,2,1,0,0,0,0,0,0,0,0,0,9,15.0,5.0,0,2,3,40.0,24_25,33,0
Arnaut Danjuma,DT,girona,leganes,0,9,0,0,0.1,0.1,1,1,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,0,2,5,22.0,4.0,0,0,0,0.0,24_25,33,0
Portu,DT,girona,leganes,1,76,0,1,0.0,0.1,0,0,0,21,76.2,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,1,0,19,94.0,54.0,2,0,0,0.0,24_25,33,0
Iván Martín,MC,girona,leganes,0,14,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,1,0,1,5,16.0,11.0,0,0,1,0.0,24_25,33,0
Viktor Tsyhankov,DT,girona,leganes,1,90,0,0,0.2,0.2,2,2,0,40,82.5,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,4,2,2,38,228.0,119.0,5,0,1,0.0,24_25,33,0
Miguel Gutiérrez,MC,girona,leganes,1,85,0,0,0.0,0.0,1,1,0,60,81.7,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,3,2,1,52,299.0,118.0,4,0,1,0.0,24_25,33,0
Juanpe,MC,girona,leganes,0,5,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,10.0,6.0,0,0,1,0.0,24_25,33,0
Yangel Herrera,MC,girona,leganes,1,85,0,0,0.0,0.0,1,1,0,44,77.3,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,0,0,0,0,32,139.0,50.0,2,1,2,33.3,24_25,33,0
Donny van de Beek,MC,girona,leganes,0,5,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,3,24.0,23.0,1,1,0,100.0,24_25,33,0
Arthur Melo,MC,girona,leganes,1,76,0,0,0.0,0.0,0,0,0,72,98.6,1,0,0.0,0.0,0.0,5,1,2,0,1,1,1,0,1,0,0,0,59,397.0,222.0,3,0,1,0.0,24_25,33,0
Oriol Romeu,MC,girona,leganes,0,14,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,3,28.0,23.0,1,0,0,0.0,24_25,33,0
Arnau Martinez,MC,girona,leganes,1,90,0,0,0.0,0.0,0,0,0,54,83.3,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,3,1,0,1,40,167.0,59.0,2,3,1,75.0,24_25,33,0
Daley Blind,DF,girona,leganes,1,90,0,0,0.0,0.0,0,0,0,85,85.9,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,76,319.0,121.0,2,0,1,0.0,24_25,33,0
Ladislav Krejčí,DF,girona,leganes,1,90,0,0,0.1,0.1,1,1,0,61,95.1,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,3,0,0,0,43,324.0,221.0,3,1,0,100.0,24_25,33,0
David López,DF,girona,leganes,1,90,0,0,0.0,0.0,0,0,0,87,97.7,0,0,0.0,0.0,0.0,5,1,0,0,0,1,1,0,5,0,0,0,78,491.0,285.0,2,4,0,100.0,24_25,33,0
Paulo Gazzaniga,PT,girona,leganes,1,90,0,0,0.0,0.0,0,0,0,35,71.4,0,0,1.0,0.0,0.8,3,0,0,0,0,0,0,0,0,0,0,0,19,84.0,37.0,0,0,0,0.0,24_25,33,0
