player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Cristhian Stuani,DT,girona,mallorca,1,86,1,0,0.3,0.2,1,0,1,13,76.9,0,0,0.0,0.0,0.0,10,1,1,0,0,0,0,0,1,1,0,0,11,39.0,10.0,0,3,2,60.0
Bojan Miovski,DT,girona,mallorca,0,4,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0.0
Portu,DT,girona,mallorca,1,83,0,0,0.4,0.2,3,1,2,18,77.8,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,1,1,0,1,14,68.0,31.0,2,2,1,66.7
Yaser Asprilla,DT,girona,mallorca,0,7,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,1,2.0,2.0,0,0,1,0.0
Viktor Tsyhankov,DT,girona,mallorca,1,90,0,0,0.1,0.4,3,2,1,36,77.8,0,0,0.0,0.0,0.0,7,2,1,0,0,0,0,0,0,1,1,0,25,123.0,57.0,2,1,0,100.0
Yangel Herrera,MC,girona,mallorca,1,90,0,0,0.3,0.0,3,2,1,38,76.3,0,0,0.0,0.0,0.0,7,3,3,0,1,0,0,0,2,0,0,0,27,157.0,93.0,2,3,4,42.9
Arthur Melo,MC,girona,mallorca,1,90,0,0,0.0,0.0,0,0,0,68,88.2,0,0,0.0,0.0,0.0,6,2,2,0,1,1,0,1,1,1,0,0,56,430.0,196.0,2,0,0,0.0
Iván Martín,MC,girona,mallorca,1,83,0,0,0.2,0.0,1,1,0,42,92.9,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,0,1,27,152.0,59.0,2,0,0,0.0
Oriol Romeu,MC,girona,mallorca,0,7,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0
Daley Blind,DF,girona,mallorca,1,90,0,0,0.2,0.2,1,0,1,68,76.5,0,0,0.0,0.0,0.0,8,0,2,0,2,1,0,1,4,0,0,0,41,159.0,25.0,0,0,0,0.0
