player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Diego,DT,leganes,espanyol,1,88,0,0,0.2,0.0,3,3,0,13,38.5,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,2,1,1,17,83.0,38.0,1,1,6,14.3,24_25,35,11/05/2025,1,[]
Duk,DT,leganes,espanyol,0,2,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,2,5.0,0.0,0,0,1,0.0,24_25,35,11/05/2025,1,[]
Munir El Haddadi,DT,leganes,espanyol,1,88,0,0,0.1,0.0,1,0,1,29,89.7,0,0,0.0,0.0,0.0,4,1,1,0,1,2,0,2,0,2,1,0,27,87.0,28.0,1,1,2,33.3,24_25,35,11/05/2025,1,"[{'rojas': [8, 1.0]}]"
Miguel,DT,leganes,espanyol,0,2,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0,0,1,0.0,24_25,35,11/05/2025,1,[]
Dani Raba,DT,leganes,espanyol,1,73,0,2,0.0,1.1,1,1,0,27,74.1,1,0,0.0,0.0,0.0,19,2,2,0,1,2,1,1,2,2,1,1,16,76.0,15.0,0,0,0,0.0,24_25,35,11/05/2025,1,"[{'penaltis_marcados': [6, 4.0]}]"
Óscar Rodríguez Arnaiz,MC,leganes,espanyol,0,17,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,1,0,0,0,4,17.0,3.0,0,1,0,100.0,24_25,35,11/05/2025,1,"[{'rojas': [8, 1.0]}]"
Yan Diomandé,MC,leganes,espanyol,1,90,1,0,0.4,0.2,1,0,1,32,87.5,0,0,0.0,0.0,0.0,0,3,3,0,2,1,0,1,0,6,2,3,26,340.0,206.0,9,0,1,0.0,24_25,35,11/05/2025,1,[]
Yvan Neyou,MC,leganes,espanyol,1,79,0,0,0.0,0.1,0,0,0,39,100.0,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,1,0,0,0,30,164.0,79.0,2,0,0,0.0,24_25,35,11/05/2025,1,"[{'amarillas': [1, 14.0]}]"
Darko Brašanac,MC,leganes,espanyol,0,11,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,1,1.0,0.0,0,0,0,0.0,24_25,35,11/05/2025,1,[]
Seydouba Cissé,MC,leganes,espanyol,1,90,1,0,0.5,0.0,3,2,1,36,77.8,0,0,0.0,0.0,0.0,10,3,2,0,1,0,0,0,2,2,2,0,27,205.0,115.0,3,0,5,0.0,24_25,35,11/05/2025,1,"[{'rojas': [8, 1.0]}]"
Adrià Altimira,MC,leganes,espanyol,1,90,0,0,0.0,0.0,0,0,0,22,54.5,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,3,4,1,1,13,56.0,14.0,0,1,2,33.3,24_25,35,11/05/2025,1,[]
Renato Tapia,DF,leganes,espanyol,1,90,0,0,0.0,0.0,2,2,0,59,76.3,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,7,2,1,1,42,197.0,109.0,2,2,1,66.7,24_25,35,11/05/2025,1,"[{'rojas': [10, 1.0]}]"
Jorge Sáenz,DF,leganes,espanyol,1,90,0,0,0.2,0.0,2,0,2,50,76.0,1,0,0.0,0.0,0.0,3,0,1,0,1,2,2,0,12,0,0,0,39,122.0,85.0,0,5,2,71.4,24_25,35,11/05/2025,1,"[{'rojas': [8, 1.0]}]"
Valentin Rosier,DF,leganes,espanyol,1,90,0,0,0.0,0.0,0,0,0,29,86.2,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,5,0,0,0,21,49.0,38.0,0,1,0,100.0,24_25,35,11/05/2025,1,"[{'intercepciones': [3, 52.0]}]"
Marko Dmitrović,PT,leganes,espanyol,1,90,0,0,0.0,0.0,0,0,0,35,62.9,0,0,2.0,66.7,1.8,7,0,0,0,0,0,0,0,1,0,0,0,24,118.0,81.0,0,1,0,100.0,24_25,35,11/05/2025,1,"[{'porterias_cero': [4, 10.0]}, {'paradas': [3, 103.0]}]"
Roberto Férnandez,DT,espanyol,leganes,1,71,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,2,1,1,0,9,58.0,5.0,0,2,3,40.0,24_25,35,11/05/2025,0,"[{'goles_por_tiro': [1, 0.29]}]"
Pere Milla,MC,espanyol,leganes,0,19,1,0,0.1,0.0,1,0,1,6,100.0,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,0,0,0,3,6.0,5.0,0,1,0,100.0,24_25,35,11/05/2025,0,"[{'goles': [9, 6.0]}, {'rojas': [2, 1.0]}]"
Javi Puado,MC,espanyol,leganes,1,71,0,0,0.1,0.0,1,1,0,21,85.7,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,16,62.0,41.0,1,0,0,0.0,24_25,35,11/05/2025,0,"[{'goles': [10, 12.0]}, {'penaltis_marcados': [3, 5.0]}]"
Walid Cheddira,DT,espanyol,leganes,0,19,0,0,0.1,0.0,2,1,1,5,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,0,6,25.0,5.0,0,0,0,0.0,24_25,35,11/05/2025,0,[]
Alex Král,MC,espanyol,leganes,1,45,0,0,0.0,0.0,0,0,0,8,75.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,2,1,0,4,27.0,0.0,0,0,0,0.0,24_25,35,11/05/2025,0,[]
Alejo Véliz,DT,espanyol,leganes,0,45,0,0,0.3,0.0,2,1,1,10,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,7,22.0,17.0,1,3,4,42.9,24_25,35,11/05/2025,0,[]
Urko González,MC,espanyol,leganes,1,90,0,1,0.0,0.2,0,0,0,34,70.6,0,0,0.0,0.0,0.0,5,4,3,0,2,0,0,0,1,2,0,1,17,86.0,56.0,2,2,1,66.7,24_25,35,11/05/2025,0,[]
Edu Expósito,MC,espanyol,leganes,1,90,0,0,0.2,0.0,1,1,0,46,56.5,0,0,0.0,0.0,0.0,3,4,1,0,0,0,0,0,2,4,3,1,31,90.0,42.0,0,3,0,100.0,24_25,35,11/05/2025,0,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [4, 56.0]}]"
Carlos Romero,DF,espanyol,leganes,1,90,0,0,0.1,0.5,2,1,1,37,73.0,0,0,0.0,0.0,0.0,3,2,3,0,1,1,0,1,1,4,1,2,24,138.0,36.0,1,0,1,0.0,24_25,35,11/05/2025,0,"[{'entradas': [6, 44.0]}]"
Leandro Cabrera,DF,espanyol,leganes,1,90,1,0,0.2,0.0,1,0,1,37,64.9,1,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,3,0,0,0,14,71.0,44.0,1,2,0,100.0,24_25,35,11/05/2025,0,"[{'goles_por_tiro': [9, 0.21]}, {'despejes': [6, 199.0]}, {'rojas': [8, 1.0]}]"
Marash Kumbulla,DF,espanyol,leganes,1,90,0,0,0.2,0.0,2,1,1,53,71.7,0,0,0.0,0.0,0.0,3,1,1,0,1,1,1,0,8,0,0,0,34,125.0,78.0,0,6,2,75.0,24_25,35,11/05/2025,0,"[{'despejes': [2, 224.0]}]"
Fernando Calero,DF,espanyol,leganes,1,45,0,0,0.0,0.0,0,0,0,22,77.3,0,0,0.0,0.0,0.0,-1,1,2,0,2,1,0,1,1,0,0,0,8,35.0,13.0,0,2,1,66.7,24_25,35,11/05/2025,0,[]
Álvaro Tejero,DF,espanyol,leganes,0,45,0,0,0.0,0.1,0,0,0,43,81.4,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,12,37.0,12.0,0,0,1,0.0,24_25,35,11/05/2025,0,[]
Jofre,DF,espanyol,leganes,1,61,0,0,0.0,0.0,0,0,0,11,27.3,0,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,1,0,1,8,33.0,5.0,0,0,0,0.0,24_25,35,11/05/2025,0,[]
Antoniu,MC,espanyol,leganes,0,29,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,4,3,1,7,31.0,25.0,2,0,0,0.0,24_25,35,11/05/2025,0,[]
Joan García,PT,espanyol,leganes,1,90,0,0,0.0,0.0,0,0,0,43,76.7,0,0,3.0,40.0,1.6,3,0,0,0,0,0,0,0,0,0,0,0,24,146.0,99.0,0,0,0,0.0,24_25,35,11/05/2025,0,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 8.0]}, {'paradas': [1, 141.0]}, {'save_pct': [5, 75.6]}]"
