player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Kiké,DT,alaves,valencia,1,89,0,0,0.2,0.0,2,2,0,16,75.0,0,0,0.0,0.0,0.0,5,0,2,0,2,0,0,0,1,0,0,0,19,54.0,32.0,0,2,0,100.0,24_25,36,1
Toni Martínez,DT,alaves,valencia,0,1,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,100.0,24_25,36,1
Carles Aleñá,MC,alaves,valencia,1,89,0,0,0.1,0.1,2,1,1,18,72.2,0,0,0.0,0.0,0.0,6,0,1,0,1,1,0,1,0,1,1,0,20,87.0,29.0,1,1,0,100.0,24_25,36,1
Tomás Conechny,MC,alaves,valencia,0,1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,1,12.0,3.0,1,0,0,0.0,24_25,36,1
Ander Guevara,MC,alaves,valencia,1,90,0,0,0.0,0.0,0,0,0,43,76.7,0,0,0.0,0.0,0.0,7,1,1,0,1,1,0,1,0,0,0,0,35,93.0,45.0,1,1,0,100.0,24_25,36,1
Jon Guridi,MC,alaves,valencia,1,64,0,0,0.6,0.0,1,0,1,18,66.7,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,16,50.0,22.0,1,2,3,40.0,24_25,36,1
Joan Jordán,MC,alaves,valencia,0,26,1,0,0.8,0.0,0,0,0,14,64.3,1,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,8,55.0,41.0,1,0,0,0.0,24_25,36,1
Carlos Vicente,MC,alaves,valencia,1,90,0,0,0.0,0.0,1,0,1,47,74.5,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,1,0,1,29,131.0,46.0,2,1,1,50.0,24_25,36,1
Antonio Blanco,MC,alaves,valencia,1,83,0,0,0.0,0.0,0,0,0,44,75.0,0,0,0.0,0.0,0.0,5,0,4,0,4,1,0,1,2,0,0,0,36,137.0,69.0,1,0,0,0.0,24_25,36,1
Carlos Benavídez,MC,alaves,valencia,0,7,0,0,0.0,0.0,0,0,0,3,33.3,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,1,0.0,24_25,36,1
