player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Jorge de Frutos,ESP,28,DT,19,rayo,betis,1,67,1,0,0.3,0.0,1,0,1,11,63.6,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,1,0,0,8,70.0,26.0,2,1,2,33.3,24_25,36,15/05/2025,1,"[{'rojas': [8, 1.0]}]"
Unai López,ESP,29,MC,17,rayo,betis,0,23,0,0,0.0,0.0,2,1,1,33,81.8,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,0,3,1,0,19,70.0,13.0,0,0,0,0.0,24_25,36,15/05/2025,1,"[{'rojas': [8, 1.0]}]"
Álvaro García,ESP,32,DT,18,rayo,betis,1,90,0,0,0.4,0.0,2,1,1,24,54.2,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,2,0,0,0,18,118.0,65.0,3,2,1,66.7,24_25,36,15/05/2025,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Andrei Ratiu,ROU,26,DT,2,rayo,betis,1,90,0,0,0.0,0.1,0,0,0,39,74.4,0,0,0.0,0.0,0.0,-1,3,3,0,1,2,1,1,1,6,3,2,20,117.0,55.0,3,2,3,40.0,24_25,36,15/05/2025,1,"[{'regates_exitosos': [5, 76.0]}]"
Isaac Palazón Camacho,ESP,30,MC,7,rayo,betis,1,90,0,0,0.0,0.4,2,2,0,43,72.1,0,0,0.0,0.0,0.0,7,0,2,0,2,0,0,0,1,1,0,1,28,95.0,35.0,1,1,1,50.0,24_25,36,15/05/2025,1,"[{'corners': [7, 92.0]}]"
Pedro Díaz,ESP,26,MC,4,rayo,betis,1,81,0,0,0.2,0.0,6,5,1,36,77.8,0,0,0.0,0.0,0.0,3,0,2,0,2,1,0,1,0,3,3,0,20,192.0,145.0,4,0,2,0.0,24_25,36,15/05/2025,1,[]
Óscar Trejo,ARG,37,MC,8,rayo,betis,0,9,0,0,0.0,0.0,0,0,0,10,90.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,0,0,0,7,24.0,15.0,1,0,0,0.0,24_25,36,15/05/2025,1,"[{'rojas': [10, 1.0]}]"
Pathé Ciss,SEN,31,MC,6,rayo,betis,1,67,0,0,0.0,0.0,0,0,0,33,78.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,17,49.0,27.0,0,0,1,0.0,24_25,36,15/05/2025,1,"[{'amarillas': [3, 12.0]}]"
Óscar Valentín,ESP,30,MC,23,rayo,betis,0,23,0,0,0.0,0.1,0,0,0,20,90.0,0,0,0.0,0.0,0.0,3,2,2,0,1,0,0,0,0,1,0,1,15,72.0,46.0,1,2,0,100.0,24_25,36,15/05/2025,1,"[{'faltas_cometidas': [5, 57.0]}]"
Pep Chavarría,ESP,27,DF,3,rayo,betis,1,88,0,0,0.0,0.0,0,0,0,36,91.7,0,0,0.0,0.0,0.0,2,1,2,0,1,1,0,1,4,1,0,1,18,63.0,37.0,1,0,1,0.0,24_25,36,15/05/2025,1,"[{'rojas': [10, 1.0]}]"
Sergi Guardiola,ESP,33,DT,12,rayo,betis,0,2,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,24_25,36,15/05/2025,1,"[{'apariciones_suplente': [10, 21.0]}]"
Aridane Hernández,ESP,36,DF,5,rayo,betis,1,90,0,0,0.1,0.0,1,1,0,40,92.5,0,0,0.0,0.0,0.0,5,1,1,0,0,2,2,0,6,0,0,0,18,38.0,7.0,0,1,0,100.0,24_25,36,15/05/2025,1,[]
Florian Lejeune,FRA,33,DF,24,rayo,betis,1,90,1,0,0.1,0.0,4,2,2,55,83.6,0,0,0.0,0.0,0.0,11,2,2,0,1,0,0,0,1,1,0,0,29,151.0,109.0,0,4,0,100.0,24_25,36,15/05/2025,1,"[{'despejes': [9, 181.0]}, {'minutos': [4, 3325.0]}]"
Iván Balliu,ALB,33,DF,20,rayo,betis,1,66,0,0,0.0,0.1,0,0,0,31,77.4,1,0,0.0,0.0,0.0,-1,2,0,0,0,1,0,1,2,0,0,0,16,28.0,10.0,0,0,3,0.0,24_25,36,15/05/2025,1,[]
Alfonso Espino,URU,33,DF,22,rayo,betis,0,24,0,0,0.1,0.0,2,2,0,14,92.9,0,0,0.0,0.0,0.0,3,3,3,0,1,2,0,2,1,1,0,1,12,83.0,57.0,1,0,1,0.0,24_25,36,15/05/2025,1,[]
Augusto Batalla,ARG,29,PT,13,rayo,betis,1,90,0,0,0.0,0.0,0,0,0,39,53.8,0,0,2.0,66.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,27,136.0,90.0,0,1,0,100.0,24_25,36,15/05/2025,1,"[{'porterias_cero': [7, 8.0]}, {'paradas': [5, 93.0]}, {'save_pct': [8, 75.2]}]"
Cucho,COL,26,DT,19,betis,rayo,1,76,1,0,0.1,0.0,2,1,1,16,93.8,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,1,1,1,0,15,95.0,55.0,4,0,6,0.0,24_25,36,15/05/2025,0,"[{'goles': [5, 7.0]}, {'penaltis_marcados': [9, 1.0]}]"
Cédric Bakambu,COD,34,DT,11,betis,rayo,0,14,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5,13.0,9.0,0,0,0,0.0,24_25,36,15/05/2025,0,[]
Abde Ezzalzouli,MAR,23,DT,10,betis,rayo,1,68,0,0,0.0,0.0,1,0,1,15,46.7,0,0,0.0,0.0,0.0,3,2,1,0,0,2,0,2,2,2,0,0,22,73.0,24.0,1,2,0,100.0,24_25,36,15/05/2025,0,"[{'apariciones_suplente': [6, 22.0]}]"
Jesus Rodríguez,ESP,19,DT,36,betis,rayo,0,22,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,2,0,2,0,2,1,0,1,0,3,2,1,7,27.0,0.0,0,0,1,0.0,24_25,36,15/05/2025,0,[]
Antony,BRA,25,DT,7,betis,rayo,1,90,0,0,0.0,0.1,2,2,0,27,66.7,0,0,0.0,0.0,0.0,0,1,2,0,1,1,0,1,0,4,2,2,23,158.0,60.0,4,1,0,100.0,24_25,36,15/05/2025,0,"[{'rojas': [8, 1.0]}]"
Isco,ESP,33,MC,22,betis,rayo,1,68,1,0,0.9,0.0,2,2,0,36,75.0,0,0,0.0,0.0,0.0,8,0,1,0,1,1,0,1,0,2,1,1,25,114.0,31.0,0,1,0,100.0,24_25,36,15/05/2025,0,"[{'goles_90': [10, 0.52]}, {'asistencias': [4, 8.0]}, {'asistencias_90': [1, 0.47]}, {'penaltis_marcados': [3, 5.0]}, {'pases_clave': [8, 61.0]}]"
Giovani Lo Celso,ARG,29,MC,20,betis,rayo,0,22,0,0,0.0,0.0,0,0,0,9,55.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,6,34.0,13.0,0,0,0,0.0,24_25,36,15/05/2025,0,"[{'faltas_recibidas': [7, 63.0]}]"
