player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Roberto Férnandez,DT,espanyol,las palmas,1,78,0,0,0.1,0.0,1,1,0,9,100.0,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,4,13.0,7.0,0,1,7,12.5,24_25,38,1
Álvaro Aguado,DT,espanyol,las palmas,0,12,0,0,0.2,0.0,1,0,1,6,83.3,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,0,1,1,0,6,86.0,37.0,2,0,0,0.0,24_25,38,1
Javi Puado,DT,espanyol,las palmas,1,90,1,1,0.9,0.7,1,1,0,24,79.2,1,0,0.0,0.0,0.0,17,1,1,0,1,3,1,2,0,0,0,0,18,107.0,43.0,2,0,2,0.0,24_25,38,1
Jofre,DT,espanyol,las palmas,1,52,0,0,0.0,0.1,1,1,0,21,90.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,22,193.0,121.0,4,0,1,0.0,24_25,38,1
Alejo Véliz,DT,espanyol,las palmas,0,38,0,0,0.0,0.0,1,1,0,4,50.0,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,1,0,0,0,4,15.0,0.0,0,2,3,40.0,24_25,38,1
Edu Expósito,MC,espanyol,las palmas,1,59,0,0,0.0,0.0,0,0,0,23,73.9,1,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,0,0,0,15,29.0,9.0,0,0,0,0.0,24_25,38,1
Alex Král,MC,espanyol,las palmas,0,31,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,5,59.0,39.0,1,0,0,0.0,24_25,38,1
Pol Lozano,MC,espanyol,las palmas,1,45,0,0,0.0,0.0,0,0,0,19,78.9,0,0,0.0,0.0,0.0,2,0,2,0,2,1,0,1,0,0,0,0,12,50.0,23.0,0,1,0,100.0,24_25,38,1
Pere Milla,MC,espanyol,las palmas,0,45,1,0,0.8,0.2,2,1,1,15,40.0,0,0,0.0,0.0,0.0,8,0,3,0,3,0,0,0,1,0,0,0,11,56.0,15.0,1,1,0,100.0,24_25,38,1
Urko González,MC,espanyol,las palmas,1,78,0,0,0.0,0.0,0,0,0,31,74.2,0,0,0.0,0.0,0.0,7,4,4,0,1,0,0,0,3,1,0,1,21,134.0,64.0,0,3,1,75.0,24_25,38,1
Sergi Gómez,DF,espanyol,las palmas,0,12,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,2,0.0,24_25,38,1
Carlos Romero,DF,espanyol,las palmas,1,90,0,0,0.0,0.1,0,0,0,41,53.7,0,0,0.0,0.0,0.0,9,7,4,0,0,1,1,0,3,1,0,1,22,162.0,110.0,2,0,0,0.0,24_25,38,1
Leandro Cabrera,DF,espanyol,las palmas,1,90,0,0,0.0,0.0,0,0,0,51,84.3,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,4,0,0,0,31,133.0,100.0,0,1,0,100.0,24_25,38,1
Fernando Calero,DF,espanyol,las palmas,1,90,0,0,0.0,0.0,0,0,0,72,88.9,1,0,0.0,0.0,0.0,8,2,2,0,0,2,1,1,9,0,0,0,49,139.0,90.0,0,2,1,66.7,24_25,38,1
Omar El Hilali,DF,espanyol,las palmas,1,90,0,0,0.0,0.0,0,0,0,65,73.8,0,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,4,1,1,0,28,149.0,74.0,0,2,0,100.0,24_25,38,1
Joan García,PT,espanyol,las palmas,1,90,0,0,0.0,0.0,0,0,0,38,73.7,0,0,0.0,100.0,0.6,13,0,0,0,0,0,0,0,0,0,0,0,23,146.0,120.0,0,0,0,0.0,24_25,38,1
Jaime Mata,DT,las palmas,espanyol,1,79,0,0,0.2,0.0,2,1,1,22,72.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,3,1,1,19,59.0,10.0,0,1,2,33.3,24_25,38,0
Oliver McBurnie,DT,las palmas,espanyol,0,11,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,2,6.0,0.0,0,2,0,100.0,24_25,38,0
Benito Ramírez,DT,las palmas,espanyol,1,45,0,0,0.1,0.0,2,2,0,16,75.0,0,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,3,0,1,16,64.0,28.0,0,1,1,50.0,24_25,38,0
Adnan Januzaj,MC,las palmas,espanyol,0,45,0,0,0.0,0.2,0,0,0,43,69.8,1,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,7,5,2,33,344.0,151.0,3,0,0,0.0,24_25,38,0
Manuel Fuster,DT,las palmas,espanyol,1,90,0,0,0.0,0.1,1,0,1,54,81.5,0,0,0.0,0.0,0.0,5,0,1,0,1,0,0,0,2,2,0,2,42,185.0,94.0,1,0,1,0.0,24_25,38,0
Sergio Viera,MC,las palmas,espanyol,1,60,0,0,0.0,0.0,0,0,0,26,96.2,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,1,1,0,18,65.0,15.0,0,0,1,0.0,24_25,38,0
Diego Martín,DT,las palmas,espanyol,0,30,0,0,0.0,0.0,1,1,0,7,71.4,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,4,7.0,5.0,0,0,2,0.0,24_25,38,0
Dario Essugo,MC,las palmas,espanyol,1,69,0,0,0.0,0.0,0,0,0,46,93.5,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,1,1,0,1,27,95.0,65.0,0,1,0,100.0,24_25,38,0
Arturo Rodríguez,DT,las palmas,espanyol,0,21,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,7,37.0,11.0,1,0,1,0.0,24_25,38,0
Enzo Loiodice,MC,las palmas,espanyol,1,90,0,0,0.1,0.0,2,1,1,60,90.0,0,0,0.0,0.0,0.0,5,4,0,0,0,0,0,0,0,3,1,2,34,108.0,63.0,1,1,1,50.0,24_25,38,0
