player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Vedat Muriqi,KVX,30,DT,7,mallorca,villarreal,1,90,0,0,0.0,0.0,1,1,0,23,69.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,16,54.0,25.0,0,2,7,22.2,24_25,5,14/09/2024,1,"[{'rojas': [2, 2.0]}]"
Marc Domenech,ESP,18,DT,30,mallorca,villarreal,1,45,0,0,0.0,0.0,1,0,1,5,40.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,3,21.0,9.0,0,0,1,0.0,24_25,5,14/09/2024,1,[]
Valery Fernández,ESP,24,MC,16,mallorca,villarreal,0,45,0,0,0.0,0.0,0,0,0,9,88.9,1,0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,0,3,0,3,12,67.0,35.0,0,0,1,0.0,24_25,5,14/09/2024,1,"[{'apariciones_suplente': [2, 25.0]}]"
Takuma Asano,JPN,29,DT,11,mallorca,villarreal,1,62,0,0,0.0,0.0,1,0,1,21,47.6,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,1,1,0,1,24,157.0,85.0,4,0,1,0.0,24_25,5,14/09/2024,1,[]
Sergi Darder,ESP,30,MC,10,mallorca,villarreal,0,28,0,0,0.0,0.0,0,0,0,26,84.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,22,134.0,48.0,2,0,0,0.0,24_25,5,14/09/2024,1,"[{'corners': [9, 32.0]}]"
Dani Rodríguez,ESP,36,MC,14,mallorca,villarreal,1,61,0,0,0.0,0.0,0,0,0,36,69.4,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,23,192.0,92.0,4,0,0,0.0,24_25,5,14/09/2024,1,"[{'asistencias': [8, 7.0]}]"
Roberto Navarro,ESP,22,MC,27,mallorca,villarreal,0,29,0,0,0.1,0.1,1,1,0,15,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,1,0,0,17,83.0,54.0,1,0,0,0.0,24_25,5,14/09/2024,1,"[{'rojas': [10, 1.0]}]"
Samu Costa,POR,23,MC,12,mallorca,villarreal,1,90,0,0,0.1,0.0,3,1,2,64,87.5,1,0,0.0,0.0,0.0,3,3,1,0,0,1,0,1,1,1,1,0,56,283.0,119.0,2,2,3,40.0,24_25,5,14/09/2024,1,"[{'entradas': [4, 90.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [4, 62.0]}, {'faltas_recibidas': [7, 63.0]}]"
Manu Morlanes,ESP,25,MC,8,mallorca,villarreal,1,71,0,0,0.0,0.0,0,0,0,36,86.1,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,29,122.0,90.0,1,1,3,25.0,24_25,5,14/09/2024,1,"[{'rojas': [2, 1.0]}]"
Johan Mojica,COL,32,DF,22,mallorca,villarreal,0,19,0,0,0.0,0.1,0,0,0,19,73.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,13,36.0,13.0,0,0,1,0.0,24_25,5,14/09/2024,1,"[{'centros_area': [1, 33.0]}]"
Toni Lato,ESP,26,DF,3,mallorca,villarreal,1,68,0,0,0.0,0.0,0,0,0,38,71.1,0,1,0.0,0.0,0.0,0,2,1,0,1,1,0,1,4,1,0,1,23,155.0,97.0,3,1,0,100.0,24_25,5,14/09/2024,1,"[{'rojas': [8, 1.0]}]"
Antonio Raillo,ESP,32,DF,21,mallorca,villarreal,1,90,0,0,0.0,0.0,1,1,0,58,84.5,0,0,0.0,0.0,0.0,-1,2,3,0,1,4,4,0,1,0,0,0,40,206.0,102.0,1,4,1,80.0,24_25,5,14/09/2024,1,"[{'despejes': [3, 222.0]}, {'minutos': [9, 3207.0]}, {'rojas': [8, 1.0]}]"
Martin Valjent,SVK,28,DF,24,mallorca,villarreal,1,90,0,0,0.1,0.0,1,1,0,43,88.4,1,0,0.0,0.0,0.0,0,3,1,0,0,1,1,0,1,0,0,0,30,163.0,98.0,0,1,1,50.0,24_25,5,14/09/2024,1,"[{'despejes': [7, 195.0]}]"
Antonio Sánchez,ESP,27,DF,18,mallorca,villarreal,1,80,0,0,0.0,0.0,0,0,0,49,61.2,0,0,0.0,0.0,0.0,5,2,1,0,0,2,0,2,2,2,1,0,34,133.0,75.0,2,1,1,50.0,24_25,5,14/09/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Copete,ESP,24,DF,6,mallorca,villarreal,0,10,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,0,0,0,4,4.0,3.0,0,0,1,0.0,24_25,5,14/09/2024,1,[]
Dominik Greif,SVK,27,PT,1,mallorca,villarreal,1,90,0,0,0.0,0.0,0,0,0,44,75.0,0,0,2.0,50.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,29,160.0,114.0,0,0,0,0.0,24_25,5,14/09/2024,1,[]
Thierno Barry,FRA,21,DT,15,villarreal,mallorca,1,90,0,0,0.3,0.0,5,4,1,17,58.8,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,25,144.0,26.0,1,4,4,50.0,24_25,5,14/09/2024,0,[]
Ayoze Pérez,ESP,31,DT,22,villarreal,mallorca,1,90,1,0,0.7,0.3,4,3,1,22,81.8,0,0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,2,3,2,1,27,159.0,100.0,5,0,0,0.0,24_25,5,14/09/2024,0,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Alex Baena,ESP,23,MC,16,villarreal,mallorca,1,90,0,1,0.2,0.4,5,4,1,55,78.2,0,0,0.0,0.0,0.0,11,1,2,0,1,2,0,2,0,1,0,1,45,322.0,208.0,7,2,2,50.0,24_25,5,14/09/2024,0,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Daniel Parejo,ESP,35,MC,10,villarreal,mallorca,1,73,0,0,0.0,0.1,0,0,0,45,80.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,31,77.0,26.0,0,4,0,100.0,24_25,5,14/09/2024,0,"[{'pases_ultimo_tercio': [9, 176.0]}]"
Nicolas Pépé,CIV,29,MC,19,villarreal,mallorca,0,17,0,0,0.0,0.0,0,0,0,13,84.6,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,0,1,11,59.0,13.0,1,2,0,100.0,24_25,5,14/09/2024,0,"[{'asistencias_90': [3, 0.36]}]"
Santi Comesaña,ESP,27,MC,14,villarreal,mallorca,1,84,0,0,0.0,0.3,1,1,0,43,79.1,1,0,0.0,0.0,0.0,5,3,3,0,2,0,0,0,1,0,0,0,35,260.0,196.0,5,1,2,33.3,24_25,5,14/09/2024,0,"[{'entradas': [5, 85.0]}]"
Ramón Terrats,ESP,23,MC,20,villarreal,mallorca,0,6,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,16.0,6.0,0,0,0,0.0,24_25,5,14/09/2024,0,[]
Ilias Akhomach,MAR,20,MC,11,villarreal,mallorca,1,62,0,0,0.1,0.0,2,2,0,6,83.3,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,0,0,0,8,52.0,20.0,1,0,1,0.0,24_25,5,14/09/2024,0,"[{'regates_exitosos': [9, 57.0]}]"
Yeremi Pino,ESP,21,MC,21,villarreal,mallorca,0,28,0,1,0.1,0.5,1,1,0,9,66.7,0,0,0.0,0.0,0.0,8,1,1,0,0,0,0,0,0,1,0,1,11,54.0,37.0,0,0,0,0.0,24_25,5,14/09/2024,0,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
Sergi Cardona,ESP,25,DF,23,villarreal,mallorca,1,85,0,0,0.0,0.1,1,1,0,49,77.6,1,0,0.0,0.0,0.0,2,2,1,0,0,2,0,2,4,2,0,2,34,152.0,90.0,1,1,1,50.0,24_25,5,14/09/2024,0,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
Juan Bernat,ESP,31,DF,12,villarreal,mallorca,0,5,0,0,0.0,0.1,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,5,32.0,17.0,1,0,0,0.0,24_25,5,14/09/2024,0,[]
Logan Costa,CPV,23,DF,2,villarreal,mallorca,1,90,1,0,0.2,0.0,1,0,1,45,91.1,0,0,0.0,0.0,0.0,15,1,1,0,0,0,0,0,10,0,0,0,34,192.0,96.0,0,2,1,66.7,24_25,5,14/09/2024,0,[]
Raúl Albiol,ESP,39,DF,3,villarreal,mallorca,1,90,0,0,0.1,0.0,1,1,0,43,79.1,0,0,0.0,0.0,0.0,3,0,0,0,0,2,2,0,8,0,0,0,25,79.0,27.0,0,5,1,83.3,24_25,5,14/09/2024,0,[]
Kiko Femenía,ESP,33,DF,17,villarreal,mallorca,1,90,0,0,0.0,0.0,0,0,0,51,86.3,0,0,0.0,0.0,0.0,6,1,1,0,0,1,0,1,1,0,0,0,30,141.0,78.0,2,0,0,0.0,24_25,5,14/09/2024,0,"[{'rojas': [10, 1.0]}]"
Diego Conde,ESP,25,PT,13,villarreal,mallorca,1,90,0,0,0.0,0.0,0,0,0,22,77.3,0,0,1.0,75.0,0.3,7,0,0,0,0,0,0,0,0,0,0,0,17,116.0,76.0,0,0,0,0.0,24_25,5,14/09/2024,0,[]
