player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Umar Sadiq,NGA,27,DT,19,real sociedad,real madrid,1,62,0,0,0.1,0.2,1,1,0,11,72.7,1,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,2,0,2,14,139.0,57.0,1,0,4,0.0,24_25,5,14/09/2024,1,[]
Orri Steinn Óskarsson,ISL,20,DT,9,real sociedad,real madrid,0,28,0,0,0.0,0.0,0,0,0,6,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,10.0,1.0,0,1,1,50.0,24_25,5,14/09/2024,1,[]
Sheraldo Becker,SUR,29,DT,11,real sociedad,real madrid,1,62,0,0,0.2,0.0,1,1,0,15,53.3,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,2,2,0,12,127.0,66.0,2,0,1,0.0,24_25,5,14/09/2024,1,"[{'rojas': [8, 1.0]}]"
Ander Barrenetxea,ESP,22,DT,7,real sociedad,real madrid,0,28,0,0,0.0,0.0,0,0,0,16,68.8,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,9,54.0,34.0,1,0,0,0.0,24_25,5,14/09/2024,1,"[{'regates_exitosos': [7, 32.0]}]"
Takefusa Kubo,JPN,23,DT,14,real sociedad,real madrid,1,90,0,0,0.1,0.2,1,1,0,42,83.3,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,5,1,4,39,272.0,158.0,5,0,0,0.0,24_25,5,14/09/2024,1,"[{'regates_exitosos': [6, 75.0]}, {'faltas_recibidas': [1, 73.0]}]"
Sergio Gómez,ESP,24,MC,17,real sociedad,real madrid,1,90,0,0,0.0,0.0,1,0,1,63,79.4,0,0,0.0,0.0,0.0,2,2,3,0,2,1,1,0,1,1,0,0,37,191.0,95.0,1,0,0,0.0,24_25,5,14/09/2024,1,"[{'pases_clave': [10, 56.0]}, {'corners': [2, 133.0]}]"
Martín Zubimendi,ESP,25,MC,4,real sociedad,real madrid,1,90,0,0,0.0,0.0,0,0,0,71,93.0,0,0,0.0,0.0,0.0,3,3,1,0,0,2,0,2,1,0,0,0,50,291.0,146.0,3,3,0,100.0,24_25,5,14/09/2024,1,[]
Luka Sučić,CRO,22,MC,24,real sociedad,real madrid,1,74,0,0,0.4,0.2,4,4,0,39,84.6,0,0,0.0,0.0,0.0,5,2,1,0,0,1,1,0,1,0,0,0,32,217.0,98.0,1,0,0,0.0,24_25,5,14/09/2024,1,[]
Beñat Turrientes,ESP,22,MC,22,real sociedad,real madrid,0,16,0,0,0.0,0.0,0,0,0,13,84.6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,1,8,51.0,5.0,1,0,0,0.0,24_25,5,14/09/2024,1,[]
Javi López,ESP,22,DF,12,real sociedad,real madrid,1,77,0,0,0.0,0.0,0,0,0,34,91.2,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,2,1,1,0,24,163.0,72.0,2,0,0,0.0,24_25,5,14/09/2024,1,[]
