player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Borja Iglesias,ESP,31,DT,7,celta,valladolid,1,68,1,0,0.6,0.0,3,2,1,14,71.4,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,1,0,1,13,26.0,3.0,0,0,0,0.0,24_25,5,15/09/2024,1,"[{'tiros_puerta': [10, 28.0]}, {'goles_por_tiro': [5, 0.24]}]"
Anastasios Douvikas,GRE,25,DT,9,celta,valladolid,0,22,1,0,0.8,0.0,4,0,4,4,100.0,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,2,1,1,9,58.0,28.0,1,1,0,100.0,24_25,5,15/09/2024,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [2, 25.0]}]"
Pablo Durán,ESP,23,DT,18,celta,valladolid,1,75,0,1,0.1,0.2,1,1,0,18,77.8,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,0,0,0,15,57.0,21.0,1,1,0,100.0,24_25,5,15/09/2024,1,[]
Williot Swedberg,SWE,20,DT,19,celta,valladolid,0,15,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,0,5,65.0,41.0,1,2,0,100.0,24_25,5,15/09/2024,1,"[{'asistencias_90': [6, 0.33]}]"
Iago Aspas,ESP,37,DT,10,celta,valladolid,1,90,0,1,0.1,0.4,3,2,1,42,66.7,0,0,0.0,0.0,0.0,10,1,1,0,0,1,0,1,0,1,1,0,43,217.0,111.0,3,0,0,0.0,24_25,5,15/09/2024,1,"[{'goles_90': [10, 0.52]}, {'penaltis_marcados': [3, 5.0]}, {'rojas': [8, 1.0]}]"
Hugo Álvarez,ESP,21,MC,30,celta,valladolid,1,90,1,0,0.2,0.2,2,0,2,58,93.1,1,0,0.0,0.0,0.0,13,0,1,0,1,0,0,0,2,8,4,4,49,322.0,194.0,5,0,0,0.0,24_25,5,15/09/2024,1,[]
Fran Beltrán,ESP,25,MC,8,celta,valladolid,1,90,0,0,0.0,0.0,0,0,0,44,88.6,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,1,1,0,1,34,165.0,37.0,1,1,0,100.0,24_25,5,15/09/2024,1,[]
Hugo Sotelo,ESP,20,MC,33,celta,valladolid,1,68,0,0,0.0,0.1,0,0,0,53,83.0,1,0,0.0,0.0,0.0,4,2,1,0,1,1,0,1,0,0,0,0,42,163.0,56.0,0,0,1,0.0,24_25,5,15/09/2024,1,[]
Damián Rodríguez,ESP,21,MC,25,celta,valladolid,0,22,0,0,0.0,0.0,0,0,0,20,90.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,17,63.0,18.0,0,0,0,0.0,24_25,5,15/09/2024,1,[]
Óscar Mingueza,ESP,25,MC,3,celta,valladolid,1,90,0,0,0.0,0.0,0,0,0,59,76.3,0,0,0.0,0.0,0.0,1,2,4,0,2,2,0,2,0,1,0,1,36,143.0,67.0,1,1,0,100.0,24_25,5,15/09/2024,1,"[{'pases_ultimo_tercio': [9, 176.0]}, {'rojas': [8, 1.0]}]"
Jailson Siqueira,BRA,29,DF,16,celta,valladolid,1,74,0,0,0.0,0.0,1,0,1,52,98.1,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,1,0,1,45,175.0,46.0,0,2,1,66.7,24_25,5,15/09/2024,1,[]
Marcos Alonso,ESP,33,DF,20,celta,valladolid,0,16,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,17.0,10.0,0,0,0,0.0,24_25,5,15/09/2024,1,"[{'penaltis_marcados': [10, 3.0]}, {'pases_ultimo_tercio': [5, 226.0]}, {'rojas': [2, 2.0]}]"
Carl Starfelt,SWE,29,DF,2,celta,valladolid,1,90,0,0,0.0,0.0,0,0,0,62,95.2,0,0,0.0,0.0,0.0,5,1,0,0,0,2,2,0,4,0,0,0,53,269.0,123.0,0,2,2,50.0,24_25,5,15/09/2024,1,"[{'pases_completados_pct': [4, 93.7]}]"
Javi Rodríguez,ESP,21,DF,32,celta,valladolid,1,88,0,0,0.0,0.0,0,0,0,61,82.0,1,0,0.0,0.0,0.0,1,2,4,0,2,0,0,0,2,1,1,0,50,255.0,155.0,2,1,1,50.0,24_25,5,15/09/2024,1,"[{'pases_completados_pct': [7, 91.7]}]"
Joseph Aidoo,GHA,28,DF,15,celta,valladolid,0,2,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,7,9.0,8.0,0,0,0,0.0,24_25,5,15/09/2024,1,[]
