player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Mikel Oyarzabal,DT,real sociedad,valencia,1,60,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,4,2,1,0,0,0,0,0,1,0,0,0,5,11.0,9.0,0,0,2,0.0,24_25,8,1
Orri Steinn Óskarsson,DT,real sociedad,valencia,0,30,2,0,1.8,0.0,3,0,3,4,75.0,0,0,0.0,0.0,0.0,14,0,0,0,0,3,0,3,0,0,0,0,4,14.0,0.0,0,1,5,16.7,24_25,8,1
Ander Barrenetxea,MC,real sociedad,valencia,1,59,0,0,0.1,0.0,1,1,0,30,66.7,0,0,0.0,0.0,0.0,5,0,0,0,0,2,0,2,1,1,1,0,25,124.0,37.0,2,0,0,0.0,24_25,8,1
Beñat Turrientes,MC,real sociedad,valencia,0,31,0,0,0.3,0.0,1,1,0,20,85.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,0,1,17,103.0,63.0,3,1,0,100.0,24_25,8,1
Sergio Gómez,MC,real sociedad,valencia,1,90,0,2,0.0,2.1,0,0,0,68,82.4,0,0,0.0,0.0,0.0,19,1,2,0,1,2,0,2,0,2,1,1,41,225.0,129.0,4,1,0,100.0,24_25,8,1
Luka Sučić,MC,real sociedad,valencia,1,74,0,0,0.0,0.1,0,0,0,29,86.2,0,0,0.0,0.0,0.0,5,1,0,0,0,1,1,0,0,1,0,1,23,114.0,52.0,0,2,0,100.0,24_25,8,1
Brais Méndez,MC,real sociedad,valencia,0,16,0,1,0.0,0.6,0,0,0,10,100.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,8,28.0,24.0,1,0,0,0.0,24_25,8,1
Takefusa Kubo,MC,real sociedad,valencia,1,84,1,0,0.8,0.1,3,2,1,33,81.8,0,0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,5,3,2,34,230.0,149.0,7,0,1,0.0,24_25,8,1
Jon Magunazelaia,MC,real sociedad,valencia,0,6,0,0,0.0,0.0,0,0,0,12,58.3,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,8,16.0,0.0,0,3,0,100.0,24_25,8,1
Martín Zubimendi,MC,real sociedad,valencia,1,90,0,0,0.0,0.0,0,0,0,60,81.7,0,0,0.0,0.0,0.0,6,6,0,0,0,3,0,3,0,2,2,0,38,148.0,83.0,0,1,0,100.0,24_25,8,1
