player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Ante Budimir,DT,osasuna,barcelona,1,76,2,0,1.0,0.0,2,1,1,11,81.8,0,0,0.0,0.0,0.0,17,0,0,0,0,2,0,2,0,1,0,1,13,40.0,15.0,1,3,2,60.0
Raúl,DT,osasuna,barcelona,0,14,0,0,0.1,0.0,1,0,1,1,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,0,0,0,0.0
Bryan Zaragoza,DT,osasuna,barcelona,1,76,1,1,1.0,0.1,1,0,1,19,68.4,1,0,0.0,0.0,0.0,13,3,3,0,1,0,0,0,1,3,1,2,13,149.0,86.0,3,0,0,0.0
Abel Bretones,DT,osasuna,barcelona,0,14,1,0,0.1,0.0,1,0,1,6,50.0,0,0,0.0,0.0,0.0,8,1,1,0,0,2,1,1,2,0,0,0,2,7.0,1.0,0,0,0,0.0
Rubén García,DT,osasuna,barcelona,1,58,0,0,0.0,0.0,1,1,0,22,63.6,0,0,0.0,0.0,0.0,3,2,3,0,2,0,0,0,0,0,0,0,13,53.0,10.0,0,1,2,33.3
Rubén Peña,DT,osasuna,barcelona,0,32,0,0,0.0,0.1,0,0,0,12,41.7,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,3,1,1,9,81.0,63.0,3,0,0,0.0
Aimar Oroz,MC,osasuna,barcelona,1,90,0,0,0.0,0.1,0,0,0,33,75.8,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,1,2,1,1,25,119.0,57.0,0,0,0,0.0
Lucas Torró,MC,osasuna,barcelona,1,90,0,0,0.0,0.0,0,0,0,39,61.5,0,0,0.0,0.0,0.0,3,6,4,0,0,1,0,1,1,0,0,0,17,33.0,14.0,0,6,2,75.0
Pablo Ibáñez,MC,osasuna,barcelona,1,90,0,1,0.1,1.0,2,2,0,22,59.1,1,0,0.0,0.0,0.0,7,1,5,0,4,3,1,2,0,0,0,0,12,53.0,5.0,0,0,0,0.0
Juan Cruz Armada,DF,osasuna,barcelona,1,83,0,0,0.0,0.0,1,1,0,24,62.5,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,5,1,0,1,11,53.0,39.0,2,1,0,100.0
Jorge Herrando,DF,osasuna,barcelona,0,7,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,1,2.0,2.0,0,0,0,0.0
Enzo Boyomo,DF,osasuna,barcelona,1,90,0,0,0.0,0.0,0,0,0,13,69.2,0,0,0.0,0.0,0.0,1,2,1,0,0,1,0,1,3,0,0,0,7,38.0,3.0,0,0,0,0.0
Catena,DF,osasuna,barcelona,1,90,0,0,0.0,0.0,0,0,0,14,50.0,0,0,0.0,0.0,0.0,4,0,2,0,2,1,0,1,10,0,0,0,5,24.0,1.0,0,4,0,100.0
Jesús Areso,DF,osasuna,barcelona,1,83,0,0,0.0,0.0,1,1,0,27,48.1,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,2,2,0,17,137.0,86.0,6,0,1,0.0
Nacho Vidal,DF,osasuna,barcelona,0,7,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
Sergio Herrera,PT,osasuna,barcelona,1,90,0,0,0.0,0.0,0,0,0,23,34.8,0,0,2.0,66.7,1.4,6,0,0,0,0,0,0,0,3,0,0,0,11,103.0,53.0,0,0,0,0.0
Robert Lewandowski,DT,barcelona,osasuna,1,69,0,0,0.4,0.0,2,1,1,12,75.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,1,1,0,11,45.0,18.0,1,0,2,0.0
Marc Casado,MC,barcelona,osasuna,0,21,0,0,0.0,0.0,1,1,0,24,91.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,17,84.0,37.0,0,0,0,0.0
Pau Victor,DT,barcelona,osasuna,1,58,1,0,0.0,0.0,1,0,1,31,80.6,0,0,0.0,0.0,0.0,10,0,0,0,0,1,0,1,2,4,3,1,19,72.0,27.0,0,0,0,0.0
Lamine Yamal,DT,barcelona,osasuna,0,32,1,0,0.1,0.2,3,2,1,21,76.2,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,0,5,1,3,25,164.0,65.0,1,0,0,0.0
Ferrán Torres,DT,barcelona,osasuna,1,90,0,1,0.2,0.0,2,1,1,32,81.3,0,0,0.0,0.0,0.0,5,2,2,0,1,1,0,1,1,2,1,1,21,77.0,36.0,1,0,1,0.0
Pedri,MC,barcelona,osasuna,1,90,0,0,0.0,0.0,0,0,0,76,84.2,1,0,0.0,0.0,0.0,3,2,1,0,1,2,0,2,1,3,2,1,55,263.0,85.0,2,0,1,0.0
Eric García,MC,barcelona,osasuna,1,90,0,0,0.0,0.0,1,0,1,77,90.9,0,0,0.0,0.0,0.0,-1,1,0,0,0,3,0,3,1,1,0,0,42,287.0,214.0,4,1,4,20.0
Pablo Torre,MC,barcelona,osasuna,1,58,0,0,0.0,0.0,0,0,0,41,80.5,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,24,101.0,58.0,1,0,0,0.0
Raphinha,DT,barcelona,osasuna,0,32,0,0,0.0,0.2,1,1,0,28,67.9,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,2,2,1,1,19,120.0,67.0,3,0,0,0.0
Gerard Martín,DF,barcelona,osasuna,1,69,0,1,0.0,0.0,0,0,0,49,77.6,0,0,0.0,0.0,0.0,4,0,2,0,2,0,0,0,2,0,0,0,17,44.0,19.0,1,2,1,66.7
Alejandro Balde,DF,barcelona,osasuna,0,21,0,0,0.0,0.0,0,0,0,15,93.3,0,0,0.0,0.0,0.0,-1,1,1,0,0,0,0,0,0,2,1,1,11,70.0,32.0,1,0,0,0.0
Pau Cubarsí,DF,barcelona,osasuna,1,90,0,0,0.0,0.0,0,0,0,98,90.8,0,0,0.0,0.0,0.0,-2,1,0,0,0,0,0,0,1,0,0,0,54,376.0,316.0,6,3,3,50.0
Sergi Dominguez,DF,barcelona,osasuna,1,84,0,0,0.0,0.0,0,0,0,90,95.6,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,4,0,0,0,62,294.0,137.0,0,1,1,50.0
