player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Alexander Sørloth,DT,atletico madrid,real madrid,1,55,0,0,0.1,0.1,2,1,1,11,90.9,0,0,0.0,0.0,0.0,3,0,0,0,0,1,1,0,0,0,0,0,17,99.0,36.0,2,0,2,0.0,24_25,8,1
Samuel Lino,MC,atletico madrid,real madrid,0,35,0,0,0.2,0.0,2,1,1,23,87.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,0,1,21,173.0,117.0,3,0,1,0.0,24_25,8,1
Antoine Griezmann,DT,atletico madrid,real madrid,1,90,0,0,0.1,0.1,2,2,0,60,76.7,0,0,0.0,0.0,0.0,4,1,0,0,0,1,0,1,1,2,1,1,46,246.0,146.0,3,0,1,0.0,24_25,8,1
Julián Álvarez,MC,atletico madrid,real madrid,1,74,0,0,0.1,0.1,2,1,1,30,83.3,1,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,5,3,2,20,164.0,96.0,3,1,1,50.0,24_25,8,1
Rodrigo Riquelme,MC,atletico madrid,real madrid,0,16,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,6,16.0,7.0,0,0,0,0.0,24_25,8,1
Conor Gallagher,MC,atletico madrid,real madrid,1,69,0,0,0.0,0.0,1,1,0,47,93.6,1,0,0.0,0.0,0.0,3,0,1,0,1,1,1,0,1,1,0,0,43,185.0,80.0,1,2,1,66.7,24_25,8,1
Ángel Correa,MC,atletico madrid,real madrid,0,21,1,0,0.8,0.0,2,1,1,7,28.6,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,1,1,0,8,24.0,8.0,1,0,0,0.0,24_25,8,1
Marcos Llorente,DF,atletico madrid,real madrid,1,89,0,0,0.0,0.1,1,1,0,59,88.1,0,1,0.0,0.0,0.0,1,3,0,0,0,2,1,1,1,1,0,1,44,197.0,70.0,1,1,1,50.0,24_25,8,1
Rodrigo De Paul,MC,atletico madrid,real madrid,1,90,0,0,0.0,0.1,0,0,0,69,81.2,0,0,0.0,0.0,0.0,4,2,2,0,0,1,0,1,0,1,0,1,54,331.0,177.0,5,0,1,0.0,24_25,8,1
Reinildo Mandava,DF,atletico madrid,real madrid,1,74,0,0,0.0,0.0,0,0,0,62,85.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,3,0,2,48,176.0,81.0,0,1,1,50.0,24_25,8,1
Javi Galán,DF,atletico madrid,real madrid,0,16,0,1,0.0,0.7,0,0,0,9,77.8,0,0,0.0,0.0,0.0,9,1,2,0,1,0,0,0,0,0,0,0,5,26.0,9.0,0,1,1,50.0,24_25,8,1
José María Giménez,DF,atletico madrid,real madrid,1,90,0,0,0.0,0.0,0,0,0,62,93.5,0,0,0.0,0.0,0.0,5,4,4,0,0,1,1,0,5,0,0,0,44,159.0,52.0,0,0,0,0.0,24_25,8,1
