player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Christantus Uche,DT,6,getafe,osasuna,1,73,0,0,0.0,0.0,2,2,0,15,66.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,2,2,1,1,10,69.0,20.0,0,1,4,20.0,24_25,9,05/10/2024,1,"[{'rojas': [2, 2.0]}, {'faltas_cometidas': [9, 55.0]}, {'faltas_recibidas': [3, 68.0]}]"
Álvaro Rodríguez,DT,18,getafe,osasuna,0,17,0,0,0.0,0.0,1,1,0,8,37.5,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,6,16.0,2.0,0,3,3,50.0,24_25,9,05/10/2024,1,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [3, 0.48]}]"
Bertuğ Yıldırım,DT,10,getafe,osasuna,1,45,1,0,0.4,0.0,1,0,1,4,25.0,1,0,0.0,0.0,0.0,5,0,0,0,0,1,0,1,0,0,0,0,5,3.0,1.0,0,1,2,33.3,24_25,9,05/10/2024,1,[]
Borja Mayoral,DT,9,getafe,osasuna,0,45,0,0,0.0,0.0,0,0,0,13,53.8,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,9,53.0,11.0,0,1,3,25.0,24_25,9,05/10/2024,1,"[{'goles_por_tiro': [9, 0.21]}]"
Alex Sola,MC,7,getafe,osasuna,1,73,0,1,0.1,0.4,1,0,1,17,70.6,0,0,0.0,0.0,0.0,7,0,2,0,2,1,0,1,1,4,1,3,24,141.0,53.0,3,0,2,0.0,24_25,9,05/10/2024,1,[]
Alberto Risco,MC,26,getafe,osasuna,0,17,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,1,2,0,1,1,0,1,0,0,0,0,3,9.0,5.0,0,0,1,0.0,24_25,9,05/10/2024,1,[]
Luis Milla,MC,5,getafe,osasuna,1,90,0,0,0.0,0.1,1,1,0,27,74.1,0,0,0.0,0.0,0.0,4,3,2,0,0,2,0,2,2,1,0,1,14,87.0,63.0,2,1,1,50.0,24_25,9,05/10/2024,1,"[{'pases_clave': [3, 70.0]}, {'corners': [3, 113.0]}]"
Mauro Arambarri,MC,8,getafe,osasuna,1,90,0,0,0.1,0.0,1,1,0,26,34.6,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,2,1,0,1,10,76.0,24.0,1,5,4,55.6,24_25,9,05/10/2024,1,"[{'penaltis_marcados': [10, 3.0]}]"
Carles Pérez,MC,17,getafe,osasuna,1,90,0,0,0.1,0.0,2,2,0,9,66.7,0,0,0.0,0.0,0.0,5,2,6,0,4,1,0,1,4,4,2,2,10,139.0,12.0,0,1,1,50.0,24_25,9,05/10/2024,1,[]
Diego Rico,DF,16,getafe,osasuna,1,90,0,0,0.0,0.0,0,0,0,48,56.3,0,0,0.0,0.0,0.0,1,2,3,0,2,1,0,1,2,2,1,1,16,56.0,20.0,0,2,4,33.3,24_25,9,05/10/2024,1,"[{'centros_area': [3, 29.0]}, {'entradas': [9, 81.0]}, {'rojas': [8, 1.0]}]"
Omar Alderete,DF,15,getafe,osasuna,1,90,0,0,0.1,0.0,2,1,1,30,60.0,0,0,0.0,0.0,0.0,6,2,1,0,0,0,0,0,7,0,0,0,10,52.0,22.0,0,5,1,83.3,24_25,9,05/10/2024,1,"[{'despejes': [1, 241.0]}]"
Juan Berrocal,DF,4,getafe,osasuna,1,82,0,0,0.0,0.0,0,0,0,16,50.0,0,0,0.0,0.0,0.0,5,1,1,0,0,0,0,0,11,0,0,0,6,32.0,13.0,0,5,1,83.3,24_25,9,05/10/2024,1,"[{'rojas': [8, 1.0]}]"
Nabil Aberdin,DF,27,getafe,osasuna,0,8,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,9,05/10/2024,1,[]
Djené,DF,2,getafe,osasuna,1,45,0,0,0.0,0.0,0,0,0,14,71.4,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,5,20.0,17.0,0,0,0,0.0,24_25,9,05/10/2024,1,"[{'rojas': [8, 1.0]}]"
Iglesias,DF,21,getafe,osasuna,0,45,0,0,0.0,0.0,0,0,0,20,35.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,2,1,0,1,3,12.0,2.0,0,1,0,100.0,24_25,9,05/10/2024,1,"[{'entradas': [9, 81.0]}, {'intercepciones': [4, 50.0]}]"
David Soria,PT,13,getafe,osasuna,1,90,0,0,0.0,0.0,0,0,0,19,42.1,0,0,1.0,50.0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,4,57.0,51.0,0,0,0,0.0,24_25,9,05/10/2024,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [6, 9.0]}, {'paradas': [8, 86.0]}, {'save_pct': [6, 75.4]}]"
Ante Budimir,DT,17,osasuna,getafe,1,90,1,0,0.1,0.1,3,2,1,18,50.0,0,0,0.0,0.0,0.0,8,1,1,0,0,1,0,1,2,3,1,2,16,104.0,8.0,1,5,9,35.7,24_25,9,05/10/2024,0,"[{'goles': [3, 21.0]}, {'goles_90': [7, 0.64]}, {'penaltis_marcados': [1, 8.0]}, {'tiros_puerta': [9, 29.0]}]"
Bryan Zaragoza,DT,19,osasuna,getafe,1,78,0,1,0.0,0.0,0,0,0,16,37.5,0,0,0.0,0.0,0.0,8,1,1,0,1,0,0,0,2,4,3,1,12,94.0,59.0,3,0,0,0.0,24_25,9,05/10/2024,0,"[{'regates_exitosos': [9, 57.0]}]"
Rubén Peña,MC,15,osasuna,getafe,0,12,0,0,0.1,0.0,1,1,0,2,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,15.0,4.0,1,2,1,66.7,24_25,9,05/10/2024,0,[]
Rubén García,DT,14,osasuna,getafe,1,57,0,0,0.0,0.0,0,0,0,29,65.5,0,0,0.0,0.0,0.0,3,1,2,0,1,1,0,1,1,0,0,0,14,26.0,13.0,0,1,0,100.0,24_25,9,05/10/2024,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Raúl,DT,9,osasuna,getafe,0,33,0,0,0.0,0.0,0,0,0,3,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0,1,0,100.0,24_25,9,05/10/2024,0,"[{'apariciones_suplente': [2, 27.0]}]"
Aimar Oroz,MC,10,osasuna,getafe,1,78,0,0,0.0,0.0,0,0,0,28,85.7,0,0,0.0,0.0,0.0,3,1,3,0,2,1,0,1,0,0,0,0,19,74.0,29.0,1,0,2,0.0,24_25,9,05/10/2024,0,"[{'faltas_recibidas': [5, 64.0]}]"
Moi Gómez,DT,16,osasuna,getafe,0,12,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,4,17.0,4.0,1,0,0,0.0,24_25,9,05/10/2024,0,"[{'apariciones_suplente': [10, 20.0]}]"
Lucas Torró,MC,6,osasuna,getafe,1,58,0,0,0.0,0.0,0,0,0,34,70.6,1,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,18,49.0,22.0,0,2,1,66.7,24_25,9,05/10/2024,0,"[{'faltas_cometidas': [1, 75.0]}]"
Jon Moncayola,MC,7,osasuna,getafe,0,32,0,0,0.0,0.0,0,0,0,13,46.2,1,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,11,39.0,9.0,0,1,1,50.0,24_25,9,05/10/2024,0,"[{'rojas': [10, 1.0]}]"
Pablo Ibáñez,MC,8,osasuna,getafe,1,90,0,0,0.1,0.0,1,1,0,32,50.0,0,0,0.0,0.0,0.0,5,6,3,0,1,1,0,1,1,2,1,1,19,143.0,45.0,0,6,7,46.2,24_25,9,05/10/2024,0,"[{'apariciones_suplente': [10, 21.0]}]"
Abel Bretones,DF,23,osasuna,getafe,1,90,0,0,0.0,0.1,1,0,1,40,65.0,0,0,0.0,0.0,0.0,4,4,4,0,2,0,0,0,4,2,0,2,17,39.0,17.0,0,2,1,66.7,24_25,9,05/10/2024,0,"[{'rojas': [2, 1.0]}]"
Enzo Boyomo,DF,22,osasuna,getafe,1,90,0,0,0.0,0.0,0,0,0,40,92.5,1,0,0.0,0.0,0.0,5,4,0,0,0,2,2,0,8,1,1,0,19,83.0,45.0,0,3,3,50.0,24_25,9,05/10/2024,0,"[{'minutos': [6, 3257.0]}]"
Catena,DF,24,osasuna,getafe,1,90,0,0,0.0,0.0,0,0,0,44,72.7,1,0,0.0,0.0,0.0,4,3,3,0,1,1,1,0,9,0,0,0,28,97.0,58.0,0,3,1,75.0,24_25,9,05/10/2024,0,"[{'despejes': [5, 221.0]}, {'amarillas': [6, 11.0]}]"
