player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Oliver McBurnie,DT,16,las palmas,celta,1,66,0,0,0.0,0.0,1,1,0,16,81.3,0,0,0.0,0.0,0.0,3,0,2,0,2,0,0,0,0,0,0,0,12,23.0,11.0,0,5,1,83.3,24_25,9,05/10/2024,1,[]
Marc Cardona,DT,9,las palmas,celta,0,24,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,1,3.0,0.0,0,0,3,0.0,24_25,9,05/10/2024,1,[]
Alberto Moleiro,DT,10,las palmas,celta,1,90,0,0,0.3,0.1,7,6,1,50,84.0,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,1,5,4,1,47,338.0,151.0,4,0,0,0.0,24_25,9,05/10/2024,1,"[{'regates_exitosos': [8, 64.0]}]"
Adnan Januzaj,DT,24,las palmas,celta,1,90,0,0,0.2,0.2,3,3,0,54,63.0,0,0,0.0,0.0,0.0,6,1,2,0,1,0,0,0,0,4,2,2,37,252.0,141.0,6,1,1,50.0,24_25,9,05/10/2024,1,[]
Fábio Silva,MC,37,las palmas,celta,1,66,0,0,0.2,0.0,3,2,1,16,50.0,1,0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,0,2,1,1,14,122.0,83.0,3,0,1,0.0,24_25,9,05/10/2024,1,[]
Jaime Mata,DT,17,las palmas,celta,0,24,0,0,0.1,0.0,1,1,0,0,0.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,26.0,26.0,1,0,0,0.0,24_25,9,05/10/2024,1,"[{'apariciones_suplente': [3, 26.0]}]"
Dario Essugo,MC,29,las palmas,celta,1,90,0,0,0.1,0.0,3,2,1,79,94.9,0,0,0.0,0.0,0.0,9,1,1,0,1,1,1,0,1,4,4,0,56,322.0,228.0,3,5,0,100.0,24_25,9,05/10/2024,1,"[{'amarillas': [6, 11.0]}, {'rojas': [2, 2.0]}]"
Javier Muñoz,MC,5,las palmas,celta,1,57,0,0,0.0,0.0,1,0,1,27,85.2,0,0,0.0,0.0,0.0,3,1,2,0,1,2,0,2,0,2,2,0,15,79.0,16.0,1,0,0,0.0,24_25,9,05/10/2024,1,[]
Manuel Fuster,MC,14,las palmas,celta,0,33,0,0,0.1,0.3,1,1,0,41,75.6,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,25,167.0,96.0,3,0,0,0.0,24_25,9,05/10/2024,1,"[{'apariciones_suplente': [10, 20.0]}]"
Álex Muñoz,DF,23,las palmas,celta,1,57,0,0,0.0,0.0,0,0,0,29,72.4,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,1,2,1,1,13,51.0,9.0,0,1,2,33.3,24_25,9,05/10/2024,1,[]
