player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Juanmi Latasa,ESP,23,DT,14,valladolid,rayo,1,45,0,0,0.0,0.0,0,0,0,9,66.7,1,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,12,46.0,0.0,0,2,0,100.0,24_25,9,05/10/2024,1,"[{'rojas': [8, 1.0]}]"
Marcos André,BRA,27,DT,9,valladolid,rayo,0,45,0,0,0.2,0.0,1,1,0,10,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,2,0,2,1,0,0,0,8,84.0,43.0,1,0,3,0.0,24_25,9,05/10/2024,1,[]
Darwin Machís,VEN,31,DT,18,valladolid,rayo,1,45,0,0,0.0,0.0,0,0,0,19,63.2,0,0,0.0,0.0,0.0,2,0,2,0,2,0,0,0,1,0,0,0,14,102.0,63.0,2,0,0,0.0,24_25,9,05/10/2024,1,"[{'rojas': [10, 1.0]}]"
Raúl Moro,ESP,21,DT,11,valladolid,rayo,0,45,0,1,0.0,0.7,0,0,0,23,65.2,0,0,0.0,0.0,0.0,11,2,1,0,0,0,0,0,0,3,2,1,15,165.0,99.0,3,0,0,0.0,24_25,9,05/10/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Amath,SEN,28,DT,19,valladolid,rayo,1,67,0,0,0.1,0.0,2,1,1,8,62.5,0,0,0.0,0.0,0.0,5,1,1,0,0,2,1,1,1,2,2,0,15,95.0,38.0,1,0,1,0.0,24_25,9,05/10/2024,1,[]
Anuar,MAR,29,DT,23,valladolid,rayo,0,23,0,0,0.0,0.1,1,1,0,8,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,9,62.0,33.0,1,0,0,0.0,24_25,9,05/10/2024,1,[]
Selim Amallah,MAR,27,MC,21,valladolid,rayo,1,82,1,0,1.2,0.0,3,1,2,16,87.5,0,0,0.0,0.0,0.0,9,3,2,0,2,0,0,0,1,6,2,3,22,103.0,53.0,1,1,0,100.0,24_25,9,05/10/2024,1,"[{'rojas': [10, 1.0]}]"
Iván Sánchez,ESP,32,MC,10,valladolid,rayo,0,8,0,0,0.1,0.0,1,1,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,7,55.0,37.0,0,0,2,0.0,24_25,9,05/10/2024,1,"[{'apariciones_suplente': [6, 21.0]}]"
Eray Cömert,SUI,26,MC,15,valladolid,rayo,1,45,0,0,0.0,0.0,1,1,0,19,89.5,1,0,0.0,0.0,0.0,1,1,0,0,0,3,2,1,0,0,0,0,12,88.0,25.0,1,1,0,100.0,24_25,9,05/10/2024,1,[]
Stanko Jurić,CRO,28,MC,20,valladolid,rayo,0,45,0,0,0.0,0.0,0,0,0,14,85.7,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,3,0,0,0,8,50.0,16.0,0,0,1,0.0,24_25,9,05/10/2024,1,"[{'rojas': [8, 1.0]}]"
Mario Martín,ESP,20,MC,12,valladolid,rayo,1,90,0,0,0.1,0.0,1,0,1,28,82.1,0,0,0.0,0.0,0.0,4,2,4,0,3,1,0,1,1,4,2,1,21,128.0,71.0,1,0,1,0.0,24_25,9,05/10/2024,1,"[{'rojas': [1, 3.0]}]"
Lucas Oliveira Rosa,BRA,24,DF,22,valladolid,rayo,1,90,0,0,0.0,0.5,1,0,1,30,56.7,1,0,0.0,0.0,0.0,1,2,3,0,1,1,1,0,3,1,1,0,21,157.0,85.0,1,0,1,0.0,24_25,9,05/10/2024,1,[]
David Torres,ESP,21,DF,3,valladolid,rayo,1,90,0,0,0.0,0.0,0,0,0,59,89.8,1,0,0.0,0.0,0.0,-1,1,1,0,0,1,1,0,1,0,0,0,38,291.0,214.0,2,0,0,0.0,24_25,9,05/10/2024,1,[]
Abdulai Juma Bah,SLE,18,DF,35,valladolid,rayo,1,90,0,0,0.2,0.0,2,2,0,26,73.1,0,0,0.0,0.0,0.0,0,1,1,0,1,2,1,1,5,0,0,0,18,76.0,33.0,0,4,1,80.0,24_25,9,05/10/2024,1,[]
Luis Pérez,ESP,29,DF,2,valladolid,rayo,1,90,0,0,0.0,0.4,0,0,0,43,69.8,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,0,0,0,25,194.0,123.0,7,0,1,0.0,24_25,9,05/10/2024,1,"[{'centros_area': [3, 29.0]}]"
Karl Jakob Hein,EST,22,PT,13,valladolid,rayo,1,90,0,0,0.0,0.0,0,0,0,31,80.6,0,0,2.0,33.3,1.3,2,0,0,0,0,0,0,0,1,0,0,0,19,116.0,95.0,0,0,0,0.0,24_25,9,05/10/2024,1,"[{'paradas': [4, 96.0]}]"
Sergio Camello,ESP,23,DT,14,rayo,valladolid,1,76,0,0,0.0,0.0,1,1,0,16,87.5,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,1,0,1,14,60.0,31.0,1,0,1,0.0,24_25,9,05/10/2024,0,"[{'rojas': [2, 1.0]}]"
Sergi Guardiola,ESP,33,DT,12,rayo,valladolid,0,14,0,0,0.1,0.0,1,1,0,1,100.0,0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0,0,0,0.0,24_25,9,05/10/2024,0,"[{'apariciones_suplente': [10, 21.0]}]"
Isaac Palazón Camacho,ESP,29,DT,7,rayo,valladolid,1,76,0,1,0.1,0.3,4,4,0,40,75.0,0,0,0.0,0.0,0.0,9,0,2,0,2,1,0,1,0,2,1,1,30,154.0,98.0,3,0,1,0.0,24_25,9,05/10/2024,0,"[{'corners': [7, 92.0]}]"
James Rodríguez,COL,33,MC,10,rayo,valladolid,0,14,0,0,0.2,0.0,1,1,0,13,76.9,0,0,0.0,0.0,0.0,4,0,1,0,1,0,0,0,0,3,3,0,9,31.0,11.0,0,1,0,100.0,24_25,9,05/10/2024,0,[]
Adri Embarba,ESP,32,MC,21,rayo,valladolid,1,62,0,0,0.0,0.0,1,1,0,28,60.7,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,2,0,2,29,121.0,57.0,3,0,0,0.0,24_25,9,05/10/2024,0,"[{'corners': [6, 94.0]}]"
Gerard Gumbau,ESP,29,MC,15,rayo,valladolid,0,28,0,0,0.0,0.0,0,0,0,22,86.4,0,0,0.0,0.0,0.0,3,2,2,0,0,1,1,0,1,0,0,0,14,43.0,23.0,0,2,0,100.0,24_25,9,05/10/2024,0,"[{'amarillas': [5, 12.0]}, {'faltas_cometidas': [9, 62.0]}]"
Unai López,ESP,28,MC,17,rayo,valladolid,1,82,0,0,0.0,0.0,2,1,1,67,91.0,1,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,0,2,2,0,56,179.0,63.0,0,0,0,0.0,24_25,9,05/10/2024,0,"[{'rojas': [8, 1.0]}]"
Pathé Ciss,SEN,30,MC,6,rayo,valladolid,0,8,0,0,0.0,0.1,0,0,0,6,83.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,25.0,10.0,0,0,0,0.0,24_25,9,05/10/2024,0,"[{'amarillas': [3, 12.0]}]"
Óscar Valentín,ESP,30,MC,23,rayo,valladolid,1,62,0,0,0.0,0.0,0,0,0,39,82.1,0,0,0.0,0.0,0.0,4,2,2,0,0,2,0,2,1,0,0,0,27,71.0,29.0,0,1,2,33.3,24_25,9,05/10/2024,0,"[{'faltas_cometidas': [5, 57.0]}]"
Álvaro García,ESP,31,DT,18,rayo,valladolid,0,28,0,0,0.0,0.4,0,0,0,15,66.7,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,2,1,1,0,10,66.0,35.0,1,0,0,0.0,24_25,9,05/10/2024,0,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Jorge de Frutos,ESP,27,MC,19,rayo,valladolid,1,90,2,0,0.8,0.0,3,1,2,20,75.0,0,0,0.0,0.0,0.0,18,1,1,0,1,0,0,0,1,5,2,1,17,183.0,125.0,5,0,0,0.0,24_25,9,05/10/2024,0,"[{'rojas': [8, 1.0]}]"
Iván Balliu,ALB,32,DF,20,rayo,valladolid,1,90,0,0,0.0,0.0,0,0,0,51,88.2,1,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,3,1,0,0,34,88.0,47.0,1,1,1,50.0,24_25,9,05/10/2024,0,[]
Abdul Mumin,GHA,26,DF,16,rayo,valladolid,1,90,0,0,0.1,0.0,1,1,0,59,88.1,0,0,0.0,0.0,0.0,4,0,1,0,1,1,1,0,5,0,0,0,42,160.0,79.0,0,2,2,50.0,24_25,9,05/10/2024,0,"[{'rojas': [8, 1.0]}]"
Florian Lejeune,FRA,33,DF,24,rayo,valladolid,1,90,0,0,0.0,0.0,1,1,0,66,87.9,0,0,0.0,0.0,0.0,6,1,1,0,1,0,0,0,8,0,0,0,54,215.0,114.0,1,4,1,80.0,24_25,9,05/10/2024,0,"[{'despejes': [9, 181.0]}, {'minutos': [4, 3325.0]}]"
Andrei Ratiu,ROU,26,DF,2,rayo,valladolid,1,90,0,0,0.2,0.0,2,2,0,45,73.3,0,0,0.0,0.0,0.0,3,0,0,0,0,2,1,1,2,4,1,3,37,222.0,86.0,3,0,0,0.0,24_25,9,05/10/2024,0,"[{'regates_exitosos': [5, 76.0]}]"
Augusto Batalla,ARG,28,PT,13,rayo,valladolid,1,90,0,0,0.0,0.0,0,0,0,29,69.0,0,0,1.0,80.0,1.2,7,0,0,0,0,0,0,0,0,1,1,0,22,98.0,76.0,0,0,0,0.0,24_25,9,05/10/2024,0,"[{'porterias_cero': [7, 8.0]}, {'paradas': [5, 93.0]}, {'save_pct': [8, 75.2]}]"
