player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Toni Martínez,ESP,27,DT,11,alaves,barcelona,1,56,0,0,0.1,0.0,2,2,0,8,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,11,41.0,13.0,1,2,0,100.0,24_25,9,06/10/2024,1,[]
Kiké,ESP,34,DT,17,alaves,barcelona,0,34,0,0,0.2,0.0,1,0,1,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,2,7.0,3.0,0,3,1,75.0,24_25,9,06/10/2024,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Abde Rebbach,ALG,26,MC,21,alaves,barcelona,1,90,0,0,0.0,0.1,0,0,0,23,56.5,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,1,4,0,3,23,126.0,60.0,3,0,1,0.0,24_25,9,06/10/2024,1,[]
Carlos Vicente,ESP,25,DF,7,alaves,barcelona,1,90,0,0,0.1,0.1,1,1,0,34,67.6,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,2,5,0,4,18,114.0,38.0,3,1,0,100.0,24_25,9,06/10/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Stoichkov,ESP,30,MC,19,alaves,barcelona,1,56,0,0,0.1,0.1,1,1,0,20,65.0,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,2,2,0,15,78.0,40.0,1,0,0,0.0,24_25,9,06/10/2024,1,[]
Tomás Conechny,ARG,26,MC,10,alaves,barcelona,0,34,0,0,0.0,0.0,1,0,1,8,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,2,1,1,0,0,0,0,11,62.0,35.0,2,0,0,0.0,24_25,9,06/10/2024,1,[]
Antonio Blanco,ESP,24,MC,8,alaves,barcelona,1,77,0,0,0.1,0.0,2,2,0,24,58.3,0,0,0.0,0.0,0.0,2,3,4,0,2,1,1,0,0,0,0,0,18,50.0,13.0,0,1,1,50.0,24_25,9,06/10/2024,1,"[{'amarillas': [6, 11.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [3, 66.0]}]"
Joan Jordán,ESP,30,MC,24,alaves,barcelona,0,13,0,0,0.0,0.0,0,0,0,8,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,16.0,7.0,0,0,0,0.0,24_25,9,06/10/2024,1,"[{'penaltis_marcados': [10, 3.0]}]"
Ander Guevara,ESP,27,MC,6,alaves,barcelona,1,90,0,0,0.1,0.2,1,1,0,26,73.1,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,3,0,0,0,24,62.0,18.0,0,1,1,50.0,24_25,9,06/10/2024,1,[]
Manu Sánchez,ESP,24,DF,3,alaves,barcelona,1,90,0,0,0.0,0.0,1,1,0,43,69.8,0,0,0.0,0.0,0.0,-2,1,3,0,2,2,2,0,2,1,0,1,23,183.0,114.0,3,1,1,50.0,24_25,9,06/10/2024,1,"[{'entradas': [7, 83.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [6, 56.0]}]"
Santiago Mouriño,URU,22,DF,12,alaves,barcelona,1,90,0,0,0.0,0.0,0,0,0,23,69.6,1,0,0.0,0.0,0.0,0,2,2,0,1,0,0,0,1,2,2,0,12,79.0,51.0,1,0,0,0.0,24_25,9,06/10/2024,1,"[{'entradas': [7, 43.0]}, {'amarillas': [4, 6.0]}, {'rojas': [2, 1.0]}]"
Abdel Abqar,MAR,25,DF,5,alaves,barcelona,1,66,0,0,0.1,0.1,1,1,0,10,70.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,7,39.0,27.0,0,1,2,33.3,24_25,9,06/10/2024,1,"[{'amarillas': [2, 13.0]}]"
Pica,ESP,22,DF,36,alaves,barcelona,0,24,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,2,0,0,0,3,26.0,23.0,0,0,0,0.0,24_25,9,06/10/2024,1,[]
Nahuel Tenaglia,ARG,28,DF,14,alaves,barcelona,1,45,0,0,0.0,0.1,0,0,0,15,60.0,1,0,0.0,0.0,0.0,-2,2,2,0,0,0,0,0,2,0,0,0,8,154.0,45.0,1,0,0,0.0,24_25,9,06/10/2024,1,"[{'entradas': [3, 96.0]}, {'intercepciones': [7, 47.0]}, {'amarillas': [6, 11.0]}]"
Moussa Diarra,MLI,23,DF,22,alaves,barcelona,0,45,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,2,1,2,0,2,1,0,1,0,0,0,0,9,28.0,7.0,0,0,0,0.0,24_25,9,06/10/2024,1,[]
Antonio Sivera,ESP,28,PT,1,alaves,barcelona,1,90,0,0,0.0,0.0,0,0,0,24,83.3,0,0,3.0,66.7,3.9,7,0,0,0,0,0,0,0,2,0,0,0,17,82.0,64.0,0,0,0,0.0,24_25,9,06/10/2024,1,"[{'rojas': [8, 1.0]}, {'porterias_cero': [7, 8.0]}, {'save_pct': [10, 73.2]}]"
Robert Lewandowski,POL,36,DT,9,barcelona,alaves,1,90,3,0,1.7,0.0,6,1,5,26,65.4,0,0,0.0,0.0,0.0,20,2,0,0,0,1,0,1,1,2,1,1,27,115.0,51.0,1,2,1,66.7,24_25,9,06/10/2024,0,"[{'goles': [2, 27.0]}, {'goles_90': [3, 0.91]}, {'penaltis_marcados': [10, 3.0]}, {'tiros_puerta': [3, 45.0]}, {'goles_por_tiro': [7, 0.22]}]"
Ferrán Torres,ESP,24,DT,7,barcelona,alaves,1,5,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,9,06/10/2024,0,"[{'goles_por_tiro': [9, 0.21]}, {'rojas': [8, 1.0]}]"
Eric García,ESP,23,MC,24,barcelona,alaves,0,85,0,1,0.0,0.4,1,1,0,55,92.7,0,0,0.0,0.0,0.0,12,1,0,0,0,2,1,1,2,0,0,0,35,143.0,73.0,0,1,2,33.3,24_25,9,06/10/2024,0,"[{'pases_completados_pct': [7, 92.1]}]"
Lamine Yamal,ESP,17,DT,19,barcelona,alaves,1,66,0,0,0.0,0.0,1,1,0,17,82.4,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,7,4,3,21,133.0,59.0,2,0,0,0.0,24_25,9,06/10/2024,0,"[{'asistencias': [1, 13.0]}, {'asistencias_90': [2, 0.41]}, {'tiros_puerta': [2, 46.0]}, {'pases_clave': [6, 64.0]}, {'regates_exitosos': [1, 161.0]}]"
Ansu Fati,ESP,21,DT,10,barcelona,alaves,0,24,0,0,0.1,0.0,2,0,2,13,76.9,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,12,90.0,13.0,1,0,1,0.0,24_25,9,06/10/2024,0,[]
Raphinha,BRA,27,DT,11,barcelona,alaves,1,90,0,2,0.6,1.4,3,2,1,34,79.4,0,0,0.0,0.0,0.0,16,3,2,0,0,0,0,0,0,2,1,1,20,170.0,135.0,5,0,0,0.0,24_25,9,06/10/2024,0,"[{'goles': [6, 18.0]}, {'goles_90': [9, 0.57]}, {'asistencias': [2, 9.0]}, {'tiros_puerta': [4, 40.0]}, {'pases_clave': [2, 91.0]}, {'corners': [1, 140.0]}]"
Pedri,ESP,21,MC,8,barcelona,alaves,1,90,0,0,0.3,0.1,2,1,1,46,80.4,0,0,0.0,0.0,0.0,7,4,3,0,2,1,1,0,2,1,1,0,37,189.0,85.0,1,0,1,0.0,24_25,9,06/10/2024,0,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
Marc Casado,ESP,21,MC,17,barcelona,alaves,1,90,0,0,0.0,0.1,0,0,0,81,92.6,0,0,0.0,0.0,0.0,7,4,3,0,2,0,0,0,3,0,0,0,46,211.0,108.0,1,1,1,50.0,24_25,9,06/10/2024,0,"[{'rojas': [8, 1.0]}]"
Alejandro Balde,ESP,20,DF,3,barcelona,alaves,1,80,0,0,0.0,0.0,0,0,0,26,92.3,0,0,0.0,0.0,0.0,8,1,1,0,0,1,0,1,5,3,1,1,17,97.0,37.0,1,0,1,0.0,24_25,9,06/10/2024,0,[]
Frenkie de Jong,NED,27,MC,21,barcelona,alaves,0,10,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0.0,24_25,9,06/10/2024,0,"[{'pases_completados_pct': [1, 94.4]}]"
Iñigo Martínez,ESP,33,DF,5,barcelona,alaves,1,80,0,0,0.0,0.5,0,0,0,95,95.8,1,0,0.0,0.0,0.0,8,0,0,0,0,1,1,0,1,0,0,0,64,308.0,225.0,1,1,0,100.0,24_25,9,06/10/2024,0,"[{'pases_ultimo_tercio': [3, 259.0]}]"
Gerard Martín,ESP,22,DF,35,barcelona,alaves,0,10,0,0,0.0,0.0,0,0,0,6,100.0,1,0,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,0,0,0,3,4.0,2.0,0,0,0,0.0,24_25,9,06/10/2024,0,[]
Pau Cubarsí,ESP,17,DF,2,barcelona,alaves,1,90,0,0,0.0,0.0,0,0,0,117,94.9,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,6,0,0,0,92,455.0,275.0,1,1,3,25.0,24_25,9,06/10/2024,0,"[{'pases_completados_pct': [5, 93.5]}, {'pases_ultimo_tercio': [7, 210.0]}]"
Héctor Fort,ESP,18,DF,32,barcelona,alaves,1,66,0,0,0.0,0.0,0,0,0,73,94.5,0,0,0.0,0.0,0.0,7,2,2,0,0,0,0,0,1,1,1,0,34,89.0,30.0,1,1,0,100.0,24_25,9,06/10/2024,0,[]
Jules Koundé,FRA,25,DF,23,barcelona,alaves,0,24,0,0,0.0,0.0,0,0,0,33,90.9,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,2,1,1,0,19,92.0,42.0,1,0,0,0.0,24_25,9,06/10/2024,0,"[{'pases_ultimo_tercio': [4, 267.0]}]"
Iñaki Peña,ESP,25,PT,13,barcelona,alaves,1,90,0,0,0.0,0.0,0,0,0,62,83.9,0,0,0.0,100.0,0.4,11,0,1,0,1,0,0,0,3,0,0,0,35,116.0,52.0,0,0,0,0.0,24_25,9,06/10/2024,0,"[{'porterias_cero': [10, 4.0]}, {'save_pct': [7, 76.8]}]"
