player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kylian Mbappé,FRA,26,DT,10,real madrid,osasuna,1,90,1,0,1.1,0.2,5,4,1,47,89.4,1,0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,14,8,4,39,265.0,141.0,5,1,0,100.0,25_26,1,19/08/2025,1,"[{'goles': [1, 18.0]}, {'goles_90': [2, 1.03]}, {'asistencias': [8, 4.0]}, {'penaltis_marcados': [1, 5.0]}, {'tiros_puerta': [1, 33.0]}, {'pases_clave': [1, 49.0]}, {'regates_exitosos': [2, 51.0]}, {'minutos': [3, 1570.0]}]"
Vinicius Júnior,BRA,25,DT,7,real madrid,osasuna,1,77,0,0,0.0,0.2,1,1,0,50,90.0,0,0,0.0,0.0,0.0,6,3,1,0,0,0,0,0,0,5,1,4,40,251.0,159.0,8,0,1,0.0,25_26,1,19/08/2025,1,"[{'asistencias': [4, 5.0]}, {'penaltis_marcados': [9, 1.0]}, {'tiros_puerta': [5, 20.0]}, {'pases_clave': [7, 33.0]}, {'regates_exitosos': [3, 43.0]}, {'faltas_recibidas': [6, 34.0]}]"
Gonzalo García,ESP,21,DT,16,real madrid,osasuna,0,13,0,0,0.0,0.1,0,0,0,4,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,1,0,0,0,5,15.0,0.0,0,2,1,66.7,25_26,1,19/08/2025,1,"[{'apariciones_suplente': [4, 12.0]}]"
Brahim Díaz,MAR,26,DT,21,real madrid,osasuna,1,67,0,0,0.0,0.1,0,0,0,29,100.0,0,0,0.0,0.0,0.0,7,2,1,0,0,1,0,1,0,2,0,1,23,126.0,52.0,2,0,0,0.0,25_26,1,19/08/2025,1,"[{'asistencias_90': [5, 0.35]}]"
Franco Mastantuono,ARG,18,DT,30,real madrid,osasuna,0,23,0,0,0.1,0.1,1,0,1,21,85.7,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,0,2,1,1,17,94.0,42.0,1,0,0,0.0,25_26,1,19/08/2025,1,[]
Arda Güler,TUR,20,MC,15,real madrid,osasuna,1,89,0,0,0.0,0.0,1,1,0,81,91.4,0,0,0.0,0.0,0.0,6,3,3,0,2,1,0,1,1,0,0,0,55,193.0,75.0,1,3,2,60.0,25_26,1,19/08/2025,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Dani Ceballos,ESP,29,MC,19,real madrid,osasuna,0,1,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,6.0,6.0,0,0,0,0.0,25_26,1,19/08/2025,1,"[{'pases_completados_pct': [2, 94.3]}]"
Aurélien Tchouaméni,FRA,25,MC,14,real madrid,osasuna,1,90,0,0,0.3,0.0,3,3,0,41,95.1,0,0,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,1,0,1,30,92.0,18.0,0,1,1,50.0,25_26,1,19/08/2025,1,"[{'pases_ultimo_tercio': [5, 106.0]}]"
Federico Valverde,URU,27,MC,8,real madrid,osasuna,1,90,0,0,0.0,0.0,1,1,0,74,90.5,0,0,0.0,0.0,0.0,5,1,1,0,1,1,0,1,2,0,0,0,46,198.0,89.0,1,2,1,66.7,25_26,1,19/08/2025,1,"[{'asistencias': [8, 4.0]}, {'pases_ultimo_tercio': [7, 101.0]}]"
Álvaro Carreras,ESP,22,DF,18,real madrid,osasuna,1,90,0,0,0.1,0.1,2,2,0,109,88.1,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,1,4,0,2,87,441.0,253.0,5,0,3,0.0,25_26,1,19/08/2025,1,"[{'pases_ultimo_tercio': [3, 112.0]}, {'intercepciones': [6, 23.0]}, {'rojas': [2, 1.0]}]"
Dean Huijsen,ESP,20,DF,24,real madrid,osasuna,1,90,0,0,0.1,0.0,2,1,1,96,93.8,0,0,0.0,0.0,0.0,11,2,0,0,0,0,0,0,7,0,0,0,79,299.0,167.0,1,2,2,50.0,25_26,1,19/08/2025,1,"[{'pases_ultimo_tercio': [10, 97.0]}, {'rojas': [2, 1.0]}]"
Éder Militão,BRA,27,DF,3,real madrid,osasuna,1,90,0,0,0.0,0.0,1,0,1,76,90.8,0,0,0.0,0.0,0.0,8,2,1,0,0,1,0,1,4,0,0,0,58,215.0,117.0,1,1,2,33.3,25_26,1,19/08/2025,1,[]
Trent AlexanderArnold,ENG,26,DF,12,real madrid,osasuna,1,67,0,0,0.0,0.0,0,0,0,75,81.3,0,0,0.0,0.0,0.0,6,0,1,0,1,1,0,1,0,0,0,0,58,214.0,114.0,1,0,0,0.0,25_26,1,19/08/2025,1,[]
Dani Carvajal,ESP,33,DF,2,real madrid,osasuna,0,23,0,0,0.0,0.0,0,0,0,28,89.3,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,14,45.0,16.0,0,0,1,0.0,25_26,1,19/08/2025,1,"[{'rojas': [10, 1.0]}]"
Thibaut Courtois,BEL,33,PT,1,real madrid,osasuna,1,90,0,0,0.0,0.0,0,0,0,33,87.9,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,1,0,0,0,26,110.0,73.0,0,0,0,0.0,25_26,1,19/08/2025,1,"[{'minutos': [1, 1620.0]}, {'porterias_cero': [1, 8.0]}, {'save_pct': [10, 75.4]}]"
Ante Budimir,CRO,34,DT,17,osasuna,real madrid,1,90,0,0,0.4,0.0,2,2,0,14,57.1,0,0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,2,0,0,0,9,54.0,34.0,0,3,3,50.0,25_26,1,19/08/2025,0,"[{'goles': [9, 6.0]}, {'penaltis_marcados': [2, 3.0]}]"
Aimar Oroz,ESP,23,MC,10,osasuna,real madrid,1,76,0,0,0.0,0.0,0,0,0,19,89.5,0,0,0.0,0.0,0.0,3,4,2,0,1,0,0,0,1,2,0,2,15,126.0,52.0,2,0,0,0.0,25_26,1,19/08/2025,0,"[{'faltas_recibidas': [5, 64.0]}]"
Moi Gómez,ESP,31,MC,16,osasuna,real madrid,0,14,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,0,8,50.0,21.0,0,0,0,0.0,25_26,1,19/08/2025,0,"[{'apariciones_suplente': [10, 20.0]}]"
Rubén García,ESP,32,MC,14,osasuna,real madrid,1,65,0,0,0.0,0.0,0,0,0,22,72.7,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,1,1,0,17,61.0,11.0,0,1,2,33.3,25_26,1,19/08/2025,0,"[{'asistencias': [8, 4.0]}, {'asistencias_90': [5, 0.45]}, {'corners': [9, 32.0]}]"
Víctor Muñoz,ESP,22,DT,21,osasuna,real madrid,0,25,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,2,0,2,5,110.0,12.0,0,0,0,0.0,25_26,1,19/08/2025,0,"[{'regates_exitosos': [5, 33.0]}]"
Lucas Torró,ESP,31,MC,6,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,29,75.9,0,0,0.0,0.0,0.0,4,2,2,0,0,0,0,0,3,0,0,0,13,69.0,21.0,0,5,2,71.4,25_26,1,19/08/2025,0,"[{'faltas_cometidas': [1, 75.0]}]"
Jon Moncayola,ESP,27,MC,7,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,34,88.2,0,0,0.0,0.0,0.0,3,2,4,0,2,2,1,1,2,0,0,0,17,57.0,31.0,0,2,1,66.7,25_26,1,19/08/2025,0,"[{'rojas': [10, 1.0]}]"
Abel Bretones,ESP,24,MC,23,osasuna,real madrid,1,89,0,0,0.0,0.0,0,0,0,27,59.3,0,1,0.0,0.0,0.0,-1,3,3,0,2,2,1,1,3,3,3,0,20,194.0,111.0,4,0,1,0.0,25_26,1,19/08/2025,0,"[{'rojas': [2, 1.0]}]"
Valentin Rosier,FRA,29,MC,19,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,45,62.2,0,0,0.0,0.0,0.0,4,2,3,0,1,1,0,1,4,2,0,2,23,127.0,71.0,2,0,0,0.0,25_26,1,19/08/2025,0,"[{'rojas': [2, 1.0]}]"
Juan Cruz Armada,ESP,33,DF,3,osasuna,real madrid,1,84,0,0,0.0,0.0,0,0,0,30,86.7,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,5,1,0,0,14,45.0,28.0,0,0,1,0.0,25_26,1,19/08/2025,0,[]
Raúl,ESP,24,DT,9,osasuna,real madrid,0,6,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0,1,0,100.0,25_26,1,19/08/2025,0,"[{'apariciones_suplente': [5, 11.0]}]"
Catena,ESP,30,DF,24,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,29,79.3,0,0,0.0,0.0,0.0,8,0,1,0,1,1,1,0,13,0,0,0,15,58.0,30.0,0,1,0,100.0,25_26,1,19/08/2025,0,"[{'despejes': [2, 107.0]}, {'amarillas': [4, 6.0]}]"
Enzo Boyomo,CMR,23,DF,22,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,38,76.3,0,0,0.0,0.0,0.0,5,5,4,0,0,3,3,0,7,0,0,0,24,122.0,78.0,1,1,2,33.3,25_26,1,19/08/2025,0,"[{'entradas': [10, 40.0]}]"
Sergio Herrera,ESP,32,PT,1,osasuna,real madrid,1,90,0,0,0.0,0.0,0,0,0,26,69.2,0,0,1.0,100.0,1.3,5,0,0,0,0,0,0,0,0,0,0,0,8,55.0,20.0,0,0,0,0.0,25_26,1,19/08/2025,0,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [2, 63.0]}, {'save_pct': [3, 79.5]}]"
