player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xA_partido,TiroF_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,puntosFantasy,Tkl_challenge,Att_challenge,Tkl_pct_challenge,Lost_challenge,Blocks_total,Blocks_sh,Blocks_pass,Clearances,TakeOn_att,TakeOn_succ,TakeOn_tkld,Carries_total,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Aerial_won,Aerial_lost,Aerial_won_pct
Miovski,DT,Girona,Rayo Vallecano,1,44.0,0.0,0.0,0.0,0.0,0,0,3.0,66.7,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,24.0,0.0,0.0,0.0,0,0
Krapyvtsov,PT,Girona,Rayo Vallecano,0,46.0,0.0,0.0,0.0,0.0,0,0,27.0,48.1,0.0,0.0,3,3,0.0,0,0,0,0.0,0,0,1.0,0,0.0,0,14.0,416.0,349.0,0.0,0.0,0,0
Asprilla,DT,Girona,Rayo Vallecano,1,45.0,0.0,0.0,0.0,0.0,0,0,8.0,75.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0,1.0,0,0.0,0,10.0,91.0,4.0,0.0,1.0,0,0
Portu,DT,Girona,Rayo Vallecano,0,45.0,0.0,0.0,0.1,0.1,0,0,11.0,72.7,0.0,0.0,0,2,0.0,0,0,0,1.0,0,0,0.0,0,0.0,0,5.0,147.0,42.0,0.0,2.0,0,0
Tsygankov,MC,Girona,Rayo Vallecano,1,90.0,0.0,1.0,0.0,0.3,0,0,31.0,67.7,0.0,0.0,0,9,2.0,0,0,0,1.0,0,0,4.0,0,1.0,0,19.0,199.0,60.0,2.0,1.0,0,0
Roca,DF,Girona,Rayo Vallecano,1,90.0,1.0,0.0,0.3,0.0,0,0,17.0,70.6,0.0,0.0,3,8,3.0,0,0,0,1.0,0,0,0.0,0,3.0,0,26.0,199.0,68.0,2.0,1.0,0,0
Solís,MC,Girona,Rayo Vallecano,1,90.0,0.0,0.0,0.0,0.0,0,0,33.0,90.9,0.0,0.0,0,2,1.0,0,0,0,1.0,0,0,1.0,0,2.0,0,30.0,444.0,128.0,0.0,0.0,0,0
Herrera,MC,Girona,Rayo Vallecano,1,69.0,0.0,0.0,0.0,0.0,0,0,21.0,61.9,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0,2.0,0,1.0,0,18.0,178.0,61.0,1.0,2.0,0,0
Lemar,MC,Girona,Rayo Vallecano,0,21.0,0.0,0.0,0.1,0.0,0,0,22.0,81.8,0.0,0.0,0,3,1.0,0,0,0,0.0,0,0,0.0,0,1.0,0,18.0,315.0,77.0,0.0,0.0,0,0
Blind,DF,Girona,Rayo Vallecano,1,57.0,0.0,0.0,0.0,0.0,0,0,31.0,90.3,0.0,0.0,3,1,3.0,0,0,0,1.0,0,0,2.0,0,0.0,0,19.0,600.0,172.0,0.0,3.0,0,0
Vitor Reis,DF,Girona,Rayo Vallecano,0,33.0,0.0,0.0,0.0,0.0,0,0,21.0,66.7,0.0,0.0,3,3,0.0,0,0,0,0.0,0,0,3.0,0,0.0,0,14.0,259.0,124.0,0.0,0.0,0,0
Krejcí,DF,Girona,Rayo Vallecano,1,90.0,0.0,0.0,0.1,0.0,0,0,42.0,88.1,0.0,0.0,3,1,0.0,0,0,0,2.0,0,0,1.0,0,0.0,0,33.0,611.0,176.0,0.0,3.0,0,0
David López,DF,Girona,Rayo Vallecano,1,90.0,0.0,0.0,0.0,0.0,0,0,76.0,77.6,0.0,0.0,3,0,1.0,0,0,0,2.0,0,0,0.0,0,0.0,0,54.0,1126.0,423.0,1.0,1.0,0,0
Arnau,DF,Girona,Rayo Vallecano,1,57.0,0.0,0.0,0.0,0.0,0,0,43.0,79.1,0.0,0.0,3,-2,1.0,0,0,0,2.0,0,0,2.0,0,0.0,0,33.0,545.0,105.0,1.0,1.0,0,0
