player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Toni Martínez,DT,11,alaves,levante,1,90,1,0,0.6,0.1,4,3,1,23,56.5,0,0,0.0,0.0,0.0,8,0,0,0,0,1,0,1,0,1,0,1,10,13.0,1.0,0,10,5,66.7,25_26,1,16/08/2025,1,[]
Carles Aleñá,MC,10,alaves,levante,1,89,0,1,0.1,0.3,2,2,0,75,80.0,0,0,0.0,0.0,0.0,11,2,0,0,0,1,0,1,1,0,0,0,49,129.0,50.0,0,1,0,100.0,25_26,1,16/08/2025,1,[]
Ander Guevara,MC,6,alaves,levante,0,1,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,0,1,2,7.0,2.0,0,0,0,0.0,25_26,1,16/08/2025,1,[]
Pablo Ibáñez,MC,19,alaves,levante,1,76,0,0,0.0,0.0,1,1,0,38,84.2,0,0,0.0,0.0,0.0,2,1,0,0,0,2,1,1,0,5,1,3,30,140.0,55.0,2,1,1,50.0,25_26,1,16/08/2025,1,"[{'faltas_recibidas': [9, 32.0]}]"
Mariano,MC,9,alaves,levante,0,14,0,0,0.1,0.0,1,0,1,1,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,2,2.0,0.0,0,0,2,0.0,25_26,1,16/08/2025,1,[]
Jon Guridi,MC,18,alaves,levante,1,76,0,0,0.2,0.0,1,1,0,34,76.5,0,0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,0,0,0,24,184.0,88.0,2,1,0,100.0,25_26,1,16/08/2025,1,[]
Abde Rebbach,MC,21,alaves,levante,0,14,0,0,0.1,0.0,2,1,1,16,62.5,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,0,0,0,11,67.0,44.0,2,0,0,0.0,25_26,1,16/08/2025,1,[]
Carlos Vicente,MC,7,alaves,levante,1,85,0,0,0.1,0.1,1,1,0,34,58.8,0,0,0.0,0.0,0.0,3,2,2,0,1,0,0,0,1,4,1,3,29,173.0,75.0,1,1,1,50.0,25_26,1,16/08/2025,1,"[{'penaltis_marcados': [2, 3.0]}, {'centros_area': [4, 10.0]}]"
Calebe,MC,20,alaves,levante,0,5,0,0,0.0,0.0,0,0,0,6,33.3,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,4,1,1,8,53.0,33.0,3,0,0,0.0,25_26,1,16/08/2025,1,[]
Antonio Blanco,MC,8,alaves,levante,1,90,0,0,0.0,0.1,1,1,0,72,84.7,0,0,0.0,0.0,0.0,7,2,0,0,0,3,0,3,4,0,0,0,39,135.0,38.0,0,3,1,75.0,25_26,1,16/08/2025,1,"[{'entradas': [8, 42.0]}, {'intercepciones': [2, 27.0]}, {'faltas_cometidas': [6, 28.0]}]"
Victor Parada,DF,24,alaves,levante,1,89,0,0,0.0,0.1,0,0,0,49,77.6,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,0,0,0,27,72.0,12.0,0,0,2,0.0,25_26,1,16/08/2025,1,[]
Youssef Lekhedim,DF,3,alaves,levante,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,25_26,1,16/08/2025,1,[]
Nahuel Tenaglia,DF,14,alaves,levante,1,90,1,0,0.2,0.0,1,0,1,46,80.4,0,0,0.0,0.0,0.0,14,2,2,0,1,0,0,0,9,1,0,1,32,129.0,57.0,0,2,2,50.0,25_26,1,16/08/2025,1,"[{'entradas': [3, 96.0]}, {'intercepciones': [7, 47.0]}, {'amarillas': [6, 11.0]}]"
Facundo Garcés,DF,2,alaves,levante,1,90,0,0,0.0,0.0,1,1,0,48,85.4,0,0,0.0,0.0,0.0,5,1,2,0,1,2,1,1,6,0,0,0,32,114.0,44.0,0,3,6,33.3,25_26,1,16/08/2025,1,[]
Jonny Castro,DF,17,alaves,levante,1,90,0,0,0.0,0.0,0,0,0,70,90.0,0,0,0.0,0.0,0.0,4,2,0,0,0,3,1,2,1,1,0,0,39,186.0,121.0,3,1,1,50.0,25_26,1,16/08/2025,1,"[{'intercepciones': [3, 25.0]}]"
Antonio Sivera,PT,1,alaves,levante,1,90,0,0,0.0,0.0,0,0,0,19,63.2,0,0,1.0,66.7,1.0,5,0,0,0,0,0,0,0,0,0,0,0,8,42.0,30.0,0,0,0,0.0,25_26,1,16/08/2025,1,"[{'minutos': [5, 1530.0]}]"
Iván Romero,DT,9,levante,alaves,1,78,0,0,0.1,0.0,3,2,1,19,52.6,0,0,0.0,0.0,0.0,5,2,1,0,0,0,0,0,0,5,2,3,19,80.0,23.0,1,4,3,57.1,25_26,1,16/08/2025,0,"[{'faltas_recibidas': [3, 35.0]}]"
Sergio Lozano,MC,21,levante,alaves,0,12,0,0,0.0,0.0,0,0,0,7,100.0,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,2,0,2,5,7.0,4.0,0,0,1,0.0,25_26,1,16/08/2025,0,[]
Brugui,MC,7,levante,alaves,1,85,0,0,0.1,0.0,1,0,1,13,53.8,0,0,0.0,0.0,0.0,3,2,0,0,0,1,0,1,0,0,0,0,8,40.0,9.0,0,2,5,28.6,25_26,1,16/08/2025,0,[]
Carlos Álvarez,MC,24,levante,alaves,0,5,0,0,0.0,0.0,0,0,0,8,62.5,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,5,32.0,13.0,0,0,0,0.0,25_26,1,16/08/2025,0,[]
Oriol Rey,MC,20,levante,alaves,1,90,0,0,0.0,0.0,0,0,0,26,61.5,0,0,0.0,0.0,0.0,2,1,1,0,0,1,0,1,2,0,0,0,13,64.0,39.0,2,0,0,0.0,25_26,1,16/08/2025,0,[]
Pablo Martínez,MC,10,levante,alaves,1,84,0,0,0.0,0.0,2,2,0,28,67.9,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,17,79.0,56.0,0,0,3,0.0,25_26,1,16/08/2025,0,[]
Matias Moreno,DF,2,levante,alaves,0,6,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,3,47.0,40.0,1,0,0,0.0,25_26,1,16/08/2025,0,[]
Víctor García,MC,17,levante,alaves,1,53,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,3,24.0,0.0,0,1,1,50.0,25_26,1,16/08/2025,0,[]
José Luis Morales,MC,11,levante,alaves,0,37,0,0,0.0,0.0,0,0,0,6,50.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,1,0,100.0,25_26,1,16/08/2025,0,"[{'penaltis_marcados': [9, 1.0]}, {'apariciones_suplente': [1, 14.0]}]"
Manu Sánchez,DF,23,levante,alaves,1,78,0,0,0.0,0.0,0,0,0,30,76.7,1,0,0.0,0.0,0.0,2,3,3,0,1,1,0,1,4,1,0,0,11,77.0,54.0,2,1,0,100.0,25_26,1,16/08/2025,0,"[{'entradas': [9, 41.0]}]"
Diego Pampín,DF,6,levante,alaves,0,12,0,0,0.0,0.0,0,0,0,12,66.7,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,3,1,1,0,8,19.0,7.0,0,1,0,100.0,25_26,1,16/08/2025,0,[]
Jorge Cabello,DF,14,levante,alaves,1,90,0,0,0.0,0.0,0,0,0,27,85.2,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,8,0,0,0,15,75.0,32.0,0,3,4,42.9,25_26,1,16/08/2025,0,[]
Unai Elgezabal,DF,5,levante,alaves,1,90,0,0,0.0,0.0,0,0,0,30,73.3,0,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,12,0,0,0,12,37.0,24.0,0,4,3,57.1,25_26,1,16/08/2025,0,[]
Adrián de la Fuente,DF,4,levante,alaves,1,90,0,0,0.0,0.0,0,0,0,48,56.3,0,0,0.0,0.0,0.0,0,1,1,0,0,1,0,1,3,0,0,0,24,71.0,45.0,0,1,2,33.3,25_26,1,16/08/2025,0,"[{'penaltis_marcados': [9, 1.0]}]"
Jeremy Toljan,DF,22,levante,alaves,1,90,1,0,0.7,0.1,1,0,1,36,61.1,0,0,0.0,0.0,0.0,7,0,0,0,0,3,0,3,0,1,0,0,16,39.0,14.0,0,1,1,50.0,25_26,1,16/08/2025,0,"[{'centros_area': [8, 9.0]}]"
Pablo Cuñat,PT,1,levante,alaves,1,90,0,0,0.0,0.0,0,0,0,39,64.1,0,0,2.0,50.0,2.2,4,0,0,0,0,0,0,0,0,0,0,0,13,74.0,51.0,0,2,0,100.0,25_26,1,16/08/2025,0,[]
