player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Hugo Duro,DT,9,valencia,real sociedad,1,67,0,0,0.2,0.2,2,2,0,13,76.9,0,0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,1,0,0,0,4,12.0,5.0,0,2,2,50.0,25_26,1,16/08/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [8, 0.54]}, {'goles_por_tiro': [5, 0.3]}]"
Domingos André Ribeiro Almeida,MC,10,valencia,real sociedad,0,23,0,0,0.0,0.0,0,0,0,13,69.2,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,9,118.0,88.0,3,0,0,0.0,25_26,1,16/08/2025,1,[]
Dani Raba,DT,19,valencia,real sociedad,1,66,0,1,0.1,0.4,4,4,0,23,78.3,0,0,0.0,0.0,0.0,10,1,1,0,0,0,0,0,0,2,1,1,21,165.0,64.0,2,0,0,0.0,25_26,1,16/08/2025,1,"[{'penaltis_marcados': [6, 4.0]}]"
Arnaut Danjuma,DT,7,valencia,real sociedad,0,24,0,0,0.0,0.0,1,1,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,7,38.0,19.0,1,0,0,0.0,25_26,1,16/08/2025,1,[]
Diego López,MC,16,valencia,real sociedad,1,90,1,0,0.5,0.0,2,1,1,22,86.4,0,0,0.0,0.0,0.0,8,0,1,0,1,1,1,0,0,3,0,3,17,127.0,37.0,2,0,3,0.0,25_26,1,16/08/2025,1,[]
José Luis García Vayá,MC,18,valencia,real sociedad,1,79,0,0,0.1,0.1,1,1,0,37,78.4,0,0,0.0,0.0,0.0,5,4,3,0,0,0,0,0,3,0,0,0,26,100.0,30.0,0,1,0,100.0,25_26,1,16/08/2025,1,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Baptiste Santamaria,MC,22,valencia,real sociedad,0,11,0,0,0.0,0.0,1,1,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,25.0,21.0,0,1,1,50.0,25_26,1,16/08/2025,1,[]
Javier Guerra,MC,8,valencia,real sociedad,1,86,0,0,0.1,0.9,2,1,1,41,82.9,0,0,0.0,0.0,0.0,6,0,1,0,1,0,0,0,1,5,2,3,29,161.0,65.0,2,0,1,0.0,25_26,1,16/08/2025,1,"[{'rojas': [10, 1.0]}]"
Filip Ugrinic,MC,23,valencia,real sociedad,0,4,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,4,19.0,0.0,0,0,0,0.0,25_26,1,16/08/2025,1,[]
Luis Rioja,MC,11,valencia,real sociedad,1,90,0,0,0.1,0.0,2,2,0,32,71.9,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,5,1,4,27,196.0,107.0,4,0,1,0.0,25_26,1,16/08/2025,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
José Luis Gayà,DF,14,valencia,real sociedad,1,79,0,0,0.0,0.1,0,0,0,37,81.1,1,0,0.0,0.0,0.0,3,2,3,0,1,0,0,0,3,1,0,1,25,181.0,125.0,5,0,0,0.0,25_26,1,16/08/2025,1,"[{'rojas': [2, 1.0]}]"
Jesus Vazquez,DF,21,valencia,real sociedad,0,11,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,1,0,0,0,4,30.0,21.0,1,0,0,0.0,25_26,1,16/08/2025,1,[]
Copete,DF,3,valencia,real sociedad,1,90,0,0,0.9,0.0,2,2,0,59,84.7,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,5,0,0,0,34,196.0,157.0,1,3,0,100.0,25_26,1,16/08/2025,1,[]
César Tárrega,DF,5,valencia,real sociedad,1,90,0,0,0.0,0.0,1,1,0,55,90.9,0,0,0.0,0.0,0.0,7,1,0,0,0,1,1,0,3,2,2,0,40,143.0,81.0,0,1,0,100.0,25_26,1,16/08/2025,1,"[{'despejes': [4, 105.0]}]"
Dimitri Foulquier,DF,20,valencia,real sociedad,1,90,0,0,0.0,0.0,0,0,0,49,93.9,0,0,0.0,0.0,0.0,7,3,3,0,0,0,0,0,6,1,0,1,27,190.0,116.0,1,0,0,0.0,25_26,1,16/08/2025,1,[]
Julen Agirrezabala,PT,25,valencia,real sociedad,1,90,0,0,0.0,0.0,0,0,0,38,84.2,0,0,1.0,66.7,0.6,6,0,0,0,0,0,0,0,0,0,0,0,23,105.0,70.0,0,0,0,0.0,25_26,1,16/08/2025,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [10, 4.0]}, {'paradas': [8, 49.0]}]"
Mikel Oyarzabal,DT,10,real sociedad,valencia,1,90,0,0,0.1,0.2,2,1,1,20,70.0,0,0,0.0,0.0,0.0,5,0,2,0,2,0,0,0,1,0,0,0,13,56.0,23.0,2,0,1,0.0,25_26,1,16/08/2025,0,"[{'penaltis_marcados': [2, 3.0]}]"
Ander Barrenetxea,DT,7,real sociedad,valencia,1,90,0,0,0.2,0.1,3,3,0,42,66.7,0,0,0.0,0.0,0.0,5,1,0,0,0,2,0,2,2,2,1,1,35,273.0,154.0,7,0,0,0.0,25_26,1,16/08/2025,0,"[{'regates_exitosos': [7, 32.0]}]"
Takefusa Kubo,DT,14,real sociedad,valencia,1,79,1,0,0.2,0.0,2,1,1,19,68.4,0,0,0.0,0.0,0.0,9,0,1,0,1,0,0,0,0,3,1,2,16,77.0,44.0,2,0,0,0.0,25_26,1,16/08/2025,0,"[{'pases_clave': [6, 58.0]}]"
Gonçalo Guedes,MC,11,real sociedad,valencia,0,11,0,0,0.0,0.0,1,1,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,11.0,0.0,0,0,0,0.0,25_26,1,16/08/2025,0,[]
Brais Méndez,MC,23,real sociedad,valencia,1,67,0,1,0.1,0.0,2,1,1,27,85.2,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,2,20,101.0,62.0,2,0,1,0.0,25_26,1,16/08/2025,0,[]
Orri Steinn Óskarsson,DT,9,real sociedad,valencia,0,23,0,0,0.2,0.0,1,1,0,3,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,4,14.0,11.0,0,1,0,100.0,25_26,1,16/08/2025,0,[]
Pablo Marín,MC,28,real sociedad,valencia,1,90,0,0,0.0,0.0,0,0,0,22,81.8,0,0,0.0,0.0,0.0,5,2,2,0,1,0,0,0,3,4,1,3,14,90.0,52.0,2,1,0,100.0,25_26,1,16/08/2025,0,[]
Beñat Turrientes,MC,8,real sociedad,valencia,1,79,0,0,0.1,0.0,2,2,0,32,93.8,1,0,0.0,0.0,0.0,4,3,2,0,0,1,1,0,2,2,2,0,21,87.0,25.0,0,1,0,100.0,25_26,1,16/08/2025,0,[]
