player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Maroan Sannadi,DT,athletic,sevilla,1,66,1,0,0.9,0.5,2,1,1,18,77.8,0,0,0.0,0.0,0.0,10,0,1,0,1,0,0,0,0,1,0,1,14,49.0,11.0,0,0,2,0.0
Gorka Guruzeta,DT,athletic,sevilla,0,24,0,0,0.0,0.0,0,0,0,10,80.0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,9,29.0,6.0,0,0,2,0.0
Nico Williams,DT,athletic,sevilla,1,82,1,1,1.4,0.3,3,3,0,37,75.7,0,0,0.0,0.0,0.0,18,0,1,0,1,0,0,0,0,14,8,6,30,295.0,188.0,9,0,0,0.0
Alejandro Rego,MC,athletic,sevilla,0,8,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,0,0,0,0,2,25.0,17.0,1,0,0,0.0
Iñaki Williams,DT,athletic,sevilla,1,90,0,0,0.0,0.1,1,1,0,19,78.9,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,2,0,1,18,93.0,52.0,1,0,1,0.0
Álex Berenguer,MC,athletic,sevilla,1,66,0,0,0.1,0.1,2,2,0,25,64.0,0,0,0.0,0.0,0.0,5,1,0,0,0,1,0,1,0,4,2,1,13,99.0,75.0,1,0,3,0.0
Roberto Navarro,MC,athletic,sevilla,0,24,1,0,0.2,0.0,1,0,1,8,62.5,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,0,1,0,1,10,48.0,23.0,1,1,0,100.0
Mikel Jauregizar,MC,athletic,sevilla,1,90,0,0,0.0,0.0,0,0,0,38,84.2,0,0,0.0,0.0,0.0,3,2,1,0,0,1,0,1,0,2,0,2,20,100.0,36.0,0,0,0,0.0
Iñigo Ruiz de Galarreta,MC,athletic,sevilla,1,77,0,0,0.0,0.0,1,1,0,33,81.8,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,1,2,1,0,19,107.0,35.0,1,1,1,50.0
Mikel Vesga,MC,athletic,sevilla,0,13,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,0,2,0,100.0
Yuri Berchiche,DF,athletic,sevilla,1,90,0,0,0.1,0.0,1,1,0,50,84.0,0,0,0.0,0.0,0.0,1,0,0,0,0,4,0,4,4,0,0,0,22,98.0,32.0,2,0,0,0.0
Aitor Paredes,DF,athletic,sevilla,1,90,0,0,0.1,0.0,1,1,0,56,76.8,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,3,0,0,0,33,270.0,196.0,0,1,0,100.0
Daniel Vivian,DF,athletic,sevilla,1,90,0,0,0.1,0.0,1,1,0,50,76.0,0,0,0.0,0.0,0.0,2,2,3,0,1,2,1,1,3,0,0,0,26,220.0,152.0,2,1,0,100.0
Jesús Areso,DF,athletic,sevilla,1,82,0,0,0.0,0.2,0,0,0,34,76.5,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,2,1,0,11,111.0,47.0,2,0,0,0.0
Andoni Gorosabel,DF,athletic,sevilla,0,8,0,0,0.0,0.0,0,0,0,7,71.4,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,1,1.0,0.0,0,0,0,0.0
Unai Simón,PT,athletic,sevilla,1,90,0,0,0.0,0.0,0,0,0,38,50.0,0,0,2.0,66.7,1.7,3,0,0,0,0,0,0,0,0,0,0,0,18,96.0,73.0,0,0,0,0.0
Akor Adams,DT,sevilla,athletic,1,90,0,1,0.5,0.1,3,1,2,13,69.2,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,4,1,1,0,11,52.0,34.0,2,0,2,0.0
Stanis Idumbo,MC,sevilla,athletic,1,45,0,0,0.0,0.1,1,1,0,11,63.6,0,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,1,1,0,1,9,93.0,63.0,4,0,1,0.0
Chidera Ejuke,MC,sevilla,athletic,0,45,0,0,0.0,0.1,1,1,0,18,77.8,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,2,1,1,18,130.0,58.0,1,0,0,0.0
Djibril Sow,MC,sevilla,athletic,1,86,0,0,0.1,0.0,1,1,0,31,80.6,0,0,0.0,0.0,0.0,2,5,5,0,2,2,0,2,0,2,0,2,20,94.0,29.0,0,0,1,0.0
Isaac Romero,DT,sevilla,athletic,0,4,0,0,0.1,0.0,1,1,0,5,60.0,0,0,0.0,0.0,0.0,2,2,1,0,0,0,0,0,0,1,0,1,3,13.0,3.0,0,0,0,0.0
Lucien Agoume,MC,sevilla,athletic,1,90,1,0,0.1,0.0,1,0,1,62,79.0,1,0,0.0,0.0,0.0,9,1,1,0,1,2,1,1,4,1,1,0,31,156.0,89.0,1,0,0,0.0
Dodi Lukebakio,MC,sevilla,athletic,1,90,1,0,0.1,0.5,2,1,1,40,77.5,0,0,0.0,0.0,0.0,7,0,0,0,0,2,0,2,0,1,0,0,28,189.0,110.0,3,0,0,0.0
Nemanja Gudelj,MC,sevilla,athletic,1,81,0,0,0.1,0.0,1,0,1,48,87.5,0,0,0.0,0.0,0.0,4,3,4,0,1,2,1,1,2,2,1,1,17,94.0,62.0,1,2,0,100.0
Marcão,DF,sevilla,athletic,0,9,0,0,0.0,0.0,0,0,0,21,95.2,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,13,117.0,86.0,0,1,0,100.0
Carmona,DF,sevilla,athletic,1,90,0,0,0.0,0.0,1,0,1,45,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,1,1,4,3,1,0,24,189.0,110.0,3,0,0,0.0
Kike Salas,DF,sevilla,athletic,1,90,0,0,0.0,0.0,0,0,0,78,78.2,0,0,0.0,0.0,0.0,3,2,3,0,1,4,1,3,6,0,0,0,43,192.0,124.0,0,5,0,100.0
Castrin,DF,sevilla,athletic,1,70,0,0,0.0,0.0,0,0,0,39,94.9,1,0,0.0,0.0,0.0,1,0,1,0,1,4,4,0,4,0,0,0,23,96.0,36.0,0,1,1,50.0
Adnan Januzaj,MC,sevilla,athletic,0,20,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,6,29.0,15.0,0,0,0,0.0
Juanlu Sánchez,DF,sevilla,athletic,1,90,0,1,0.0,0.0,0,0,0,56,83.9,0,0,0.0,0.0,0.0,8,3,8,0,5,0,0,0,4,1,1,0,18,138.0,99.0,2,0,1,0.0
Ørjan Nyland,PT,sevilla,athletic,1,90,0,0,0.0,0.0,0,0,0,41,68.3,0,0,3.0,33.3,2.6,1,0,0,0,0,0,0,0,2,0,0,0,26,146.0,93.0,0,0,0,0.0
